universe.size,Cycle breaking,Grounding,answer,number.of.independent.pairs,instance,proportion.probabilistic,Propagating evidence,domain.size,Clark's completion,Total time,number.of.facts,number.of.variables,maximum.arity,number.of.predicates,DSharp compilation,maximum.number.of.nodes
1600,,0.0024,,5,7,0.25,0.0000,200,,0.0816,1200.0,4,1,8,,2
30500,0.0001,0.0010,0.9,8,2,0.5,0.0000,100,0.0000,0.0954,1000,4,2,8,0.0004,8
160400,0.0001,0.0093,1,0,9,0.5,0.0000,400,0.0000,15.4427,100000,4,2,2,0.0007,2
1010000,0.0002,0.0021,0.7,1,3,0.5,0.0000,100,0.0001,0.3851,1000,2,3,2,0.0008,4
24120400,0.0000,0.0013,1,15,4,0.25,0.0000,200,0.0000,0.2068,1000,4,3,8,0.0004,4
1600,,0.0039,,5,9,0.75,0.0000,400,,0.2066,1200.0,4,1,4,,2
1600,,0.0036,,5,6,0.75,0.0000,400,,0.1560,1000,4,1,4,,2
192480800,0.0001,0.0015,0.4,28,2,0.75,0.0000,400,0.0000,0.1867,1000,2,3,8,0.0006,2
24120400,0.0000,0.0014,1,3,2,0.75,0.0000,200,0.0000,0.2399,1000,4,3,8,0.0005,2
641600,0.0000,0.0025,1,9,5,0.25,0.0000,400,0.0000,1.2327,10000,4,2,8,0.0003,8
160800,0.0000,0.0012,1,20,0,0.5,0.0000,200,0.0000,1.0868,10000,8,2,8,0.0004,8
322400,,0.0041,,26,6,0.75,0.0000,400,,0.1739,1000,2,2,8,,8
960800,0.0001,0.0013,0.2,4,9,0.75,0.0000,400,0.0000,2.3631,10000,8,2,8,0.0005,8
320000,,0.0225,,0,3,0.75,0.0000,400,,2.9231,10000,4,2,2,,2
1600,0.0000,0.0034,1,22,2,0.75,0.0000,200,0.0000,0.1659,1000,8,1,8,0.0004,8
161200,,0.4880,,6,8,0.75,0.0000,400,,21.7088,100000,4,2,4,,4
200600,,0.0070,,8,0,0.25,0.0000,200,,2.2463,10000,4,2,8,,8
50300,0.0002,0.0023,0.7,17,0,0.5,0.0000,100,0.0001,2.2808,10000,2,2,8,0.0008,4
160400,0.0001,0.0088,1,0,9,0.25,0.0000,400,0.0000,20.6801,100000,4,2,2,0.0006,2
480400,0.0001,0.0017,0.1,4,0,0.75,0.0000,400,0.0000,18.8176,100000,4,2,4,0.0005,8
640000,0.0000,0.0013,1,4,3,0.25,0.0000,400,0.0000,0.1759,1000,4,2,4,0.0006,8
1600,,0.0037,,6,0,0.25,0.0000,200,,0.1288,1000,2,1,8,,8
3200,,0.0044,729.,3,0,0.75,0.0000,400,,0.3485,2400.0,4,1,8,,8
40400,0.0001,0.0016,0.3,26,9,0.5,0.0000,100,0.0000,0.0975,1000,2,2,8,0.0004,8
16120600,0.0000,0.0018,1,15,1,0.25,0.0000,200,0.0000,0.0938,1000,2,3,8,0.0003,4
4010300,0.0001,0.0048,1,27,1,0.25,0.0000,100,0.0000,1.6052,10000,4,3,8,0.0007,2
801200,,0.0749,,20,5,0.5,0.0000,400,,24.9598,100000,8,2,8,,8
240400,0.0002,0.0023,0.5,9,1,0.75,0.0000,200,0.0001,2.4895,10000,4,2,8,0.0008,8
200600,0.0001,0.0015,0.7,17,2,0.5,0.0000,200,0.0000,0.1849,1000,2,2,8,0.0006,4
60200,0.0457,0.1139,0.99497621,4,3,0.75,0.0000,100,0.0370,1.6184,10000,8,2,8,0.1002,8
20200,,0.0580,,6,2,0.25,0.0000,100,,1.7590,10000,4,2,4,,4
240400,0.0000,0.0011,1,1,8,0.75,0.0000,200,0.0000,1.2333,10000,8,2,8,0.0005,2
1600,0.0001,0.0048,1,6,3,0.25,0.0000,200,0.0000,0.0718,1000,2,1,8,0.0003,8
4030100,0.0000,0.0013,1,27,5,0.5,0.0000,100,0.0000,23.2383,100000,4,3,8,0.0003,2
1600,0.0002,0.0028,0.8,22,1,0.5,0.0000,200,0.0000,0.1389,1200.0,8,1,8,0.0005,8
256161200,0.0000,0.0012,1,12,5,0.25,0.0000,400,0.0000,2.6527,10000,4,3,8,0.0004,8
160800,0.0001,0.0013,0.4,17,5,0.75,0.0000,200,0.0000,19.9075,100000,2,2,8,0.0006,4
24080600,,0.0153,,21,6,0.75,0.0000,200,,2.7964,10000,4,3,8,,2
1600,0.0002,0.0021,0.9,9,4,0.5,0.0000,200,0.0000,0.2994,1200.0,2,1,8,0.0004,4
641600,0.0000,0.0010,1,19,5,0.25,0.0000,400,0.0000,1.2501,10000,2,2,8,0.0004,2
1600,,0.0035,,3,1,0.5,0.0000,200,,0.1466,1000,4,1,8,,8
64001200,0.0001,0.0039,1,1,9,0.75,0.0000,400,0.0000,21.9948,100000,8,3,4,0.0010,4
128321600,,0.0155,,15,6,0.5,0.0000,400,,2.0589,10000,8,3,8,,4
240400,,1.2196,,8,4,0.25,0.0000,200,,18.5793,100000,4,2,8,,8
200600,0.0001,0.0068,0.7,27,4,0.5,0.0001,200,0.0000,0.1122,1000,2,2,8,0.0004,2
64160000,0.0001,0.0012,0.1,1,8,0.75,0.0000,400,0.0000,1.4062,10000,2,3,2,0.0004,4
3200,,0.0069,,15,6,0.5,0.0000,400,,0.5477,2400.0,8,1,8,,8
3200,0.0002,0.0024,0.6,10,7,0.75,0.0000,400,0.0000,0.2010,1000,4,1,8,0.0004,8
40080200,0.0000,0.0028,1,3,1,0.25,0.0000,200,0.0000,2.2481,10000,4,3,8,0.0004,2
128481200,0.0002,0.0022,1,15,2,0.5,0.0000,400,0.0001,22.1067,100000,2,3,8,0.0007,4
1600,,0.0041,,11,7,0.75,0.0000,200,,0.1931,1000,8,1,8,,4
1600,,0.4320,,9,5,0.25,0.0000,200,,0.5860,1200.0,4,1,8,,4
1280000,,0.0837,,1,6,0.25,0.0000,400,,21.1136,100000,8,2,8,,2
641600,0.0000,0.0021,1,17,8,0.75,0.0000,400,0.0000,2.1173,10000,2,2,8,0.0007,4
3200,0.0862,0.3521,1,8,3,0.75,0.0001,400,0.0708,1.2911,1000,8,1,8,0.1848,8
3200,,0.0038,,5,5,0.75,0.0000,400,,0.4275,2400.0,4,1,8,,2
1600,0.0001,0.0039,1,8,6,0.25,0.0000,200,0.0001,0.2236,1000,8,1,8,0.0008,8
1600,0.0006,0.0065,0.816,22,3,0.75,0.0000,200,0.0001,0.3200,1000,8,1,8,0.0200,8
24080600,0.0002,0.0023,0.5,1,7,0.5,0.0000,200,0.0000,27.3354,100000,4,3,8,0.0007,8
1600,,0.0057,,9,8,0.5,0.0000,200,,0.1542,1000,4,1,8,,4
256640000,0.0001,0.0010,0.7,12,4,0.5,0.0000,400,0.0000,26.7089,100000,4,3,8,0.0004,8
50300,0.0001,0.0009,0.5,26,2,0.75,0.0000,100,0.0000,0.1137,1000,2,2,8,0.0003,8
192321200,0.0001,0.0022,1,8,8,0.25,0.0000,400,0.0000,1.9101,10000,2,3,8,0.0007,4
4020200,0.0001,0.0010,0.7,12,8,0.5,0.0000,100,0.0000,1.2928,10000,4,3,8,0.0004,8
64000400,0.0001,0.0012,0.7,1,7,0.25,0.0000,400,0.0000,20.3426,100000,2,3,2,0.0004,4
1020100,0.0001,0.0023,1,6,7,0.25,0.0000,100,0.0000,0.3330,1000,4,3,4,0.0007,8
1600,,0.0046,,5,3,0.25,0.0000,400,,0.1497,1200.0,2,1,4,,4
192480800,0.0000,0.0010,1,28,2,0.25,0.0000,400,0.0000,1.1588,10000,2,3,8,0.0003,2
3200,0.0000,0.0035,1,15,5,0.25,0.0000,400,0.0000,0.3349,2400.0,8,1,8,0.0005,8
384000800,,0.0046,,15,2,0.5,0.0000,400,,1.8463,10000,8,3,8,,4
641600,0.0001,0.0015,0.3,12,5,0.5,0.0000,400,0.0000,1.2243,10000,8,2,8,0.0006,2
960800,0.0000,0.0009,1,27,5,0.5,0.0001,400,0.0000,2.0155,10000,2,2,8,0.0005,2
320800,0.0000,0.0022,1,0,4,0.25,0.0000,400,0.0000,0.1719,1000,4,2,4,0.0005,2
8001400,0.0002,0.0080,1,1,6,0.5,0.0001,200,0.0002,21.5790,100000,4,3,8,0.0006,8
641600,,0.1645,,16,5,0.25,0.0000,400,,22.5029,100000,4,2,8,,2
200600,0.0001,0.0014,0.9,17,0,0.75,0.0000,200,0.0000,0.2017,1000,2,2,8,0.0005,4
4030100,,0.0343,,27,5,0.75,0.0000,100,,23.8431,100000,4,3,8,,2
1600,,0.0089,,5,1,0.5,0.0000,200,,0.3175,1200.0,8,1,8,,2
320800,,0.0235,,0,1,0.25,0.0001,400,,3.2594,10000,4,2,4,,2
80400,0.0001,0.0020,0.3,0,5,0.75,0.0000,200,0.0000,3.8377,10000,4,2,4,0.0012,2
3010400,0.0000,0.0054,1,23,9,0.25,0.0002,100,0.0000,3.5097,10000,2,3,8,0.0005,4
16120600,0.0001,0.0066,0.6,8,4,0.75,0.0001,200,0.0000,0.3800,1000,2,3,8,0.0005,4
3040100,0.0000,0.0068,1,22,1,0.25,0.0000,100,0.0000,35.8738,100000,2,3,8,0.0005,2
200600,0.0001,0.0011,0.8,8,3,0.75,0.0000,200,0.0000,39.3513,100000,4,2,8,0.0006,8
48080000,0.0002,0.0034,1,28,6,0.5,0.0000,200,0.0001,3.8368,10000,2,3,8,0.0008,2
3020300,,0.0162,,21,3,0.75,0.0000,100,,0.5902,1000,4,3,8,,2
2020400,,0.0032,,15,9,0.75,0.0000,100,,43.9833,100000,4,3,8,,4
1120400,,0.0203,,12,8,0.75,0.0003,400,,3.4477,10000,8,2,8,,2
2030300,,0.0226,,27,2,0.75,0.0000,100,,4.4039,10000,4,3,8,,2
3200,,0.0073,,12,2,0.75,0.0002,400,,0.2490,1000,2,1,8,,4
32040600,0.0002,0.0024,0.8,8,6,0.75,0.0000,200,0.0001,0.4156,1000,2,3,8,0.0011,4
256320800,0.0004,0.0059,0.8,15,8,0.5,0.0000,400,0.0001,0.4606,1000,8,3,8,0.0007,4
20200,,0.1213,,6,6,0.25,0.0000,100,,2.7948,10000,4,2,4,,4
3200,,0.0108,,6,2,0.25,0.0000,400,,0.5805,2400.0,2,1,8,,8
192160000,0.0001,0.0020,0.5,1,7,0.5,0.0000,400,0.0000,41.1173,100000,8,3,4,0.0006,4
32040600,0.0000,0.0021,1,17,3,0.25,0.0000,200,0.0000,38.3301,100000,8,3,8,0.0005,4
192800000,0.0001,0.0020,0.1,15,9,0.75,0.0000,400,0.0000,40.8266,100000,2,3,8,0.0007,4
1600,0.0002,0.0387,1,12,8,0.5,0.0000,200,0.0000,0.2918,1000,2,1,8,0.0006,4
800,0.0001,0.0030,1,8,0,0.5,0.0000,100,0.0000,0.2240,600.0,8,1,8,0.0008,8
16120600,,0.2222,,17,6,0.25,0.0000,200,,35.5880,100000,8,3,8,,4
24000200,0.0001,0.0024,1,1,7,0.25,0.0000,200,0.0001,41.5043,100000,4,3,4,0.0014,4
24120400,0.0001,0.0021,1,28,0,0.25,0.0000,200,0.0000,3.7869,10000,2,3,8,0.0007,2
2030300,0.0000,0.0250,1,27,9,0.5,0.0000,100,0.0001,41.5703,100000,4,3,8,0.0006,2
50300,0.0000,0.0021,1,8,3,0.5,0.0000,100,0.0000,2.7353,10000,4,2,8,0.0006,8
1600,,0.0079,,9,3,0.75,0.0000,200,,0.3957,1000,4,1,8,,4
3030200,0.0004,0.0052,0.9,21,4,0.5,0.0000,100,0.0001,0.4970,1000,4,3,8,0.0008,2
3020300,0.0000,0.0048,1,28,1,0.5,0.0000,100,0.0000,40.4723,100000,2,3,8,0.0007,2
32080400,0.0001,0.0017,0.5,12,6,0.25,0.0000,200,0.0000,0.4222,1000,4,3,8,0.0006,8
16080000,0.0001,0.0026,0.7,1,1,0.75,0.0000,200,0.0000,0.4189,1000,4,3,4,0.0006,4
2030300,0.0000,0.0069,1,8,0,0.25,0.0000,100,0.0000,0.3222,1000,2,3,8,0.0006,4
1600,,0.0099,,5,2,0.75,0.0000,200,,0.2240,1000,4,1,8,,2
200600,0.0000,0.0021,1,16,0,0.75,0.0000,200,0.0001,0.4126,1000,4,2,8,0.0007,2
3200,0.0004,0.0113,0.4,9,4,0.75,0.0002,400,0.0001,0.3280,1000,4,1,8,0.0007,4
1600,,0.0191,,5,0,0.25,0.0001,400,,0.3728,1000,2,1,4,,4
20200,,0.1485,,6,2,0.5,0.0000,100,,4.5921,15150.0,4,2,4,,4
80000,0.0144,21.5660,1,0,4,0.5,0.0001,200,0.0000,45.7251,60000.0,4,2,2,0.0005,2
256161200,,0.0142,,21,2,0.75,0.0002,400,,0.3728,1000,4,3,8,,2
3010400,0.0001,0.0012,0.6,15,3,0.5,0.0000,100,0.0000,4.8402,10000,4,3,8,0.0005,4
160800,,0.0052,,19,8,0.5,0.0000,200,,0.3832,1000,2,2,8,,2
20600,0.0003,0.0035,0.532,8,8,0.25,0.0000,100,0.0001,0.2061,1000,4,2,8,0.0247,8
800,,0.1948,,11,6,0.5,0.0000,100,,0.3232,600.0,8,1,8,,4
1600,,0.0038,,12,5,0.5,0.0000,200,,0.3215,1200.0,2,1,8,,4
30500,0.0007,0.0104,0.2,26,1,0.75,0.0002,100,0.0002,0.4144,1000,2,2,8,0.0009,8
800,,0.0044,,5,2,0.5,0.0000,200,,0.1690,600.0,2,1,4,,4
24080600,,0.0190,,17,1,0.75,0.0001,200,,0.7366,1000,8,3,8,,4
3030200,0.0002,0.0068,1,3,2,0.5,0.0001,100,0.0002,0.3950,1000,4,3,8,0.0029,2
121000,0.0000,0.0039,1,8,2,0.25,0.0001,200,0.0001,0.2671,1000,4,2,8,0.0032,8
320800,0.0001,0.0018,1,0,6,0.25,0.0000,400,0.0000,3.2025,10000,4,2,4,0.0010,2
128481200,,0.0121,,15,1,0.5,0.0000,400,,0.4023,1000,2,3,8,,4
800,,0.0043,,6,5,0.25,0.0000,100,,0.2326,600.0,2,1,8,,8
3200,0.0004,0.0047,0.9,9,8,0.25,0.0000,400,0.0001,0.5876,2400.0,2,1,8,0.0008,4
60200,,0.0160,,12,7,0.75,0.0000,100,,3.7237,10000,8,2,8,,2
128640800,0.0001,0.0034,0.2,17,8,0.75,0.0000,400,0.0000,47.6105,100000,8,3,8,0.0007,4
16160400,0.0001,0.0100,0.6,8,3,0.5,0.0003,200,0.0001,0.4108,1000,2,3,8,0.0008,4
1600,,1.3964,,8,4,0.5,0.0000,200,,1.6649,1000,8,1,8,,8
16080800,0.0000,0.0014,1,22,3,0.25,0.0000,200,0.0000,0.2252,1000,2,3,8,0.0005,2
60200,,0.0075,,1,4,0.75,0.0000,100,,0.4279,1000,8,2,8,,2
2030300,0.0001,0.0025,0.3,27,7,0.75,0.0000,100,0.0000,49.5178,100000,4,3,8,0.0009,2
801200,,0.0058,,8,1,0.25,0.0000,400,,0.4293,1000,4,2,8,,8
480400,,0.2258,,4,4,0.5,0.0000,400,,39.4068,100000,4,2,4,,8
3200,0.9942,1.9752,0.7,1,1,0.75,0.0068,400,0.6220,10.2798,2400.0,8,1,8,2.0897,2
16160400,0.0009,0.0139,0.5672,17,8,0.25,0.0000,200,0.0004,39.4319,100000,8,3,8,0.0899,4
2000200,0.0000,0.0166,1,1,5,0.25,0.0000,100,0.0001,4.1704,10000,8,3,4,0.0033,4
16120600,,59.4935,,1,3,0.25,0.0001,200,,60.0001,1000,4,3,8,,8
1600,,0.0074,,3,1,0.75,0.0000,200,,0.4747,1000,4,1,8,,8
3200,,59.7847,,11,5,0.25,0.0000,400,,60.0002,1000,8,1,8,,4
64641200,0.0001,0.0029,0.5,15,7,0.25,0.0000,400,0.0000,0.3731,1000,2,3,8,0.0007,4
5010200,0.0001,0.0016,1,1,8,0.25,0.0000,100,0.0001,3.1322,10000,4,3,8,0.0009,8
3200,,0.0094,,5,6,0.5,0.0008,400,,0.2859,1000,4,1,8,,2
8240200,,0.0040,,17,2,0.75,0.0000,200,,0.4066,1000,8,3,8,,4
641600,0.0000,0.0016,1,26,0,0.25,0.0000,400,0.0000,3.5687,10000,2,2,8,0.0006,8
16120600,0.0002,0.0048,0.9,15,2,0.75,0.0000,200,0.0000,34.2421,100000,2,3,8,0.0005,4
3200,,0.0028,,3,3,0.25,0.0000,400,,0.1255,1000,4,1,8,,8
3200,,0.0046,,20,2,0.75,0.0000,400,,0.3327,2400.0,8,1,8,,8
1120400,0.0000,0.0049,1,9,4,0.25,0.0000,400,0.0000,21.7813,100000,4,2,8,0.0004,8
3200,,0.0029,,10,3,0.75,0.0000,400,,0.1597,1000,4,1,8,,8
128160400,,0.0133,,1,8,0.5,0.0000,400,,0.2274,1000,8,3,4,,4
80400,,0.0148,,6,6,0.75,0.0000,200,,0.3517,1000,4,2,4,,4
1030400,0.0001,0.0023,1,27,4,0.75,0.0000,100,0.0000,0.3843,1000,4,3,8,0.0007,2
800,,0.0027,,15,4,0.5,0.0000,100,,0.0861,600.0,8,1,8,,8
40400,0.0002,0.0020,0.1,17,8,0.5,0.0000,100,0.0000,0.1802,1000,2,2,8,0.0005,4
4030100,0.0001,0.0013,0.7,15,2,0.75,0.0000,100,0.0000,0.2226,1000,4,3,8,0.0006,4
160800,,0.0074,,1,7,0.75,0.0000,200,,0.3508,1000,8,2,8,,2
40400,0.0001,0.0013,0.3,16,7,0.75,0.0000,100,0.0000,2.0413,10000,4,2,8,0.0004,2
16040200,0.0000,0.0014,1,1,1,0.25,0.0000,200,0.0000,15.7089,100000,8,3,4,0.0004,4
3000100,0.0001,0.0015,0.3,1,7,0.75,0.0000,100,0.0000,28.2169,100000,4,3,4,0.0004,4
20600,0.0000,0.0014,1,26,6,0.5,0.0000,100,0.0000,3.7208,15450.0,2,2,8,0.0005,8
1600,0.0001,0.0050,1,5,6,0.25,0.0000,400,0.0001,0.2442,1200.0,4,1,4,0.0007,2
801200,0.0001,0.0020,0.4,27,4,0.5,0.0000,400,0.0000,0.2792,1000,2,2,8,0.0007,2
30100,0.0000,0.0011,1,6,7,0.75,0.0000,100,0.0000,5.0202,22575.0,4,2,4,0.0004,4
2030300,0.0001,0.0013,0.4,15,1,0.5,0.0000,100,0.0000,2.7708,10000,2,3,8,0.0005,4
2020000,0.0000,0.0014,1,6,1,0.25,0.0000,100,0.0000,1.9141,10000,4,3,4,0.0005,8
320800,0.0000,0.0020,1,6,9,0.25,0.0000,400,0.0001,0.2288,1000,4,2,4,0.0007,4
60200,0.0001,0.0017,0.1,26,4,0.5,0.0000,100,0.0000,2.3045,10000,2,2,8,0.0006,8
1600,,0.0041,,3,2,0.5,0.0000,200,,0.1690,1200.0,4,1,8,,8
641600,,0.0049,,12,5,0.5,0.0000,400,,18.2522,100000,8,2,8,,2
64000400,0.0001,0.0011,0.9,1,4,0.75,0.0000,400,0.0000,1.7205,10000,2,3,2,0.0004,4
2000200,,0.5554,,1,6,0.75,0.0000,100,,22.0958,100000,8,3,4,,4
400,0.0000,0.0028,1,5,1,0.25,0.0000,100,0.0000,0.0466,300.0,2,1,4,0.0005,4
1600,,0.0031,,11,0,0.5,0.0000,200,,0.1532,1200.0,8,1,8,,4
80400,0.0008,0.0055,0.6,0,1,0.75,0.0000,200,0.0005,5.6428,10000,4,2,4,0.0038,2
320800,0.0000,0.0013,1,6,1,0.5,0.0000,400,0.0000,33.6644,100000,4,2,4,0.0004,4
40400,,0.0138,,16,1,0.75,0.0000,100,,1.9288,10000,4,2,8,,2
24120400,,0.0098,,17,5,0.75,0.0000,200,,2.6173,10000,8,3,8,,4
256161200,0.0002,0.0035,0.6,27,1,0.75,0.0000,400,0.0000,2.8222,10000,4,3,8,0.0006,2
4030100,0.0000,0.0016,1,1,2,0.25,0.0000,100,0.0000,0.2365,1000,4,3,8,0.0005,8
8040000,0.0000,0.0011,1,1,0,0.75,0.0000,200,0.0000,2.6631,10000,2,3,2,0.0004,4
1010000,0.0000,0.0008,1,1,0,0.75,0.0000,100,0.0000,0.1776,1000,2,3,2,0.0004,4
192321200,0.0001,0.0011,0.6,15,6,0.75,0.0000,400,0.0000,26.7574,100000,2,3,8,0.0005,4
960800,0.0001,0.0035,0.4,27,6,0.25,0.0000,400,0.0000,1.3034,10000,2,2,8,0.0007,2
32000800,0.0001,0.0021,0.9,15,5,0.5,0.0000,200,0.0000,27.0339,100000,8,3,8,0.0021,4
3200,,0.0076,,5,3,0.25,0.0003,400,,0.1709,1000,4,1,8,,2
64160000,0.0001,0.0018,0.9,1,1,0.75,0.0000,400,0.0000,0.2961,1000,2,3,2,0.0006,4
3200,,0.0059,,5,3,0.75,0.0001,400,,0.2074,1000,8,1,8,,2
50300,0.0000,0.0013,1,27,1,0.5,0.0000,100,0.0000,2.3621,10000,2,2,8,0.0006,2
160800,0.0001,0.0024,0.3,9,2,0.5,0.0000,200,0.0000,0.2397,1000,4,2,8,0.0005,8
192161600,0.0000,0.0042,1,15,8,0.75,0.0000,400,0.0000,2.9019,10000,4,3,8,0.0004,4
32040600,0.0001,0.0015,0.3,21,7,0.25,0.0000,200,0.0000,0.2786,1000,4,3,8,0.0005,2
1600,,0.0108,,5,1,0.5,0.0000,400,,0.2091,1200.0,2,1,4,,4
2010100,0.0001,0.0022,0.1,1,5,0.75,0.0000,100,0.0000,27.7557,100000,4,3,4,0.0006,4
1600,0.0001,0.0038,1,9,4,0.25,0.0000,200,0.0000,0.1666,1000,2,1,8,0.0004,4
128481200,0.0002,0.0031,0.6,15,1,0.75,0.0000,400,0.0000,2.8785,10000,2,3,8,0.0005,4
240400,0.0001,0.0020,1,26,4,0.25,0.0000,200,0.0001,19.3166,100000,2,2,8,0.0031,8
1600,,0.0062,,1,7,0.75,0.0000,200,,0.2152,1000,8,1,8,,2
20600,0.0001,0.0013,0.2,9,0,0.75,0.0000,100,0.0000,0.2194,1000,4,2,8,0.0005,8
3200,0.0003,0.0045,0.5,5,8,0.75,0.0000,400,0.0001,0.4047,2400.0,8,1,8,0.0007,2
384320000,0.0000,0.0012,1,23,3,0.75,0.0000,400,0.0000,0.3105,1000,8,3,8,0.0004,2
128162000,,0.0059,,15,0,0.5,0.0000,400,,0.2013,1000,2,3,8,,4
1000100,0.0000,0.0033,1,1,4,0.25,0.0000,100,0.0000,23.3018,100000,2,3,2,0.0004,4
1600,,0.0053,,11,1,0.5,0.0000,200,,0.1879,1000,8,1,8,,4
192321200,0.0001,0.0029,0.9,23,7,0.5,0.0000,400,0.0000,2.6593,10000,8,3,8,0.0005,2
1600,0.0004,0.0090,0.718,6,1,0.5,0.0000,200,0.0001,0.2410,1200.0,2,1,8,0.0144,8
3200,,0.0060,,15,7,0.5,0.0000,400,,0.3383,2400.0,8,1,8,,8
24080600,0.0000,0.0014,1,15,1,0.25,0.0000,200,0.0000,1.6937,10000,8,3,8,0.0006,4
280200,0.0001,0.0014,0.9,9,4,0.25,0.0000,200,0.0000,0.2308,1000,4,2,8,0.0005,8
801200,0.0001,0.0015,0.5,9,9,0.75,0.0000,400,0.0000,24.6555,100000,4,2,8,0.0006,8
384000800,0.0005,0.0025,0.91,15,5,0.75,0.0000,400,0.0002,0.1996,1000,2,3,8,0.0165,4
128000800,0.0001,0.0013,0.4,1,4,0.5,0.0000,400,0.0000,0.2529,1000,4,3,4,0.0006,4
256320800,0.0000,0.0012,1,21,1,0.25,0.0000,400,0.0000,1.8371,10000,4,3,8,0.0004,2
16080800,0.0000,0.0011,1,21,9,0.5,0.0000,200,0.0000,0.1595,1000,4,3,8,0.0006,2
240400,0.0001,0.0015,0.8,4,7,0.75,0.0000,200,0.0000,24.9908,100000,8,2,8,0.0005,8
32120200,0.0001,0.0016,0.2,15,0,0.5,0.0000,200,0.0000,29.1884,100000,8,3,8,0.0004,4
192480800,0.0001,0.0010,0.8,3,2,0.5,0.0000,400,0.0000,0.1580,1000,4,3,8,0.0004,2
200,,0.0034,,1,2,0.75,0.0000,100,,0.0251,150.0,8,1,2,,8
2030300,0.0000,0.0034,1,1,1,0.75,0.0000,100,0.0000,28.5692,100000,4,3,8,0.0004,8
160800,,0.5154,,16,7,0.75,0.0000,200,,27.7550,100000,4,2,8,,2
200600,0.0001,0.0010,0.6,27,9,0.5,0.0000,200,0.0000,16.9655,100000,2,2,8,0.0004,2
1600,0.0001,0.0015,0.4,5,0,0.5,0.0000,200,0.0000,0.1495,1000,8,1,8,0.0004,2
50300,0.0000,0.0008,1,26,7,0.75,0.0000,100,0.0000,0.1414,1000,2,2,8,0.0003,8
70100,0.0001,0.0012,0.4,26,5,0.25,0.0000,100,0.0000,9.5584,52575.0,2,2,8,0.0004,8
3030200,0.0002,0.0023,0.1,22,4,0.5,0.0000,100,0.0000,27.0605,100000,2,3,8,0.0013,2
256161200,,0.0073,,21,7,0.75,0.0000,400,,2.7832,10000,4,3,8,,2
160800,0.0000,0.0014,1,9,5,0.75,0.0000,200,0.0000,2.5846,10000,4,2,8,0.0005,8
16080800,,0.0127,,12,2,0.75,0.0000,200,,0.3171,1000,4,3,8,,8
1600,,0.0113,,15,9,0.5,0.0001,200,,0.2952,1200.0,8,1,8,,8
2030300,0.0000,0.0010,1,15,1,0.75,0.0000,100,0.0000,2.6459,10000,2,3,8,0.0004,4
3200,,0.0022,,15,2,0.25,0.0000,400,,0.0948,1000,8,1,8,,8
24080600,0.0000,0.0008,1,23,4,0.5,0.0000,200,0.0000,0.1361,1000,2,3,8,0.0003,4
320320400,0.0001,0.0046,1,27,0,0.25,0.0000,400,0.0000,0.1731,1000,4,3,8,0.0007,2
1120400,,0.0199,,16,8,0.25,0.0000,400,,1.4086,10000,4,2,8,,2
960800,0.0016,1.3117,1,9,1,0.25,0.0000,400,0.0003,21.9025,100000,4,2,8,0.0029,8
200600,,35.5483,,4,2,0.5,0.0000,200,,60.0009,100000,8,2,8,,8
800,,0.0048,,15,1,0.25,0.0001,100,,0.1007,600.0,8,1,8,,8
60200,0.0001,0.0025,1,4,7,0.5,0.0000,100,0.0000,2.2393,10000,8,2,8,0.0005,8
3050000,0.0000,0.0018,1,1,5,0.25,0.0000,100,0.0000,24.1058,100000,4,3,8,0.0005,8
20600,,0.0708,,20,9,0.75,0.0000,100,,4.5838,15450.0,8,2,8,,8
960800,,0.0041,,9,6,0.5,0.0000,400,,25.3798,100000,4,2,8,,8
16120600,,0.0048,,27,9,0.25,0.0002,200,,2.5130,10000,4,3,8,,2
80000,,0.0136,,0,3,0.5,0.0000,200,,0.2874,1000,4,2,2,,2
320800,0.0000,0.0014,1,0,6,0.25,0.0000,400,0.0000,23.9417,100000,4,2,4,0.0005,2
192480800,,0.0823,,17,5,0.25,0.0001,400,,23.2139,100000,8,3,8,,4
80000,0.0286,17.9922,1,0,4,0.25,0.0000,200,0.0000,31.7913,60000.0,4,2,2,0.0007,2
6010100,0.0001,0.0108,1,23,6,0.75,0.0001,100,0.0000,0.9532,1000,8,3,8,0.0007,2
960800,0.0005,0.0025,0.9,9,6,0.5,0.0000,400,0.0001,0.8445,1000,4,2,8,0.0025,8
32080400,0.0000,0.0037,1,23,9,0.25,0.0000,200,0.0000,3.2165,10000,8,3,8,0.0004,2
1600,,0.0084,,8,0,0.5,0.0000,200,,0.1376,1000,8,1,8,,8
32080400,0.6224,1.2276,1,3,8,0.5,0.0000,200,0.4472,7.8619,10000,4,3,8,1.3440,2
60200,0.0000,0.0008,1,9,1,0.5,0.0000,100,0.0000,0.1283,1000,4,2,8,0.0003,8
80400,0.0003,0.2930,0.7,4,5,0.75,0.0000,200,0.0000,15.5715,60300.0,4,2,4,0.0004,8
800,0.0002,0.0021,0.9,5,5,0.75,0.0000,200,0.0000,0.0956,600.0,4,1,4,0.0005,2
30100,,0.0456,,6,4,0.25,0.0000,100,,2.6092,10000,4,2,4,,4
40000,0.0001,0.0014,0.7,4,3,0.25,0.0000,100,0.0000,0.1754,1000,4,2,4,0.0005,8
3200,,0.0099,,5,7,0.5,0.0000,400,,0.4353,2400.0,8,1,8,,2
