universe.size,Cycle breaking,Grounding,answer,number.of.independent.pairs,instance,proportion.probabilistic,Propagating evidence,domain.size,Clark's completion,Total time,number.of.facts,number.of.variables,maximum.arity,number.of.predicates,DSharp compilation,maximum.number.of.nodes
40200,0.0000,0.0026,1,0,5,0.25,0.0000,200,0.0000,0.1631,1000,4,2,2,0.0005,2
48000400,0.0000,0.0017,1,15,2,0.5,0.0000,200,0.0000,2.3779,10000,8,3,8,0.0006,4
800,0.0000,0.0024,1,12,2,0.5,0.0000,100,0.0000,0.0958,600.0,2,1,8,0.0004,4
200600,0.0001,0.0013,0.1,1,2,0.5,0.0000,200,0.0000,3.7878,10000,8,2,8,0.0005,2
1010000,0.0000,0.0020,1,1,8,0.25,0.0000,100,0.0000,17.7374,100000,2,3,2,0.0004,4
320480000,0.0001,0.0015,0.6,23,2,0.25,0.0000,400,0.0000,1.8210,10000,8,3,8,0.0004,2
1600,0.0000,0.0015,1,6,2,0.25,0.0000,200,0.0000,0.0690,1000,2,1,8,0.0004,8
4030100,0.0003,0.0027,1,28,9,0.5,0.0000,100,0.0000,25.2431,100000,2,3,8,0.0007,2
1600,,0.0040,,1,4,0.5,0.0000,200,,0.1622,1200.0,8,1,8,,2
400,0.0001,0.0032,0.7,5,5,0.5,0.0000,100,0.0000,0.0495,300.0,2,1,4,0.0005,4
16080800,0.0000,0.0011,1,22,6,0.5,0.0000,200,0.0000,2.6897,10000,2,3,8,0.0004,2
1600,0.0017,0.5119,0.51800224,6,3,0.75,0.0000,200,0.0002,0.6847,1000,2,1,8,0.0221,8
40400,,0.0150,,4,1,0.5,0.0000,100,,2.3222,10000,8,2,8,,8
80000,,0.0059,,4,8,0.75,0.0000,100,,0.2079,1000,8,2,8,,8
200600,0.0002,0.0022,0.7,16,0,0.75,0.0000,200,0.0001,25.5387,100000,4,2,8,0.0008,2
320000,0.0000,0.0033,1,0,4,0.5,0.0000,400,0.0000,21.3978,100000,4,2,2,0.0005,2
800,,0.0048,,9,4,0.75,0.0000,100,,0.1891,600.0,2,1,8,,4
24080600,0.0000,0.0012,1,23,4,0.25,0.0000,200,0.0000,22.5875,100000,2,3,8,0.0005,4
3020300,0.0000,0.0016,1,1,7,0.25,0.0000,100,0.0000,0.1833,1000,4,3,8,0.0006,8
200600,,0.0049,,16,6,0.75,0.0000,200,,0.1953,1000,4,2,8,,2
160000,,0.1566,,0,0,0.25,0.0000,200,,16.6269,100000,4,2,4,,2
32040600,0.0000,0.0014,1,21,7,0.25,0.0000,200,0.0000,27.0113,100000,4,3,8,0.0004,2
192480800,0.0001,0.0021,0.3,28,4,0.75,0.0000,400,0.0001,0.3806,1000,2,3,8,0.0008,2
4020200,0.0001,0.0022,0.2,12,8,0.75,0.0000,100,0.0000,2.5574,10000,4,3,8,0.0008,8
192480800,0.0000,0.0018,1,21,4,0.75,0.0000,400,0.0000,0.3644,1000,4,3,8,0.0007,2
1000100,0.0001,0.0013,0.6,1,7,0.75,0.0000,100,0.0000,0.2244,1000,2,3,2,0.0005,4
1000100,0.0001,0.0027,0.5,1,5,0.75,0.0000,100,0.0000,29.7777,100000,2,3,2,0.0005,4
801200,0.0002,0.0021,0.9,4,2,0.25,0.0000,400,0.0000,0.2535,1000,8,2,8,0.0007,8
3030200,0.0000,0.0019,1,12,0,0.25,0.0000,100,0.0000,0.2893,1000,4,3,8,0.0006,8
800,,0.0082,,5,9,0.25,0.0000,100,,0.0796,600.0,8,1,8,,2
3030200,0.0000,0.0016,1,28,4,0.5,0.0000,100,0.0000,27.5621,100000,2,3,8,0.0006,2
1060100,,0.0085,,17,2,0.5,0.0000,100,,2.1292,10000,8,3,8,,4
1010000,0.0001,0.0020,1,1,1,0.25,0.0000,100,0.0001,0.3505,1000,2,3,2,0.0006,4
240400,0.0001,0.0010,0.3,27,5,0.25,0.0000,200,0.0000,0.9656,10000,2,2,8,0.0004,2
32080400,,0.0800,,12,8,0.25,0.0000,200,,24.2356,100000,4,3,8,,8
4010300,0.0001,0.0011,0.3,21,2,0.5,0.0000,100,0.0000,17.6040,100000,4,3,8,0.0003,2
32040600,0.0000,0.0017,1,8,6,0.5,0.0000,200,0.0000,16.3001,100000,2,3,8,0.0005,4
800,,59.9074,,22,2,0.5,0.0000,100,,60.0003,600.0,8,1,8,,8
