domain.size,number.of.predicates,number.of.variables,number.of.facts,Cycle breaking,Grounding,maximum.number.of.nodes,Compiling SDDExplicit,maximum.arity,proportion.probabilistic,Propagating evidence,Total time,number.of.independent.pairs,answer,instance,universe.size
200,4,4,1000,,0.0034,2,,2,0.5,0.0000,0.1959,0,,3,80400
100,8,8,1000,0.0000,0.0014,2,0.0003,3,0.25,0.0000,0.1781,23,1,7,3020300
200,8,2,100000,0.0001,0.0013,4,0.0003,3,0.5,0.0000,27.4775,23,0.2,1,24080600
100,8,4,10000,0.0000,0.0022,8,0.0002,2,0.25,0.0000,2.4725,8,1,4,60200
400,8,4,1000,,0.0030,2,,3,0.75,0.0000,0.2054,21,,8,128640800
400,8,8,100000,,0.7490,2,,2,0.75,0.0001,26.0126,1,,3,641600
200,4,4,1000,0.0004,0.0076,4,0.0018,3,0.75,0.0001,0.3493,1,0.9,2,16080000
400,8,4,100000,0.0001,0.0024,2,0.0005,3,0.5,0.0000,27.5014,27,0.7,5,256480400
200,8,2,10000,0.0001,0.0019,4,0.0004,3,0.5,0.0000,2.3399,15,0.3,8,32040600
200,8,4,10000,0.0001,0.0029,2,0.0003,3,0.5,0.0000,2.5350,27,0.9,7,16120600
100,8,2,10000,,0.0027,2,,2,0.5,0.0000,2.6904,19,,7,50300
100,8,8,45150.0,,49.7950,8,,2,0.75,0.0000,60.0002,4,,7,60200
400,4,4,1000,0.0002,0.0024,8,0.0004,2,0.5,0.0000,0.1791,4,0.8,0,480400
200,8,4,10000,0.0001,0.0016,2,0.0004,3,0.5,0.0000,2.8561,21,0.8,0,32160000
100,4,4,1000,0.0002,0.0012,4,0.0003,3,0.5,0.0000,0.2115,1,0.4,4,2000200
400,4,4,100000,,0.9359,8,,2,0.25,0.0000,21.3916,4,,2,320800
100,8,8,1000,0.0001,0.0018,2,0.0005,2,0.75,0.0000,0.1177,1,0.94,9,60200
400,8,8,100000,,0.0622,4,,3,0.5,0.0000,26.0750,15,,2,384000800
200,4,4,100000,0.0001,0.0027,4,0.0004,3,0.5,0.0000,30.7950,1,1,3,24000200
400,8,8,2400.0,,0.0039,8,,1,0.25,0.0000,0.1666,15,,1,3200
200,8,4,1200.0,0.0004,0.4529,2,0.0002,1,0.5,0.0000,0.5533,5,1,5,1600
200,8,8,1000,0.0000,0.0023,8,0.0002,1,0.5,0.0000,0.0861,20,1,2,1600
400,8,8,10000,,0.0139,8,,2,0.5,0.0000,1.6863,4,,8,1280000
400,8,8,100000,,0.2546,2,,2,0.25,0.0000,17.5265,1,,9,960800
100,4,4,1000,0.0000,0.0020,8,0.0004,3,0.25,0.0000,0.3448,6,1,0,2020000
200,4,4,1000,,0.0044,8,,3,0.75,0.0000,0.3848,6,,3,8080200
200,8,2,1000,0.0000,0.0015,8,0.0004,2,0.25,0.0000,0.1891,26,1,3,280200
100,8,4,37725.0,,0.0051,2,,2,0.75,0.0000,9.9326,16,,4,50300
400,8,2,100000,0.0000,0.0022,4,0.0002,3,0.5,0.0000,27.6901,23,1,2,320480000
100,8,2,1000,0.0000,0.0009,2,0.0002,2,0.25,0.0000,0.0955,27,1,9,50300
100,8,4,1000,0.0000,0.0164,2,0.0002,3,0.25,0.0000,0.1215,3,1,4,2050100
100,8,4,100000,0.0053,2.3389,2,0.0002,3,0.25,0.0001,38.4474,3,1,3,4020200
400,8,8,1000,0.0016,0.0028,2,0.0005,1,0.75,0.0000,0.2714,1,0.6,3,3200
100,8,2,10000,0.0000,0.0107,4,0.0003,3,0.5,0.0001,3.6266,23,1,8,3040100
100,8,8,1000,0.0002,0.0016,8,0.0004,2,0.5,0.0000,0.2868,4,0.5,1,40400
400,8,2,1000,0.0002,0.0018,4,0.0004,2,0.5,0.0000,0.2832,17,0.2,9,641600
200,4,4,1000,0.0000,0.0014,4,0.0004,2,0.75,0.0000,0.3147,6,1,3,160000
200,8,8,100000,0.0000,0.0022,4,0.0002,3,0.25,0.0000,31.6284,17,1,9,24040800
100,8,2,100000,0.0001,0.0098,4,0.0003,3,0.25,0.0002,31.4946,15,1,9,3050000
200,8,8,1000,,0.0089,4,,1,0.5,0.0000,0.2221,11,,5,1600
200,8,2,10000,0.0000,0.0015,4,0.0003,3,0.75,0.0000,3.5990,15,1,0,16041000
400,8,4,100000,0.0014,0.0074,8,0.0004,2,0.5,0.0001,32.0381,8,0.9,2,482000
100,8,2,10000,0.0000,0.0016,4,0.0003,2,0.25,0.0000,2.7745,17,1,8,40400
200,8,8,10000,,0.0146,4,,3,0.5,0.0000,3.0498,17,,5,24120400
200,4,8,1000,0.0001,0.0020,4,0.0009,3,0.75,0.0000,0.4984,1,0.5,9,8000600
400,8,2,10000,0.0001,0.0019,4,0.0003,3,0.75,0.0000,4.1029,15,0.7,8,256161200
400,8,2,10000,0.0006,0.0065,4,0.0012,3,0.25,0.0001,3.0306,15,0.2,1,128481200
400,8,2,100000,0.0000,0.0016,8,0.0002,2,0.5,0.0001,28.8649,26,1,3,1120400
200,8,8,100000,0.0000,0.0019,2,0.0002,2,0.25,0.0000,28.7017,12,1,5,160800
100,8,8,10000,,0.0962,8,,2,0.25,0.0000,2.7273,20,,1,50300
400,8,8,100000,,0.2799,2,,2,0.25,0.0000,27.5585,1,,3,641600
100,8,2,1000,0.0000,0.0014,4,0.0003,3,0.25,0.0000,0.2940,15,1,4,4010300
100,4,8,100000,,1.4250,4,,3,0.5,0.0000,38.2711,1,,8,2010100
100,8,2,100000,0.0000,0.0053,2,0.0004,3,0.25,0.0001,38.6928,22,1,0,5010200
100,8,4,100000,0.0001,0.0026,4,0.0003,3,0.75,0.0001,41.7224,15,0.7,6,3020300
400,8,2,1000,0.0003,0.0034,2,0.0014,3,0.25,0.0001,0.3514,28,1,3,320320400
200,8,4,10000,0.0001,0.0030,8,0.0016,3,0.75,0.0000,4.2287,1,1,8,40040400
100,8,8,1000,0.0001,0.0015,8,0.0004,2,0.25,0.0000,0.3214,4,0.6,8,80000
100,4,8,1000,0.0001,0.0018,4,0.0004,3,0.75,0.0000,0.4569,1,0.5,3,3000100
200,4,8,1000,0.0000,0.0017,4,0.0003,3,0.25,0.0000,0.3567,1,1,3,24000200
100,8,4,10000,,0.0376,2,,2,0.75,0.0000,3.5021,16,,3,40400
400,8,2,100000,0.0001,0.0013,4,0.0002,3,0.75,0.0000,40.9349,23,0.2,1,192321200
400,8,8,2400.0,,0.0046,8,,1,0.25,0.0000,0.4930,22,,9,3200
200,4,4,100000,,0.3043,8,,3,0.75,0.0000,43.7867,6,,9,8040400
100,8,8,1000,,0.0058,8,,2,0.75,0.0000,0.3376,4,,1,40400
200,8,2,1000,,0.0035,2,,3,0.75,0.0001,0.4060,22,,2,32040600
200,2,4,10000,0.0001,0.0015,2,0.0004,2,0.75,0.0000,3.3028,0,0.1,1,80000
100,8,4,100000,0.0001,0.0021,8,0.0002,3,0.5,0.0000,37.6837,12,0.7,9,2040200
400,8,8,1000,0.0000,0.0011,4,0.0003,3,0.25,0.0000,0.2380,17,1,8,128640800
400,4,4,10000,0.0003,0.0052,4,0.0014,2,0.5,0.0001,3.3543,6,1,7,480400
400,8,8,100000,,26.7547,4,,3,0.25,0.0001,60.0002,15,,8,256320800
200,8,8,10000,,0.0222,8,,2,0.5,0.0000,3.2314,20,,5,200600
400,8,8,1000,0.0003,0.0026,2,0.0006,1,0.5,0.0000,0.2392,1,0.2,6,3200
100,8,4,37725.0,,47.1295,8,,2,0.5,0.0000,60.0005,9,,9,50300
400,8,2,1000,0.0000,0.0056,2,0.0003,3,0.5,0.0000,0.3589,28,1,8,192161600
100,8,4,30300.0,0.0003,0.0178,8,0.0006,2,0.5,0.0000,9.9817,9,0.82,7,40400
400,8,2,10000,0.0001,0.0015,4,0.0004,3,0.75,0.0000,3.5298,15,0.2,2,128481200
100,8,2,100000,0.0000,0.0046,2,0.0002,3,0.75,0.0001,43.1622,22,1,2,4010300
100,8,4,100000,,0.0846,4,,3,0.75,0.0000,38.5203,15,,1,6010100
400,8,2,10000,0.0001,0.0123,4,0.0003,3,0.25,0.0001,3.3166,15,1,0,128162000
100,8,2,10000,0.0002,0.0013,4,0.0003,3,0.75,0.0000,2.8287,15,0.1,0,2010500
100,8,4,1000,0.0001,0.0019,8,0.0005,2,0.5,0.0000,0.3486,9,0.6,6,60200
400,8,8,2400.0,0.0004,0.0027,2,0.0004,1,0.5,0.0000,0.4996,1,0.3,6,3200
400,4,4,1000,,0.0175,4,,2,0.25,0.0000,0.2665,6,,6,320800
200,8,2,1200.0,0.0000,0.0067,8,0.0003,1,0.75,0.0000,0.4079,6,1,3,1600
400,8,2,1000,,0.0159,4,,2,0.5,0.0001,0.2911,17,,2,801200
400,8,4,100000,0.0001,0.0016,8,0.0003,3,0.5,0.0000,37.0368,1,0.8,5,192800000
200,4,8,1000,0.0003,0.0049,4,0.0017,3,0.25,0.0001,0.3544,1,1,2,24040000
400,8,4,1000,0.0000,0.0014,8,0.0003,3,0.25,0.0000,0.2980,1,1,7,192321200
400,4,4,100000,0.0006,0.0097,4,0.0004,2,0.25,0.0002,28.1328,6,0.3,1,320800
200,8,2,1200.0,0.0000,0.0019,4,0.0002,1,0.75,0.0000,0.2673,12,1,0,1600
100,8,2,600.0,,0.0136,4,,1,0.25,0.0000,0.1312,9,,3,800
400,8,4,1000,,0.0191,8,,2,0.25,0.0000,0.2612,9,,3,641600
400,8,2,10000,0.0001,0.0104,8,0.0003,2,0.75,0.0000,3.4616,26,0.9,6,322400
100,2,2,10000,0.0000,0.0080,4,0.0003,3,0.25,0.0001,3.4314,1,1,2,2000000
100,8,4,1000,0.0002,0.0109,2,0.0005,3,0.25,0.0002,0.3894,27,0.5,8,4020200
200,8,4,10000,0.0003,0.0023,8,0.0013,2,0.5,0.0000,3.8319,9,0.6,4,280200
100,4,4,10000,,0.0049,8,,3,0.5,0.0001,2.9292,6,,3,1020100
400,8,4,1000,0.0002,0.0030,2,0.0004,3,0.75,0.0000,0.3282,27,0.8,4,64481600
400,8,2,2400.0,0.0003,0.0025,8,0.0004,1,0.75,0.0000,0.6018,6,0.1,2,3200
200,4,4,1000,0.0000,0.0018,4,0.0003,3,0.25,0.0000,0.2701,1,1,0,8040400
100,8,2,100000,0.0001,0.0027,4,0.0002,3,0.5,0.0000,38.0651,15,1,1,2030300
100,8,2,22875.0,0.0000,0.0012,4,0.0002,2,0.5,0.0000,7.0094,17,1,4,30500
400,8,2,1000,0.0001,0.0025,2,0.0018,3,0.5,0.0000,0.2967,22,1,7,256320800
100,8,4,100000,0.0002,0.0060,4,0.0007,3,0.75,0.0001,40.5339,15,0.88,8,3010400
100,8,2,10000,0.0001,0.0019,4,0.0004,3,0.75,0.0000,3.1949,15,0.8,4,4010300
400,8,4,100000,0.0000,0.0096,2,0.0002,3,0.25,0.0002,32.8011,27,1,3,256161200
400,4,8,100000,0.0002,0.0026,4,0.0005,3,0.25,0.0000,35.7986,1,0.8,8,128160400
200,8,4,100000,0.0000,0.0018,8,0.0005,3,0.5,0.0000,37.4809,12,1,2,16080800
100,8,4,1000,0.0006,0.0092,8,0.0007,2,0.75,0.0002,0.2977,9,0.8,8,30500
400,8,8,2400.0,,0.9299,2,,1,0.25,0.0000,1.4044,1,,1,3200
400,8,2,10000,0.0000,0.0026,8,0.0006,2,0.5,0.0000,3.3104,26,1,9,641600
200,8,8,10000,,0.0258,2,,3,0.75,0.0000,4.0918,23,,1,32080400
100,8,8,10000,0.0002,0.0088,4,0.0007,3,0.5,0.0002,2.7853,15,1,4,5010200
200,4,4,10000,,0.0140,2,,2,0.75,0.0000,3.6844,0,,9,80400
400,4,4,1200.0,,0.0041,2,,1,0.5,0.0000,0.2998,5,,9,1600
200,4,4,600.0,,0.0123,2,,1,0.75,0.0000,0.1821,5,,9,800
400,8,4,1000,0.0004,0.0040,2,0.0006,1,0.25,0.0000,0.2215,5,0.5,4,3200
400,8,4,2400.0,,0.0181,8,,1,0.5,0.0001,0.5570,10,,2,3200
200,8,8,10000,,0.0396,4,,3,0.25,0.0001,3.6063,15,,7,40040400
400,8,2,10000,0.0001,0.0016,4,0.0003,3,0.5,0.0000,3.6611,8,0.8,9,192480800
200,8,8,1200.0,0.0014,0.0125,8,0.0006,1,0.75,0.0001,0.3359,20,0.3,3,1600
100,4,2,300.0,,0.0083,4,,1,0.5,0.0000,0.0828,5,,7,400
200,4,4,1000,,0.0048,2,,2,0.25,0.0000,0.3043,0,,2,120200
100,8,8,600.0,,0.0137,2,,1,0.75,0.0000,0.2316,5,,4,800
100,8,2,1000,0.0000,0.0061,4,0.0004,3,0.5,0.0000,0.4293,8,1,2,3010400
100,8,4,1000,0.0001,0.0016,2,0.0004,3,0.75,0.0000,0.3903,27,0.5,5,4030100
100,8,8,600.0,,0.0045,2,,1,0.5,0.0000,0.1912,5,,0,800
100,8,2,10000,0.0000,0.0017,4,0.0003,3,0.25,0.0000,3.0000,8,1,3,2040200
200,8,4,1000,,0.0036,8,,1,0.25,0.0000,0.2421,3,,2,1600
200,8,4,10000,0.0000,0.0011,8,0.0003,2,0.25,0.0000,2.9881,9,1,4,280200
200,8,8,10000,,0.0084,2,,3,0.75,0.0000,3.5770,23,,9,32080400
100,8,2,1000,0.0000,0.0010,2,0.0002,3,0.75,0.0000,0.2990,28,1,7,5020100
200,8,8,1000,,0.0029,8,,1,0.75,0.0000,0.1934,20,,7,1600
400,8,4,100000,0.0002,0.0148,8,0.0003,2,0.25,0.0000,28.0298,8,1,8,322400
400,4,4,100000,0.0004,0.0068,4,0.0012,2,0.75,0.0001,34.2159,6,0.8,3,640000
100,8,8,10000,0.0000,0.0015,4,0.0005,3,0.25,0.0000,3.3572,15,1,9,8000000
200,8,4,1200.0,,0.0104,4,,1,0.5,0.0000,0.3677,9,,0,1600
200,8,2,1000,0.0000,0.0015,4,0.0003,3,0.5,0.0000,0.3463,15,1,5,48000400
100,8,2,600.0,,0.0032,8,,1,0.5,0.0000,0.1420,6,,8,800
200,4,4,10000,,0.0706,4,,2,0.75,0.0000,3.5696,6,,8,40600
400,8,8,1000,,0.0238,8,,2,0.5,0.0001,0.3919,20,,7,482000
100,8,4,600.0,,0.0244,8,,1,0.25,0.0001,0.1731,3,218.,3,800
200,2,2,1000,0.0001,0.0015,4,0.0004,3,0.5,0.0000,0.4304,1,0.3,3,8040000
200,8,8,10000,0.0001,0.0024,4,0.0005,3,0.5,0.0001,2.5913,15,0.5,4,40040400
400,8,2,1000,0.0001,0.0008,2,0.0002,2,0.75,0.0000,0.1680,19,0.6,0,482000
200,8,8,1000,0.0001,0.0658,4,0.0002,3,0.75,0.0000,0.1904,17,1,4,24120400
400,8,4,100000,,0.0832,2,,3,0.5,0.0000,28.3343,27,,4,64481600
100,8,2,600.0,,0.0024,8,,1,0.75,0.0000,0.0888,6,,1,800
400,8,8,1000,,0.0049,8,,1,0.25,0.0000,0.1357,8,,9,3200
400,8,8,1000,0.0003,0.0042,8,0.0006,1,0.75,0.0000,0.1734,20,0.4,9,3200
200,8,4,1200.0,,0.0025,8,,1,0.75,0.0000,0.1961,10,,2,1600
100,8,4,100000,,0.1023,2,,3,0.75,0.0000,35.0298,21,,7,4010300
200,8,2,10000,0.0007,0.0061,4,0.0009,3,0.5,0.0000,3.6017,8,0.7,5,56000200
400,8,4,100000,0.0001,0.0107,8,0.0005,2,0.25,0.0002,28.2604,9,1,6,960800
200,8,4,1000,0.0007,0.0177,2,0.0016,1,0.75,0.0001,0.6444,5,0.1945,4,1600
200,8,2,10000,0.0001,0.0085,2,0.0004,2,0.5,0.0002,3.1740,19,0.3,6,200600
200,8,4,1000,0.0003,0.0458,2,0.0003,3,0.75,0.0000,0.3479,3,0.7,4,16200200
400,8,4,1000,0.1140,0.6496,2,0.1738,3,0.25,0.0000,1.5295,3,1,8,256320800
200,8,2,100000,0.0001,0.0013,2,0.0002,2,0.75,0.0000,31.6099,27,0.9,9,200600
100,8,8,1000,,0.0098,8,,2,0.5,0.0000,0.2941,4,,0,40400
200,8,8,1200.0,,0.0046,8,,1,0.25,0.0000,0.2061,8,,3,1600
200,8,8,1000,,0.6092,2,,2,0.5,0.0000,0.7610,1,,1,121000
200,8,8,1000,0.0001,0.0043,8,0.0005,2,0.5,0.0000,0.4221,20,1,2,160800
400,8,8,1000,,0.0117,8,,2,0.5,0.0000,0.3296,20,,6,960800
400,8,8,10000,0.0002,0.0087,2,0.0006,3,0.75,0.0002,11.7507,23,0.3,6,384160400
100,8,8,100000,0.0000,0.0019,4,0.0004,3,0.25,0.0000,38.4016,17,1,5,3030200
100,4,4,10000,,0.0932,8,,2,0.25,0.0000,3.0873,4,,5,20200
100,8,8,1000,,0.0052,2,,3,0.25,0.0000,0.4017,23,,1,4020200
100,8,4,100000,0.0000,0.0020,4,0.0004,3,0.25,0.0000,32.2389,15,1,0,3040100
100,8,2,10000,0.0000,0.0014,4,0.0003,3,0.5,0.0000,3.3085,15,1,5,6000200
100,4,4,1000,,0.0119,4,,2,0.25,0.0002,0.2420,6,,2,20200
100,8,2,1000,0.0001,0.0027,2,0.0004,2,0.75,0.0000,0.4015,27,0.1,6,60200
400,8,4,100000,0.0000,0.0016,4,0.0004,3,0.25,0.0000,33.3614,15,1,7,320320400
200,8,4,1000,,0.0085,8,,2,0.75,0.0000,0.3427,8,,8,81200
200,8,8,1200.0,,0.0140,4,,1,0.5,0.0001,0.3419,11,,7,1600
100,8,4,10000,0.0000,0.0015,4,0.0003,3,0.25,0.0000,2.4796,15,1,0,3040100
200,8,2,1000,,0.0047,4,,2,0.75,0.0000,0.2678,17,,3,160800
400,8,2,1000,0.0003,0.0026,2,0.0005,2,0.75,0.0000,0.3106,27,0.6,6,960800
400,8,2,100000,0.0001,0.0029,2,0.0004,2,0.5,0.0000,31.0015,19,0.5,1,960800
200,4,4,90150.0,0.0001,0.0019,4,0.0003,2,0.75,0.0000,29.1191,6,0.3,7,120200
200,8,8,1000,,0.0059,2,,1,0.5,0.0000,0.2182,5,,7,1600
400,8,4,10000,0.0000,0.0015,2,0.0002,3,0.5,0.0000,3.5969,21,1,7,256161200
200,8,4,10000,0.0000,0.0015,2,0.0004,3,0.5,0.0000,3.3390,3,1,9,32120200
200,8,4,1000,,0.0054,4,,1,0.25,0.0000,0.2452,9,,9,1600
200,8,4,100000,0.0000,0.0019,2,0.0002,3,0.75,0.0000,40.7040,3,1,3,32080400
400,8,4,10000,0.0001,0.0010,2,0.0003,3,0.75,0.0000,3.1654,21,0.9,9,128321600
200,8,4,10000,,0.0281,8,,2,0.75,0.0000,3.4969,9,,6,240400
200,8,4,1000,0.0000,0.0015,8,0.0003,3,0.25,0.0000,0.3158,12,1,5,32040600
200,8,8,90750.0,0.3377,0.8922,2,0.3392,2,0.25,0.0000,26.3987,12,1,9,121000
200,8,8,100000,,0.1257,4,,3,0.5,0.0000,37.2630,15,,2,48000400
200,8,8,1000,,0.0051,2,,3,0.25,0.0000,0.2752,23,,0,24001000
100,8,4,100000,0.0001,0.0023,8,0.0002,3,0.75,0.0000,39.1923,1,0.6,6,1000700
200,4,8,10000,,0.0709,4,,3,0.25,0.0000,3.2893,1,,8,16040200
400,8,2,100000,0.0002,0.0069,4,0.0011,3,0.25,0.0000,30.0091,8,1,8,192321200
100,4,4,10000,0.0001,0.0018,4,0.0003,3,0.75,0.0000,3.8074,1,0.1,2,2020000
400,8,8,100000,0.0001,0.0016,2,0.0002,2,0.25,0.0000,27.7906,12,0.5,5,641600
200,4,4,1000,0.0000,0.0022,4,0.0002,2,0.25,0.0000,0.1984,6,1,0,120200
100,8,8,30300.0,0.0000,0.0018,8,0.0002,2,0.25,0.0000,8.1995,4,1,4,40400
100,8,8,30300.0,,0.0985,2,,2,0.75,0.0000,10.3445,1,,3,40400
200,8,8,1200.0,0.0006,0.5726,2,0.0004,1,0.75,0.0002,0.8274,1,0.9,6,1600
100,8,8,600.0,0.0003,0.0028,8,0.0006,1,0.75,0.0000,0.1458,8,0.6,2,800
100,8,4,1000,0.0001,0.0077,8,0.0004,3,0.75,0.0002,0.3635,1,0.7,5,3050000
200,8,4,10000,0.0003,0.0059,4,0.0014,3,0.25,0.0001,3.0171,15,1,9,16080800
400,4,4,100000,0.0001,0.0078,2,0.0002,2,0.25,0.0002,29.0420,0,0.1,4,320800
400,8,4,100000,0.0000,0.0011,2,0.0003,3,0.5,0.0000,35.9755,27,1,0,320320400
400,2,4,10000,,0.0548,2,,2,0.25,0.0000,3.0897,0,,8,320000
200,8,2,100000,0.0001,0.0093,4,0.0003,2,0.75,0.0002,31.4701,17,0.8,2,200600
200,8,8,1000,,0.0057,2,,2,0.75,0.0000,0.2972,1,,3,160800
200,4,4,1000,0.0001,0.0018,8,0.0004,3,0.75,0.0000,0.3660,6,0.6,1,16080000
400,8,2,1000,0.0000,0.0026,2,0.0003,2,0.5,0.0000,0.3254,27,1,2,801200
400,8,4,100000,0.0000,0.0060,2,0.0001,3,0.25,0.0000,30.7441,21,1,9,128321600
200,8,2,100000,0.0001,0.0088,2,0.0004,2,0.75,0.0000,26.8017,19,1,1,240400
400,4,2,1200.0,,0.0029,4,,1,0.75,0.0000,0.1030,5,,3,1600
100,8,8,600.0,0.0001,0.0021,2,0.0003,1,0.25,0.0000,0.0474,5,0.6,4,800
400,4,4,1000,,59.9210,4,,2,0.25,0.0000,60.0002,6,,5,161200
400,8,4,2400.0,,0.0061,8,,1,0.75,0.0000,0.5694,3,,7,3200
200,4,4,600.0,0.0004,0.0039,2,0.0006,1,0.25,0.0000,0.1084,5,0.8,4,800
100,4,4,100000,0.0001,0.0028,8,0.0002,3,0.25,0.0000,22.5969,6,0.4,8,1020100
200,8,4,100000,0.0000,0.0016,4,0.0002,3,0.5,0.0000,25.4486,15,1,5,32080400
200,8,8,1000,,0.0030,2,,2,0.25,0.0000,0.1010,12,,6,121000
100,8,2,45150.0,0.0000,0.0011,2,0.0001,2,0.5,0.0000,5.9493,27,1,6,60200
100,8,2,10000,0.0001,0.0012,4,0.0004,3,0.25,0.0000,1.4155,23,0.1,6,6010100
400,8,8,10000,0.0000,0.0010,2,0.0002,3,0.5,0.0000,1.6061,23,1,8,256161200
400,8,4,1000,0.0001,0.1636,2,0.0002,3,0.25,0.0000,0.2903,21,1,1,256320800
400,8,8,100000,,0.6679,4,,3,0.25,0.0000,22.1014,17,,3,256161200
400,4,4,1000,0.0002,0.0024,2,0.0004,1,0.75,0.0000,0.1655,5,0.6,5,1600
400,4,4,100000,,0.1994,2,,2,0.5,0.0000,18.1442,0,,1,320800
100,8,8,1000,0.0070,0.0311,8,0.0030,2,0.75,0.0000,0.2731,20,0.5,6,60200
200,8,2,100000,0.0000,0.0013,2,0.0002,2,0.25,0.0000,18.8564,27,1,2,200600
200,8,4,1000,0.0001,0.0023,8,0.0003,2,0.25,0.0000,0.1084,9,0.4,2,160800
200,8,4,100000,0.0001,0.0238,2,0.0003,3,0.75,0.0000,30.8211,21,0.1,7,32040600
100,8,4,10000,0.0000,0.0013,2,0.0003,3,0.75,0.0000,2.2469,21,1,8,2040200
400,8,8,100000,0.0000,0.0018,4,0.0003,3,0.25,0.0000,27.5807,15,1,4,320160800
100,4,2,300.0,0.0000,0.0022,4,0.0003,1,0.75,0.0000,0.0570,5,1,0,400
400,8,2,100000,0.0001,0.0014,2,0.0002,3,0.25,0.0000,30.7096,22,0.5,8,256001600
100,4,8,100000,,0.3697,4,,3,0.25,0.0000,26.0756,1,,6,2000200
200,8,8,10000,,0.0088,8,,2,0.25,0.0000,2.8403,20,,6,240400
400,8,8,1000,0.0000,0.0028,4,0.0003,3,0.25,0.0000,0.2141,17,1,1,192321200
200,8,4,1000,0.0000,0.0059,2,0.0003,2,0.25,0.0001,0.2464,16,1,2,200600
400,4,4,1000,0.0001,0.0015,4,0.0004,2,0.75,0.0000,0.2664,6,0.4,1,320800
200,8,8,1000,0.0001,0.0014,4,0.0003,3,0.25,0.0000,0.2546,15,0.9,9,64000000
100,4,8,100000,,0.3509,4,,3,0.5,0.0000,29.3361,1,,6,2000200
200,8,4,1000,0.0001,0.0011,8,0.0003,3,0.25,0.0000,0.1944,1,0.8,5,24200000
400,2,8,600.0,,0.0034,8,,1,0.75,0.0000,0.0968,1,,6,800
200,8,8,1000,,0.0047,2,,1,0.25,0.0000,0.1301,1,,4,1600
200,4,4,1000,0.0000,0.0014,4,0.0004,2,0.5,0.0000,0.1874,6,1,1,80400
400,8,8,2400.0,,0.0073,4,,1,0.25,0.0000,0.3077,11,,0,3200
400,8,4,1000,0.0001,0.0012,8,0.0003,3,0.75,0.0000,0.2595,12,0.2,6,256320800
400,8,2,10000,0.0000,0.0008,8,0.0002,2,0.25,0.0000,0.9538,26,1,4,960800
200,8,4,100000,,0.6131,8,,3,0.5,0.0000,25.3297,12,,4,32160000
200,8,8,1000,,0.0043,2,,2,0.25,0.0000,0.1785,1,,3,160800
100,4,4,1000,,0.0042,8,,3,0.25,0.0000,0.2249,6,,1,2020000
400,8,4,100000,0.0001,0.0029,2,0.0002,2,0.25,0.0000,18.5859,16,0.7,7,641600
100,4,2,300.0,0.0002,0.0028,4,0.0004,1,0.75,0.0000,0.0569,5,0.7,8,400
400,8,4,100000,,0.5360,8,,2,0.75,0.0000,23.8956,9,,4,1120400
400,8,2,100000,0.0005,0.0051,4,0.0005,3,0.75,0.0000,26.1843,23,0.7,4,192321200
100,8,4,1000,0.0001,0.0015,8,0.0004,3,0.25,0.0000,0.2047,1,0.9,4,3030200
400,4,4,100000,0.0001,0.0014,2,0.0002,2,0.25,0.0000,19.5660,0,0.4,5,320800
400,8,4,100000,0.0000,0.0015,8,0.0003,3,0.75,0.0000,24.6497,12,1,6,256320800
200,4,4,1000,0.0000,0.0020,4,0.0003,3,0.5,0.0001,0.1491,1,1,1,16080000
400,2,4,100000,,0.6858,2,,2,0.5,0.0000,19.9699,0,,8,320000
100,8,2,10000,0.0000,0.0011,2,0.0002,3,0.5,0.0000,1.5020,22,1,0,5010200
100,2,8,150.0,,0.0020,8,,1,0.75,0.0000,0.0214,1,,1,200
100,8,8,600.0,,0.0022,2,,1,0.75,0.0000,0.0686,5,,5,800
200,8,4,10000,0.0000,0.0010,8,0.0002,3,0.75,0.0000,1.5205,12,1,2,16080800
400,8,8,1000,,0.0026,4,,1,0.5,0.0000,0.1439,11,,7,3200
400,8,2,10000,0.0001,0.0014,8,0.0003,2,0.25,0.0000,1.8299,26,0.3,9,641600
100,2,8,150.0,0.0000,0.0018,8,0.0002,1,0.25,0.0000,0.0188,1,1,1,200
200,8,2,1000,,59.8881,4,,3,0.25,0.0000,60.0002,15,,0,16041000
200,8,2,1000,0.0000,0.0038,8,0.0003,1,0.5,0.0000,0.0996,6,1,3,1600
400,8,8,2400.0,,0.0026,8,,1,0.75,0.0000,0.2534,20,,7,3200
100,4,4,1000,0.0000,0.0010,8,0.0002,3,0.75,0.0000,0.1573,6,1,1,2020000
200,8,4,10000,0.0001,0.0018,8,0.0003,3,0.5,0.0000,1.4245,12,0.9,0,24120400
400,8,8,2400.0,0.0001,0.0018,8,0.0003,1,0.25,0.0000,0.1982,20,0.8,8,3200
100,4,4,10000,,0.0204,8,,3,0.25,0.0000,1.4763,6,,3,1020100
400,8,2,1000,0.0001,0.0023,4,0.0006,3,0.75,0.0000,0.1452,23,0.92,4,192321200
200,8,2,100000,0.0001,0.0016,2,0.0004,3,0.75,0.0000,24.6921,22,0.8,9,24120400
400,4,4,1000,0.3721,0.5846,4,0.3690,3,0.25,0.0000,1.5391,1,0.9,9,128000800
100,4,4,100000,,0.0056,4,,3,0.5,0.0000,23.5519,1,,0,1010200
400,8,4,10000,,0.0059,2,,3,0.75,0.0000,2.5309,3,,9,256480400
200,8,8,1000,,0.0032,8,,1,0.75,0.0000,0.1068,15,,8,1600
