domain.size,number.of.predicates,number.of.variables,number.of.facts,Cycle breaking,Grounding,maximum.number.of.nodes,Compiling SDDExplicit,maximum.arity,proportion.probabilistic,Propagating evidence,Total time,number.of.independent.pairs,answer,instance,universe.size
100,2,2,100000,0.0000,0.0020,4,0.0001,3,0.25,0.0000,24.4854,1,1,8,1010000
400,8,8,10000,0.0001,0.0014,2,0.0003,3,0.25,0.0000,1.5598,23,0.6,2,320480000
200,8,2,1000,0.0000,0.0022,8,0.0002,1,0.25,0.0000,0.1431,6,1,2,1600
100,8,2,100000,0.0000,0.0017,2,0.0004,3,0.5,0.0000,24.0028,28,1,9,4030100
200,8,8,1200.0,,0.0042,2,,1,0.5,0.0000,0.1946,1,,4,1600
100,4,2,300.0,0.0001,0.0035,4,0.0003,1,0.5,0.0000,0.0579,5,0.7,5,400
200,8,2,10000,0.0000,0.0013,2,0.0002,3,0.5,0.0000,2.3029,22,1,6,16080800
200,8,2,1000,0.0011,0.5448,8,0.0019,1,0.75,0.0000,0.7384,6,0.51800224,3,1600
100,8,8,10000,,0.0149,8,,2,0.5,0.0000,2.0812,4,,1,40400
100,8,8,1000,,0.0067,8,,2,0.75,0.0000,0.2405,4,,8,80000
200,8,4,100000,0.0001,0.0015,2,0.0002,2,0.75,0.0000,23.5210,16,0.7,0,200600
400,2,4,100000,0.0000,0.0011,2,0.0001,2,0.5,0.0000,17.2425,0,1,4,320000
100,8,2,600.0,,0.0019,4,,1,0.75,0.0000,0.0600,9,,4,800
200,8,2,100000,0.0000,0.0016,4,0.0002,3,0.25,0.0000,22.1210,23,1,4,24080600
100,8,4,1000,0.0000,0.0014,8,0.0003,3,0.25,0.0000,0.2162,1,1,7,3020300
200,8,4,1000,,0.0044,2,,2,0.75,0.0000,0.2088,16,,6,200600
200,4,4,100000,,0.0993,2,,2,0.25,0.0000,19.4476,0,,0,160000
200,8,4,100000,0.0000,0.0012,2,0.0001,3,0.25,0.0000,20.4574,21,1,7,32040600
400,8,2,1000,0.0001,0.0010,2,0.0002,3,0.75,0.0001,0.1299,28,0.3,4,192480800
100,8,4,10000,0.0001,0.0010,8,0.0003,3,0.75,0.0000,1.4428,12,0.2,8,4020200
400,8,4,1000,0.0000,0.0013,2,0.0003,3,0.75,0.0000,0.2495,21,1,4,192480800
100,2,2,1000,0.0001,0.0015,4,0.0004,3,0.75,0.0000,0.2770,1,0.6,7,1000100
100,2,2,100000,0.0001,0.0029,4,0.0002,3,0.75,0.0000,17.8693,1,0.5,5,1000100
400,8,8,1000,0.0001,0.0013,8,0.0003,2,0.25,0.0000,0.2166,4,0.9,2,801200
100,8,4,1000,0.0000,0.0009,8,0.0002,3,0.25,0.0000,0.1117,12,1,0,3030200
100,8,8,600.0,,0.0198,2,,1,0.25,0.0000,0.0794,5,,9,800
100,8,2,100000,0.0000,0.3154,2,0.0003,3,0.5,0.0000,24.5664,28,1,4,3030200
100,8,8,10000,,0.0030,4,,3,0.5,0.0000,1.2095,17,,2,1060100
100,2,2,1000,0.0000,0.0009,4,0.0003,3,0.25,0.0000,0.1188,1,1,1,1010000
200,8,2,10000,0.0001,0.0010,2,0.0003,2,0.25,0.0000,1.0851,27,0.3,5,240400
200,8,4,100000,,0.0450,8,,3,0.25,0.0000,21.3717,12,,8,32080400
100,8,4,100000,0.0002,0.0017,2,0.0002,3,0.5,0.0000,23.7070,21,0.3,2,4010300
200,8,2,100000,0.0000,0.0011,4,0.0002,3,0.5,0.0000,21.7824,8,1,6,32040600
100,8,8,600.0,,59.9439,8,,1,0.5,0.0000,60.0002,22,,2,800
100,8,8,10000,0.0001,0.0044,4,0.0003,3,0.5,0.0001,1.4971,17,0.3,9,3010400
200,8,4,10000,26.2218,22.7420,8,9.7270,2,0.5,0.0000,60.0002,9,,5,160800
100,4,4,10000,0.0001,0.0014,8,0.0003,2,0.5,0.0000,2.0971,4,0.7,8,30100
100,8,4,1000,,0.0054,8,,3,0.5,0.0000,0.2312,1,,9,3000500
400,8,4,10000,0.0000,0.0012,2,0.0002,2,0.25,0.0000,1.9668,16,1,5,641600
400,8,2,10000,0.0002,0.0022,2,0.0002,2,0.5,0.0000,2.2422,27,0.9,4,801200
400,8,8,2400.0,,0.0044,8,,1,0.5,0.0000,0.3819,22,,8,3200
200,8,4,1200.0,,0.0071,4,,1,0.75,0.0000,0.2878,9,,4,1600
100,8,2,10000,0.0001,0.0034,4,0.0003,3,0.75,0.0001,1.6189,15,0.2,3,3020300
200,8,2,10000,0.0001,0.0036,4,0.0003,3,0.5,0.0000,3.2675,15,0.3,9,24200000
400,4,4,10000,0.0001,0.0078,4,0.0005,3,0.75,0.0002,3.7538,1,0.4,7,192000400
400,8,4,1000,,0.0017,2,,1,0.25,0.0000,0.0609,5,,0,3200
200,8,8,1000,,0.0053,8,,1,0.75,0.0000,0.0859,8,,5,1600
100,8,2,1000,0.0000,0.0008,4,0.0002,3,0.25,0.0000,0.0881,8,1,4,2030300
400,4,8,10000,,0.0089,4,,3,0.25,0.0000,2.5713,1,,4,128160400
100,8,8,100000,,0.0703,2,,3,0.5,0.0000,27.9029,23,,6,6010100
200,4,4,60300.0,,0.0691,4,,2,0.5,0.0000,9.4798,6,,9,80400
100,8,8,1000,0.0000,0.0033,2,0.0002,2,0.75,0.0000,0.1298,12,1,0,30500
400,8,4,2400.0,,0.0026,8,,1,0.5,0.0000,0.2037,10,,8,3200
