maximum.number.of.nodes,number.of.variables,number.of.independent.pairs,domain.size,number.of.facts,universe.size,Propagating evidence,Grounding,DSharp compilation,proportion.probabilistic,instance,Cycle breaking,Clark's completion,answer,number.of.predicates,maximum.arity,Total time
2,4,0,200,1000,40200,0.0000,0.0013,0.0003,0.25,5,0.0000,0.0000,1,2,2,0.0834
4,8,15,200,10000,48000400,0.0000,0.0010,0.0003,0.5,2,0.0000,0.0000,1,8,3,1.4906
4,2,12,100,600.0,800,0.0000,0.0016,0.0003,0.5,2,0.0000,0.0000,1,8,1,0.0561
2,8,1,200,10000,200600,0.0000,0.0010,0.0004,0.5,2,0.0001,0.0000,0.1,8,2,1.1226
4,2,1,100,100000,1010000,0.0000,0.0026,0.0004,0.25,8,0.0000,0.0000,1,2,3,21.9152
2,8,23,400,10000,320480000,0.0000,0.0011,0.0004,0.25,2,0.0001,0.0000,0.6,8,3,1.5625
8,2,6,200,1000,1600,0.0000,0.0015,0.0003,0.25,2,0.0000,0.0000,1,8,1,0.0780
2,2,28,100,100000,4030100,0.0000,0.0011,0.0003,0.5,9,0.0000,0.0000,1,8,3,16.5807
2,8,1,200,1200.0,1600,0.0000,0.0028,,0.5,4,,,,8,1,0.1892
4,2,5,100,300.0,400,0.0000,0.0022,0.0004,0.5,5,0.0001,0.0000,0.7,4,1,0.0304
2,2,22,200,10000,16080800,0.0000,0.0011,0.0003,0.5,6,0.0000,0.0000,1,8,3,1.3057
8,2,6,200,1000,1600,0.0000,0.2915,0.0113,0.75,3,0.0007,0.0001,0.51800224,8,1,0.3982
8,8,4,100,10000,40400,0.0000,0.0092,,0.5,1,,,,8,2,1.2204
8,8,4,100,1000,80000,0.0000,0.0047,,0.75,8,,,,8,2,0.1411
2,4,16,200,100000,200600,0.0000,0.0016,0.0005,0.75,0,0.0001,0.0000,0.7,8,2,19.3350
2,4,0,400,100000,320000,0.0000,0.0014,0.0005,0.5,4,0.0000,0.0000,1,2,2,21.0505
4,2,9,100,600.0,800,0.0000,0.0027,,0.75,4,,,,8,1,0.1086
4,2,23,200,100000,24080600,0.0000,0.0011,0.0003,0.25,4,0.0000,0.0000,1,8,3,15.2741
8,4,1,100,1000,3020300,0.0000,0.0009,0.0003,0.25,7,0.0000,0.0000,1,8,3,0.1099
2,4,16,200,1000,200600,0.0000,0.0028,,0.75,6,,,,8,2,0.1206
2,4,0,200,100000,160000,0.0000,0.0832,,0.25,0,,,,4,2,15.9498
2,4,21,200,100000,32040600,0.0000,0.0017,0.0005,0.25,7,0.0000,0.0000,1,8,3,24.1724
2,2,28,400,1000,192480800,0.0000,0.0014,0.0005,0.75,4,0.0001,0.0000,0.3,8,3,0.2506
8,4,12,100,10000,4020200,0.0000,0.0015,0.0005,0.75,8,0.0001,0.0000,0.2,8,3,2.6735
2,4,21,400,1000,192480800,0.0000,0.0013,0.0004,0.75,4,0.0000,0.0000,1,8,3,0.2460
4,2,1,100,1000,1000100,0.0000,0.0015,0.0005,0.75,7,0.0001,0.0000,0.6,2,3,0.2726
4,2,1,100,100000,1000100,0.0000,0.0025,0.0004,0.75,5,0.0001,0.0000,0.5,2,3,17.1080
8,8,4,400,1000,801200,0.0000,0.0012,0.0004,0.25,2,0.0001,0.0000,0.9,8,2,0.1086
8,4,12,100,1000,3030200,0.0000,0.0009,0.0003,0.25,0,0.0000,0.0000,1,8,3,0.1098
2,8,5,100,600.0,800,0.0000,0.0059,,0.25,9,,,,8,1,0.0534
2,2,28,100,100000,3030200,0.0000,0.3253,0.0005,0.5,4,0.0000,0.0000,1,8,3,23.1114
4,8,17,100,10000,1060100,0.0000,0.0048,,0.5,2,,,,8,3,2.1615
4,2,1,100,1000,1010000,0.0000,0.0013,0.0005,0.25,1,0.0000,0.0000,1,2,3,0.2181
2,2,27,200,10000,240400,0.0000,0.0015,0.0005,0.25,5,0.0001,0.0000,0.3,8,2,1.8838
8,4,12,200,100000,32080400,0.0000,0.0694,,0.25,8,,,,8,3,22.8919
2,4,21,100,100000,4010300,0.0000,0.0013,0.0004,0.5,2,0.0001,0.0000,0.3,8,3,24.5615
