maximum.number.of.nodes,number.of.variables,number.of.independent.pairs,domain.size,number.of.facts,universe.size,Propagating evidence,Grounding,DSharp compilation,proportion.probabilistic,instance,Cycle breaking,Clark's completion,answer,number.of.predicates,maximum.arity,Total time
8,4,6,400,100000,128320000,0.0000,0.0015,0.0005,0.5,0,0.0000,0.0000,1,4,3,26.7420
2,8,23,400,100000,320480000,0.0000,0.0010,0.0004,0.75,2,0.0001,0.0000,0.8,8,3,20.7143
2,4,5,400,2400.0,3200,0.0000,1.2026,0.0005,0.25,6,0.0008,0.0001,1,8,1,1.5230
8,4,8,200,10000,200600,0.0000,0.0013,0.0005,0.25,3,0.0000,0.0000,1,8,2,1.7260
2,8,23,200,1000,48040200,0.0000,0.0012,0.0003,0.25,6,0.0000,0.0000,1,8,3,0.1229
4,8,1,400,1000,64001200,0.0000,0.0024,,0.25,9,,,,4,3,0.0957
8,4,1,200,10000,24080600,0.0000,0.0801,,0.5,7,,,,8,3,1.6174
4,2,17,400,10000,641600,0.0000,0.0170,,0.5,7,,,,8,2,2.0690
2,4,27,400,1000,256480400,0.0000,0.0085,0.0004,0.25,5,0.0000,0.0000,1,8,3,0.2031
4,2,5,400,1000,1600,0.0000,0.0020,0.0004,0.5,6,0.0000,0.0000,1,4,1,0.0907
4,2,9,400,1000,3200,0.0000,0.2098,0.0005,0.75,5,0.0003,0.0000,1,8,1,0.3042
2,2,28,200,100000,24080600,0.0000,0.0043,0.0015,0.75,1,0.0000,0.0001,1,8,3,17.9414
4,2,1,200,1000,8000200,0.0000,0.0010,0.0003,0.5,4,0.0000,0.0000,1,2,3,0.3286
2,2,19,100,1000,50300,0.0000,0.0017,,0.75,7,,,,8,2,0.1294
2,2,22,100,100000,1030400,0.0001,0.0019,0.0004,0.5,5,0.0001,0.0000,0.5,8,3,17.3209
4,2,1,100,100000,1000100,0.0000,0.0030,0.0004,0.5,5,0.0000,0.0000,1,2,3,23.1660
8,4,4,200,10000,160000,0.0000,0.0049,0.0008,0.5,3,0.0002,0.0001,0.5,4,2,2.5820
4,2,17,100,30300.0,40400,0.0000,0.0024,0.0118,0.5,1,0.0002,0.0001,0.544,8,2,3.8941
8,8,20,400,100000,641600,0.0000,0.4937,,0.75,0,,,422.,8,2,24.8558
2,2,19,400,1000,641600,0.0000,0.0050,,0.25,5,,,,8,2,0.1899
8,4,6,400,100000,128320000,0.0000,0.0022,0.0007,0.75,0,0.0001,0.0000,1,4,3,31.3272
4,4,9,100,600.0,800,0.0000,0.0018,,0.5,4,,,,8,1,0.0566
2,4,3,400,1000,256320800,0.0000,0.0092,,0.5,3,,,,8,3,0.3664
8,4,8,400,1000,801200,0.0000,0.0021,0.0005,0.25,7,0.0002,0.0000,0.2,8,2,0.1621
4,2,8,400,1000,128481200,0.0000,0.0011,0.0004,0.5,0,0.0000,0.0000,1,8,3,0.1700
4,4,15,200,1000,24160200,0.0000,0.0023,0.0009,0.75,0,0.0003,0.0001,0.8,8,3,0.4289
8,4,12,200,100000,32080400,0.0000,0.0009,0.0003,0.75,6,0.0000,0.0000,0.5,8,3,25.5411
8,2,6,200,1000,1600,0.0000,0.0018,,0.25,6,,,,8,1,0.0730
4,2,8,400,1000,192480800,0.0000,0.0009,0.0003,0.75,7,0.0000,0.0000,1,8,3,0.1158
2,4,0,200,1000,120200,0.0000,0.0012,0.0004,0.5,8,0.0001,0.0000,0.2,4,2,0.1154
4,8,17,200,10000,24040800,0.0000,0.0023,0.0006,0.25,9,0.0001,0.0000,0.9,8,3,2.2256
8,8,20,400,1000,482000,0.0000,0.0019,,0.75,7,,,,8,2,0.0937
4,2,5,400,1200.0,1600,0.0000,0.0014,0.0003,0.75,6,0.0001,0.0000,0.7,4,1,0.1007
2,4,27,400,10000,256480400,0.0000,0.0215,,0.25,5,,,,8,3,1.3028
8,4,4,400,100000,640000,0.0000,41.4238,,0.5,1,,,,4,2,60.0005
2,2,28,200,10000,24120400,0.0000,0.0013,0.0004,0.25,4,0.0001,0.0000,1,8,3,2.1705
8,4,6,100,100000,1020100,0.0000,0.0078,,0.5,3,,,,4,3,27.2684
8,8,20,200,1200.0,1600,0.0000,0.0020,0.0005,0.25,4,0.0002,0.0000,0.5,8,1,0.1633
8,8,15,400,1000,3200,0.0000,0.0065,,0.75,5,,,,8,1,0.2881
8,8,20,400,1000,641600,0.0000,0.0020,0.0008,0.75,4,0.0002,0.0001,0.1,8,2,0.3393
2,8,1,100,10000,30500,0.0000,0.0386,,0.75,0,,,,8,2,2.5301
2,8,12,200,1000,121000,0.0000,0.0020,0.0004,0.75,0,0.0002,0.0000,0.4,8,2,0.1719
8,8,20,400,10000,801200,0.0000,0.0021,0.0005,0.75,3,0.0002,0.0000,0.6,8,2,1.9463
2,4,27,100,10000,4020200,0.0000,0.0098,,0.25,8,,,,8,3,2.3006
4,8,1,200,100000,24040000,0.0000,0.1683,,0.5,7,,,,4,3,30.3464
8,2,26,100,30300.0,40400,0.0000,0.0012,0.0004,0.5,9,0.0001,0.0000,0.7,8,2,6.6683
8,4,4,200,90150.0,120200,0.0000,0.0017,0.0003,0.25,0,0.0000,0.0000,1,4,2,16.6097
8,4,3,100,600.0,800,0.0001,0.0130,,0.5,6,,,,8,1,0.2630
2,2,22,200,10000,32040600,0.0000,0.0014,0.0008,0.5,2,0.0001,0.0000,0.2,8,3,2.5855
4,8,11,400,2400.0,3200,0.0000,0.0097,,0.5,1,,,,8,1,0.7344
4,8,17,200,1000,24120400,0.0000,0.0012,0.0004,0.25,5,0.0000,0.0000,1,8,3,0.1794
8,4,3,400,1000,3200,0.0000,0.0105,,0.75,0,,,733.,8,1,0.1837
4,2,15,100,10000,4010300,0.0000,0.0010,0.0003,0.5,8,0.0000,0.0000,1,8,3,3.1316
4,2,8,100,10000,3030200,0.0000,0.0008,0.0003,0.5,1,0.0000,0.0000,1,8,3,1.5587
4,2,8,100,100000,3030200,0.0000,0.0020,0.0004,0.25,1,0.0000,0.0000,1,8,3,17.8948
2,8,1,100,8025.0,10700,0.0000,0.0010,0.0003,0.25,5,0.0000,0.0000,1,8,2,1.0180
2,4,3,200,100000,32120200,0.0005,0.0127,0.0007,0.75,9,0.0001,0.0000,1,8,3,28.1028
4,2,23,400,10000,192640400,0.0000,0.0013,0.0005,0.75,8,0.0001,0.0000,0.3,8,3,3.1575
2,2,19,200,1000,41400,0.0000,0.0022,0.0081,0.75,9,0.0002,0.0000,0.648,8,2,0.1157
8,8,4,400,100000,641600,0.0000,0.0016,0.0005,0.75,0,0.0001,0.0000,0.3,8,2,20.1400
4,4,9,100,600.0,800,0.0000,0.0023,0.0004,0.5,8,0.0000,0.0000,1,8,1,0.1053
2,2,28,400,1000,320320400,0.0000,0.0016,0.0006,0.5,3,0.0001,0.0000,0.7,8,3,0.2456
8,2,6,200,1200.0,1600,0.0000,0.0036,,0.5,8,,,,8,1,0.1976
8,4,4,400,100000,640000,0.0000,0.0022,0.0004,0.5,3,0.0000,0.0000,1,4,2,21.8099
8,4,6,200,100000,16080000,0.0000,0.0012,0.0004,0.5,1,0.0000,0.0000,1,4,3,24.7671
4,2,17,400,100000,641600,0.0000,0.0015,0.0005,0.25,8,0.0000,0.0000,1,8,2,19.6420
4,4,1,100,1000,2000200,0.0000,0.0026,0.0005,0.75,4,0.0002,0.0001,0.9,4,3,0.2295
8,2,26,100,1000,70100,0.0000,0.0012,0.0004,0.25,3,0.0000,0.0000,1,8,2,0.1744
4,4,6,200,1000,160000,0.0000,0.0052,,0.5,3,,,,4,2,0.2137
2,8,1,200,1000,200600,0.0000,0.0013,0.0005,0.75,2,0.0001,0.0000,0.3,8,2,0.1968
2,4,0,200,1000,80000,0.0000,0.0067,,0.5,8,,,,2,2,0.1957
4,4,1,200,1000,16000400,0.0000,0.0157,,0.75,4,,,,4,3,0.2666
4,4,6,400,100000,480400,0.0000,0.0021,0.0004,0.5,0,0.0000,0.0000,1,4,2,20.0740
2,8,1,100,37725.0,50300,0.0000,0.0009,0.0004,0.75,2,0.0000,0.0000,1,8,2,9.2153
2,2,19,400,1000,960800,0.0000,0.0022,,0.5,1,,,,8,2,0.1153
8,8,15,400,1000,3200,0.0000,0.0017,0.0004,0.5,4,0.0000,0.0001,1,8,1,0.0953
4,2,5,200,600.0,800,0.0000,0.0022,,0.25,3,,,,4,1,0.0507
2,4,27,400,100000,256480400,0.0000,0.0045,,0.75,5,,,,8,3,27.0630
4,2,23,100,1000,3040100,0.0000,0.0014,0.0004,0.25,8,0.0000,0.0000,1,8,3,0.1936
2,4,21,100,1000,4040000,0.0000,0.0012,0.0005,0.75,0,0.0001,0.0000,0.9,8,3,0.2789
2,4,27,100,1000,2030300,0.0000,0.0024,,0.25,7,,,,8,3,0.1876
8,8,20,400,1000,641600,0.0000,0.0019,,0.25,4,,,,8,2,0.0772
2,4,0,200,1000,120200,0.0000,0.0015,0.0006,0.5,2,0.0002,0.0000,0.9,4,2,0.3249
4,8,17,400,100000,128640800,0.0000,0.1021,,0.5,8,,,,8,3,20.7657
8,4,4,200,1000,80400,0.0000,0.5361,0.0004,0.25,7,0.0003,0.0000,1,4,2,0.6903
4,2,8,400,1000,192321200,0.0000,0.0018,0.0007,0.5,8,0.0001,0.0001,0.7,8,3,0.2343
4,8,17,200,100000,24040800,0.0000,0.0016,0.0045,0.75,9,0.0004,0.0001,0.3,8,3,26.8172
4,4,9,100,600.0,800,0.0000,0.0127,,0.25,5,,,,8,1,0.1257
4,2,1,200,10000,8000200,0.0000,0.0019,0.0005,0.5,5,0.0000,0.0000,1,2,3,4.9665
2,8,23,200,100000,24120400,0.0000,0.0655,,0.75,5,,,,8,3,38.9475
8,8,20,400,100000,322400,0.0000,0.6670,,0.75,9,,,,8,2,28.9010
2,4,0,200,30150.0,40200,0.0000,0.0038,0.0003,0.5,9,0.0000,0.0000,1,2,2,6.2487
2,4,3,400,10000,256480400,0.0000,0.0032,,0.25,9,,,,8,3,1.7778
4,2,8,200,1000,24040800,0.0000,0.0030,0.0003,0.75,2,0.0000,0.0000,1,8,3,0.2257
8,4,4,400,100000,480400,0.0000,0.0016,0.0006,0.75,6,0.0001,0.0001,0.2,4,2,23.0002
8,4,1,100,100000,4020200,0.0000,0.0014,0.0006,0.75,0,0.0001,0.0000,0.1,8,3,34.1009
8,4,9,200,1000,121000,0.0000,0.0031,0.0007,0.75,8,0.0002,0.0001,0.5,8,2,0.2148
4,8,11,200,1000,1600,0.0000,0.0027,,0.5,8,,,,8,1,0.1425
8,8,20,400,2400.0,3200,0.0000,0.0028,,0.75,6,,,,8,1,0.3395
2,8,23,400,1000,384320000,0.0000,0.0011,0.0004,0.5,3,0.0001,0.0000,0.4,8,3,0.2256
8,4,3,100,600.0,800,0.0003,0.1629,0.0010,0.5,9,0.0005,0.0001,0.4,8,1,0.2579
2,8,23,400,10000,384320000,0.0001,0.0057,0.0014,0.25,3,0.0000,0.0000,1,8,3,3.1210
2,4,0,200,10000,80000,0.0000,0.1217,,0.25,3,,,,2,2,2.6851
4,4,6,200,60300.0,80400,0.0000,0.2902,,0.75,6,,,,4,2,28.2796
8,2,26,100,10000,60200,0.0000,0.0008,0.0003,0.25,4,0.0000,0.0000,1,8,2,1.1536
4,4,15,400,100000,256480400,0.0000,0.0014,0.0005,0.5,2,0.0001,0.0000,0.1,8,3,25.2728
8,4,1,100,1000,1000700,0.0000,0.0037,0.0007,0.25,6,0.0001,0.0000,1,8,3,0.2807
2,4,21,200,10000,16080800,0.0000,0.0021,0.0006,0.75,9,0.0001,0.0000,1,8,3,2.2393
8,2,26,400,10000,1120400,0.0000,0.0010,0.0005,0.75,3,0.0001,0.0000,0.2,8,2,1.8862
2,4,0,100,1000,20200,0.0000,0.0008,0.0003,0.25,5,0.0000,0.0000,1,4,2,0.0791
4,2,8,400,1000,128640800,0.0000,0.0023,,0.5,3,,,,8,3,0.1053
8,4,4,200,90150.0,120200,0.0000,0.0022,0.0008,0.25,8,0.0001,0.0001,0.4,4,2,19.1656
8,4,6,100,1000,1010200,0.0000,0.0067,,0.25,9,,,,4,3,0.2114
8,4,12,200,1000,32080400,0.0000,0.0016,0.0006,0.5,1,0.0001,0.0000,0.1,8,3,0.1976
4,2,8,100,10000,3010400,0.0000,0.0019,0.0007,0.5,2,0.0001,0.0000,1,8,3,2.9369
2,2,19,200,1000,121000,0.0000,0.0018,0.0004,0.25,0,0.0000,0.0000,1,8,2,0.1376
8,4,4,100,10000,30100,0.0000,0.0008,0.0003,0.5,6,0.0000,0.0000,1,4,2,0.9633
2,4,0,100,7575.0,10100,0.0000,0.0014,0.0006,0.75,0,0.0002,0.0000,0.4,2,2,1.0793
4,8,11,100,600.0,800,0.0000,0.0039,,0.5,8,,,,8,1,0.1049
2,4,16,400,1000,801200,0.0000,0.0032,0.0006,0.25,2,0.0001,0.0000,1,8,2,0.3942
2,4,21,400,100000,256640000,0.0000,0.0008,0.0003,0.5,0,0.0000,0.0000,1,8,3,18.2829
8,8,22,200,1000,1600,0.0000,0.0039,,0.25,5,,,,8,1,0.1250
8,4,1,400,1000,128481200,0.0000,0.1729,0.0006,0.5,1,0.0002,0.0000,1,8,3,0.3732
2,4,0,400,100000,320800,0.0000,0.0055,,0.25,9,,,,4,2,21.5188
4,4,9,200,1200.0,1600,0.0000,0.1968,0.0006,0.75,5,0.0003,0.0000,0.3,8,1,0.3984
2,2,19,400,1000,801200,0.0000,0.0014,0.0005,0.5,6,0.0001,0.0000,0.7,8,2,0.1935
2,8,23,100,1000,3030200,0.0000,0.0046,,0.25,5,,,,8,3,0.2222
2,2,27,100,10000,50300,0.0000,0.0030,0.0005,0.25,1,0.0000,0.0000,1,8,2,1.8608
8,8,8,400,1000,3200,0.0000,0.0033,,0.5,5,,,,8,1,0.1897
8,4,6,400,10000,128160400,0.0000,0.0014,0.0005,0.75,6,0.0001,0.0000,0.2,4,3,2.5035
2,8,23,100,100000,6020000,0.0000,0.0010,0.0003,0.75,3,0.0001,0.0000,0.2,8,3,19.9828
8,4,12,400,10000,128640800,0.0000,0.0032,0.0004,0.25,9,0.0000,0.0000,1,8,3,2.8704
4,2,9,100,600.0,800,0.0000,0.0056,,0.25,6,,,,8,1,0.0963
2,4,0,100,10000,20000,0.0000,0.0015,0.0005,0.5,4,0.0001,0.0000,0.6,2,2,2.7975
2,2,19,100,1000,50300,0.0000,0.0011,0.0004,0.25,3,0.0000,0.0000,1,8,2,0.1729
8,4,8,400,1000,801200,0.0000,0.0017,0.0006,0.25,5,0.0000,0.0000,1,8,2,0.4986
4,2,12,400,1000,3200,0.0000,0.0026,0.0004,0.5,3,0.0000,0.0000,1,8,1,0.1362
2,2,22,400,10000,192480800,0.0000,0.0020,0.0005,0.5,9,0.0002,0.0001,0.4,8,3,2.8575
2,2,28,100,10000,3030200,0.0000,0.0028,0.0006,0.5,2,0.0003,0.0001,0.3,8,3,3.0392
2,8,1,200,10000,121000,0.0000,0.0023,0.0007,0.5,0,0.0001,0.0001,0.7,8,2,2.2321
2,4,27,100,100000,2030300,0.0000,0.0043,,0.5,7,,,,8,3,24.3160
4,2,5,200,600.0,800,0.0000,0.0108,,0.75,7,,,,4,1,0.1205
2,4,3,200,1000,16200200,0.0000,0.0014,0.0005,0.25,4,0.0001,0.0000,0.3,8,3,0.2115
8,2,6,400,2400.0,3200,0.0000,0.0027,,0.25,0,,,,8,1,0.2898
2,4,16,100,10000,40400,0.0000,0.0084,,0.5,5,,,,8,2,1.1839
2,2,22,200,10000,32040600,0.0000,0.0011,0.0004,0.75,2,0.0001,0.0000,0.8,8,3,2.1406
4,4,6,200,10000,120200,0.0000,0.0011,0.0004,0.75,4,0.0001,0.0000,0.1,4,2,1.4742
8,2,6,100,600.0,800,0.0000,0.0018,,0.75,5,,,,8,1,0.0580
4,2,23,200,1000,24080600,0.0000,0.0041,0.0152,0.75,4,0.0003,0.0001,0.68,8,3,0.2253
8,4,4,200,90150.0,120200,0.0000,0.0021,0.0003,0.5,0,0.0000,0.0000,1,4,2,12.5121
2,4,0,200,60300.0,80400,0.0000,0.0015,0.0004,0.5,4,0.0000,0.0000,1,4,2,8.2476
8,4,12,400,1000,256320800,0.0002,0.0190,,0.5,8,,,,8,3,0.4801
4,4,15,200,1000,24080600,0.0000,0.0032,0.0007,0.25,6,0.0003,0.0001,0.6,8,3,0.3691
4,2,17,200,10000,160800,0.0000,0.0222,,0.25,7,,,,8,2,1.9142
4,2,23,200,1000,48040200,0.0000,0.0014,0.0004,0.25,6,0.0000,0.0000,1,8,3,0.2600
8,8,8,200,1200.0,1600,0.0000,0.0040,0.0004,0.25,2,0.0000,0.0000,1,8,1,0.1590
2,8,1,100,600.0,800,0.0000,0.0019,,0.5,4,,,,8,1,0.0564
2,2,19,200,100000,200600,0.0000,0.0013,0.0004,0.25,2,0.0000,0.0000,1,8,2,16.2852
8,4,9,200,10000,81200,0.0000,0.0162,,0.75,0,,,,8,2,2.5981
2,2,22,400,100000,64481600,0.0000,0.0009,0.0003,0.5,5,0.0000,0.0000,0.6,8,3,22.6583
4,8,15,100,1000,4020200,0.0000,0.0022,,0.75,8,,,,8,3,0.1200
4,8,1,100,1000,3010000,0.0000,0.0027,,0.25,2,,,,4,3,0.1237
2,4,3,400,1000,320320400,0.0000,0.0010,0.0004,0.75,1,0.0000,0.0000,1,8,3,0.1553
2,8,1,400,1000,3200,0.0000,0.0046,,0.25,0,,,,8,1,0.0828
4,2,23,100,100000,2030300,0.0000,0.0033,0.0022,0.75,3,0.0002,0.0001,0.9,8,3,27.8681
8,4,12,100,10000,4010300,0.0000,0.0008,0.0004,0.5,5,0.0000,0.0000,1,8,3,1.2926
4,2,8,200,1000,24080600,0.0000,0.0010,0.0003,0.25,8,0.0000,0.0000,1,8,3,0.1054
2,4,5,400,1000,3200,0.0000,0.1260,0.1092,0.5,0,0.0760,0.0307,0.99992517,8,1,0.5398
4,8,17,100,100000,5020100,0.0000,0.0691,,0.25,0,,,,8,3,21.8441
8,4,6,200,100000,24000200,0.0000,0.0022,0.0003,0.25,4,0.0000,0.0000,1,4,3,20.4844
2,8,5,200,1000,1600,0.0000,0.0063,0.0154,0.75,2,0.0005,0.0001,0.9048,8,1,0.2067
8,4,1,400,100000,192480800,0.0000,0.0673,,0.5,4,,,,8,3,21.9057
4,8,17,100,100000,1060100,0.0000,0.0021,0.0005,0.25,2,0.0000,0.0000,1,8,3,24.7644
2,2,27,100,37725.0,50300,0.0000,0.0084,0.0005,0.75,0,0.0001,0.0000,1,8,2,7.5804
8,4,4,200,1000,120200,0.0000,0.0014,0.0005,0.75,6,0.0001,0.0000,0.7,4,2,0.2293
4,4,15,400,1000,192321200,0.0000,0.0013,0.0005,0.25,6,0.0000,0.0000,1,8,3,0.2052
8,4,3,400,1000,3200,0.0000,0.0086,,0.5,0,,,729.,8,1,0.1534
2,4,5,200,600.0,800,0.0000,0.0037,,0.5,7,,,,4,1,0.1143
8,4,12,400,100000,192480800,0.0000,0.0009,0.0003,0.5,0,0.0000,0.0000,1,8,3,23.3212
2,4,27,100,1000,5020100,0.0000,0.0015,0.0003,0.5,0,0.0000,0.0000,1,8,3,0.1283
8,8,4,400,100000,641600,0.0000,0.0016,0.0010,0.25,1,0.0001,0.0000,0.9,8,2,24.2750
2,4,0,100,1000,30100,0.0002,0.0109,0.0006,0.5,7,0.0000,0.0000,1,4,2,0.2912
2,8,1,100,10000,60200,0.0000,0.0251,,0.75,4,,,,8,2,2.9950
8,4,4,100,22575.0,30100,0.0000,0.0014,0.0005,0.75,6,0.0001,0.0000,0.8,4,2,6.2542
2,8,23,200,100000,32040600,0.0000,0.0016,0.0004,0.5,8,0.0001,0.0000,1,8,3,35.7589
2,8,1,400,1000,3200,0.0000,0.0055,,0.25,7,,,,8,1,0.1973
4,4,15,200,1000,48040200,0.0000,0.0019,0.0005,0.25,1,0.0001,0.0000,0.5,8,3,0.3044
4,2,23,400,10000,192480800,0.0000,0.0061,0.0018,0.25,7,0.0003,0.0003,1,8,3,2.7808
4,8,17,100,1000,3020300,0.0000,0.0048,,0.25,1,,,,8,3,0.2452
2,8,23,100,100000,4020200,0.0001,0.1606,,0.5,1,,,,8,3,23.0082
2,8,23,400,1000,384160400,0.0000,0.0041,,0.5,6,,,,8,3,0.3382
4,2,17,100,10000,30500,0.0002,0.0072,0.0007,0.25,6,0.0001,0.0000,0.9,8,2,2.5879
4,8,15,400,100000,320160800,0.0000,0.1486,,0.75,7,,,,8,3,30.8454
4,2,1,100,100000,1010000,0.0000,0.0023,0.0003,0.5,6,0.0000,0.0000,1,2,3,32.3758
4,4,15,100,1000,6010100,0.0000,0.0011,0.0004,0.25,1,0.0000,0.0000,1,8,3,0.2302
4,2,8,200,10000,24040800,0.0000,0.0011,0.0004,0.75,2,0.0001,0.0000,0.2,8,3,2.2489
4,4,1,100,100000,1030000,0.0000,0.0152,,0.5,6,,,,4,3,34.0354
4,8,17,100,100000,3030200,0.0000,0.1191,0.0004,0.5,4,0.0001,0.0000,1,8,3,29.8816
2,2,22,200,100000,40040400,0.0000,0.0014,0.0004,0.5,0,0.0000,0.0000,1,8,3,26.5219
2,4,27,200,10000,40080200,0.0000,0.0036,0.0006,0.25,0,0.0001,0.0000,1,8,3,1.9430
2,4,21,400,10000,192321200,0.0000,0.0014,0.0006,0.75,3,0.0001,0.0001,0.1,8,3,2.4685
4,2,17,400,1000,641600,0.0000,0.0014,0.0006,0.25,9,0.0000,0.0000,1,8,2,0.1502
8,4,3,200,1000,1600,0.0000,0.0027,0.0007,0.5,8,0.0001,0.0000,1,8,1,0.1596
2,4,0,100,10000,30100,0.0000,0.0015,0.0005,0.25,8,0.0000,0.0000,1,4,2,1.9331
2,4,5,400,1000,1600,0.0001,0.0031,0.0007,0.5,3,0.0003,0.0000,0.6,4,1,0.2627
8,4,10,100,600.0,800,0.0000,0.0038,,0.75,8,,,,8,1,0.1592
8,2,6,200,1200.0,1600,0.0000,0.0058,,0.75,8,,,,8,1,0.3083
2,4,16,400,10000,801200,0.0000,0.0019,0.0006,0.25,9,0.0001,0.0000,1,8,2,2.6690
4,2,23,100,1000,3030200,0.0000,0.0015,0.0006,0.75,7,0.0001,0.0000,0.2,8,3,0.3455
8,4,1,400,10000,320160800,0.0000,0.0016,0.0005,0.5,8,0.0001,0.0000,0.8,8,3,3.4564
8,8,8,400,1000,3200,0.0000,0.0043,,0.5,3,,,,8,1,0.2103
2,2,28,200,10000,24120400,0.0000,0.0015,0.0005,0.25,2,0.0001,0.0000,1,8,3,2.7886
2,4,3,100,1000,2050100,0.0000,0.0161,,0.5,4,,,,8,3,0.3306
2,2,19,200,31050.0,41400,0.0000,0.0027,0.0007,0.75,9,0.0003,0.0000,0.3,8,2,10.1104
2,2,27,200,10000,200600,0.0001,0.0080,0.0007,0.75,4,0.0004,0.0001,0.9,8,2,2.2234
2,4,3,200,10000,40080200,0.0000,0.0813,0.0195,0.75,1,0.0065,0.0010,0.95437,8,3,3.5775
4,4,1,200,100000,8120000,0.0000,0.0010,0.0005,0.25,6,0.0001,0.0000,0.6,4,3,23.8532
2,4,16,200,100000,200600,0.0001,1.2331,,0.75,4,,,,8,2,44.0279
4,8,17,100,100000,2040200,0.0000,0.0335,,0.5,8,,,,8,3,50.9796
4,2,23,100,10000,3030200,0.0001,0.0096,0.0010,0.25,7,0.0004,0.0001,0.1,8,3,2.5787
4,2,17,200,90750.0,121000,0.0000,0.0035,0.0055,0.25,6,0.0011,0.0005,0.7,8,2,28.8383
4,8,17,200,1000,24040800,0.0000,0.0014,0.0004,0.75,9,0.0001,0.0000,0.9,8,3,0.1056
4,2,17,100,1000,40400,0.0000,0.0007,0.0003,0.5,1,0.0000,0.0000,1,8,2,0.1514
8,4,4,400,1000,320800,0.0000,0.0025,,0.25,9,,,,4,2,0.0790
2,2,28,400,100000,256480400,0.0001,0.0124,0.0007,0.25,9,0.0001,0.0000,1,8,3,30.4206
2,8,1,400,100000,482000,0.0001,0.0020,0.0006,0.75,1,0.0001,0.0000,0.5,8,2,33.7480
8,4,9,400,1000,641600,0.0000,0.0019,0.0006,0.75,5,0.0001,0.0000,0.3,8,2,0.5215
2,2,27,200,100000,240400,0.0000,0.0012,0.0004,0.75,6,0.0001,0.0001,0.8,8,2,36.5964
2,4,0,400,1000,480400,0.0001,0.0105,0.0004,0.75,7,0.0001,0.0000,1,4,2,0.2872
8,4,3,100,600.0,800,0.0000,0.0096,,0.75,3,,,218.,8,1,0.1527
4,8,1,200,10000,16000400,0.0000,0.0017,0.0007,0.25,5,0.0001,0.0000,0.6,4,3,3.1354
8,8,20,200,90750.0,121000,0.0000,33.8512,,0.75,7,,,,8,2,55.7692
4,2,9,200,1200.0,1600,0.0000,0.0036,,0.75,2,,,,8,1,0.2828
4,8,15,200,100000,16080800,0.0000,0.1155,,0.75,6,,,,8,3,31.0487
2,2,22,400,10000,128321600,0.0000,2.5346,0.0005,0.25,3,0.0015,0.0000,1,8,3,5.3584
4,8,17,400,1000,320320400,0.0000,0.0046,,0.75,0,,,,8,3,0.3413
2,8,12,200,10000,160800,0.0000,0.0030,0.0005,0.75,3,0.0001,0.0000,0.4,8,2,2.9460
2,8,5,400,2400.0,3200,0.0002,0.0111,,0.25,2,,,,8,1,0.5002
8,4,1,400,100000,128481200,0.0000,0.5761,,0.25,3,,,,8,3,29.4466
8,4,9,400,1000,960800,0.0000,0.0037,,0.75,6,,,,8,2,0.2769
4,2,15,200,10000,24080600,0.0000,0.0016,0.0005,0.75,6,0.0001,0.0000,0.4,8,3,3.4314
4,4,1,400,100000,128000800,0.0000,0.0017,0.0005,0.25,4,0.0000,0.0000,1,4,3,33.7766
8,2,26,200,100000,160800,0.0000,0.0047,0.0024,0.75,0,0.0006,0.0002,0.3,8,2,27.6974
4,4,6,400,10000,480400,0.0000,0.0031,,0.5,4,,,,4,2,1.6662
2,2,19,100,1000,30500,0.0000,0.0051,,0.25,0,,,,8,2,0.1671
8,4,6,400,1000,128320000,0.0000,0.0011,0.0004,0.75,0,0.0000,0.0000,1,4,3,0.2308
2,4,3,400,10000,256320800,0.0000,0.0022,0.0026,0.75,8,0.0002,0.0014,0.3,8,3,2.2238
4,8,1,400,1000,192000400,0.0000,0.0054,,0.25,3,,,,4,3,0.1769
4,8,15,100,100000,4000400,0.0000,0.0030,0.0006,0.5,5,0.0003,0.0001,0.5,8,3,29.6018
2,2,28,100,1000,3020300,0.0001,0.0095,0.0004,0.75,1,0.0002,0.0000,0.9,8,3,0.2224
4,2,1,400,1000,64000400,0.0000,0.0018,0.0005,0.5,7,0.0001,0.0000,0.5,2,3,0.2301
4,4,15,200,1000,24040800,0.0000,0.0010,0.0003,0.25,3,0.0000,0.0000,1,8,3,0.1966
4,8,11,400,1000,3200,0.0000,0.0050,,0.75,2,,,,8,1,0.1636
2,4,0,200,1000,80400,0.0000,0.0067,,0.25,3,,,,4,2,0.2590
4,2,15,400,1000,256161200,0.0000,0.0126,0.0006,0.75,8,0.0001,0.0001,0.2,8,3,0.2299
8,2,26,100,10000,20600,0.0000,0.0014,0.0005,0.75,6,0.0001,0.0000,0.1,8,2,3.0065
2,2,27,400,10000,801200,0.0000,0.0014,0.0005,0.25,2,0.0000,0.0000,1,8,2,2.4845
4,4,15,100,10000,4030100,0.0000,0.0090,0.0010,0.75,2,0.0006,0.0002,0.2,8,3,3.5503
4,8,11,200,1200.0,1600,0.0000,0.0050,,0.5,6,,,,8,1,0.2415
8,4,8,400,100000,482000,0.0000,0.0015,0.0007,0.25,2,0.0001,0.0000,0.6,8,2,21.4497
8,8,4,100,1000,60200,0.0000,0.0030,,0.25,9,,,,8,2,0.1551
8,4,10,200,1000,1600,0.0000,0.0039,,0.5,3,,,,8,1,0.2279
