maximum.arity,number.of.predicates,number.of.variables,domain.size,number.of.facts,universe.size,Propagating evidence,Cycle breaking,instance,Grounding,number.of.independent.pairs,Total time,Compiling BDD,answer,proportion.probabilistic,maximum.number.of.nodes
3,2,2,200,1000,8000200,0.0000,0.0000,4,0.0010,1,0.2085,0.0016,1,0.5,4
2,8,2,100,1000,50300,0.0000,,7,0.0021,19,0.2466,,,0.75,2
3,8,2,100,100000,1030400,0.0000,0.0001,5,0.0029,22,25.1346,0.0026,0.5,0.5,2
3,2,2,100,100000,1000100,0.0000,0.0000,5,0.0039,1,33.4456,0.0026,1,0.5,4
2,4,4,200,10000,160000,0.0000,0.0001,3,0.0014,4,2.4265,0.0052,0.5,0.5,8
2,8,2,100,30300.0,40400,0.0000,0.0004,1,0.0046,17,6.6843,0.0135,0.544,0.5,4
2,8,8,400,100000,641600,0.0001,,0,0.7295,20,28.5412,,422.,0.75,8
2,8,2,400,1000,641600,0.0000,,5,0.0072,19,0.2312,,,0.25,2
3,4,4,400,100000,128320000,0.0000,0.0000,0,0.0010,6,31.0654,0.0013,1,0.75,8
1,8,4,100,600.0,800,0.0000,,4,0.0023,9,0.0920,,,0.5,4
3,8,4,400,1000,256320800,0.0000,,3,0.0039,3,0.1970,,,0.5,2
2,8,4,400,1000,801200,0.0000,0.0002,7,0.0018,8,0.1498,0.0021,0.2,0.25,8
3,8,2,400,1000,128481200,0.0000,0.0000,0,0.0009,8,0.1634,0.0020,1,0.5,4
3,8,4,200,1000,24160200,0.0000,0.0001,0,0.0010,15,0.2042,0.0015,0.8,0.75,4
3,8,4,200,100000,32080400,0.0000,0.0001,6,0.0018,12,31.3091,0.0038,0.5,0.75,8
1,8,2,200,1000,1600,0.0000,,6,0.0021,6,0.1356,,,0.25,8
3,8,2,400,1000,192480800,0.0000,0.0000,7,0.0011,8,0.2281,0.0014,1,0.75,4
2,4,4,200,1000,120200,0.0000,0.0001,8,0.0012,0,0.2507,0.0024,0.2,0.5,2
3,8,8,200,10000,24040800,0.0000,0.0001,9,0.0014,17,1.9937,0.0016,0.9,0.25,4
2,8,8,400,1000,482000,0.0000,,7,0.0056,20,0.2041,,,0.75,8
1,4,2,400,1200.0,1600,0.0000,0.0003,6,0.0029,5,0.1874,0.0027,0.7,0.75,4
3,8,4,400,10000,256480400,0.0000,,5,0.0378,27,3.0074,,,0.25,2
2,4,4,400,100000,640000,0.0000,,1,32.5250,4,60.0001,,,0.5,8
3,8,2,200,10000,24120400,0.0000,0.0000,4,0.0013,28,2.8684,0.0025,1,0.25,2
3,4,4,100,100000,1020100,0.0000,,3,0.0070,6,25.7161,,,0.5,8
1,8,8,200,1200.0,1600,0.0000,0.0002,4,0.0019,20,0.1381,0.0016,0.5,0.25,8
1,8,8,400,1000,3200,0.0000,,5,0.0043,15,0.2646,,,0.75,8
2,8,8,400,1000,641600,0.0000,0.0001,4,0.0015,20,0.3255,0.0030,0.1,0.75,8
2,8,8,100,10000,30500,0.0000,,0,0.0117,1,3.0601,,,0.75,2
2,8,8,200,1000,121000,0.0001,0.0002,0,0.0096,12,0.1905,0.0025,0.4,0.75,2
2,8,8,400,10000,801200,0.0001,0.0005,3,0.0074,20,2.0197,0.0024,0.6,0.75,8
3,8,4,100,10000,4020200,0.0000,,8,0.0072,27,2.0725,,,0.25,2
3,4,8,200,100000,24040000,0.0000,,7,0.2569,1,28.4791,,,0.5,4
2,8,2,100,30300.0,40400,0.0000,0.0001,9,0.0017,26,8.4181,0.0028,0.7,0.5,8
2,4,4,200,90150.0,120200,0.0000,0.0000,0,0.0030,4,22.2150,0.0030,1,0.25,8
1,8,4,100,600.0,800,0.0000,,6,0.0041,3,0.1225,,,0.5,8
3,8,2,200,10000,32040600,0.0000,0.0001,2,0.0013,22,2.7688,0.0022,0.2,0.5,2
1,8,8,400,2400.0,3200,0.0000,,1,0.0067,11,0.4262,,,0.5,4
3,8,8,200,1000,24120400,0.0000,0.0000,5,0.0013,17,0.2532,0.0033,1,0.25,4
1,8,4,400,1000,3200,0.0000,,0,0.0090,3,0.2216,,733.,0.75,8
3,8,2,100,10000,4010300,0.0000,0.0000,8,0.0016,15,3.0935,0.0023,1,0.5,4
3,8,2,100,10000,3030200,0.0000,0.0000,1,0.0013,8,2.7945,0.0024,1,0.5,4
3,8,2,100,100000,3030200,0.0001,0.0003,1,0.0030,8,25.8816,0.0055,1,0.25,4
2,8,8,100,8025.0,10700,0.0000,0.0000,5,0.0015,1,1.2257,0.0024,1,0.25,2
3,8,4,200,100000,32120200,0.0000,0.0000,9,0.0055,3,34.8336,0.0024,1,0.75,2
3,8,2,400,10000,192640400,0.0000,0.0001,8,0.0016,23,3.5720,0.0035,0.3,0.75,4
2,8,2,200,1000,41400,0.0001,0.0005,9,0.0136,19,0.2870,0.0035,0.648,0.75,2
2,8,8,400,100000,641600,0.0000,0.0001,0,0.0019,4,29.4645,0.0037,0.3,0.75,8
1,8,4,100,600.0,800,0.0000,0.0000,8,0.0028,9,0.1314,0.0034,1,0.5,4
3,8,2,400,1000,320320400,0.0000,0.0001,3,0.0018,28,0.3220,0.0074,0.7,0.5,2
1,8,2,200,1200.0,1600,0.0000,,8,0.0056,6,0.2655,,,0.5,8
2,4,4,400,100000,640000,0.0000,0.0000,3,0.0027,4,25.9384,0.0027,1,0.5,8
3,4,4,200,100000,16080000,0.0000,0.0000,1,0.0016,6,32.2763,0.0024,1,0.5,8
2,8,2,400,100000,641600,0.0000,0.0001,8,0.0014,17,24.3816,0.0025,1,0.25,4
3,4,4,100,1000,2000200,0.0000,0.0002,4,0.0026,1,0.3477,0.0027,0.9,0.75,4
2,8,2,100,1000,70100,0.0000,0.0000,3,0.0017,26,0.2467,0.0027,1,0.25,8
2,4,4,200,1000,160000,0.0000,,3,0.0083,6,0.2739,,,0.5,4
2,8,8,200,1000,200600,0.0000,0.0001,2,0.0016,1,0.2785,0.0026,0.3,0.75,2
2,2,4,200,1000,80000,0.0000,,8,0.0119,0,0.2657,,,0.5,2
3,4,4,200,1000,16000400,0.0000,,4,0.0205,1,0.3584,,,0.75,4
2,4,4,400,100000,480400,0.0002,0.0000,0,0.0104,6,28.7878,0.0027,1,0.5,4
2,8,8,100,37725.0,50300,0.0000,0.0000,2,0.0028,1,11.3379,0.0067,1,0.75,2
2,8,2,400,1000,960800,0.0000,,1,0.0022,19,0.2619,,,0.5,2
1,8,8,400,1000,3200,0.0000,0.0001,4,0.0064,15,0.2185,0.0026,1,0.5,8
1,4,2,200,600.0,800,0.0000,,3,0.0035,5,0.1105,,,0.25,4
3,8,4,400,100000,256480400,0.0001,,5,0.0067,27,34.8013,,,0.75,2
3,8,2,100,1000,3040100,0.0000,0.0000,8,0.0009,23,0.1718,0.0015,1,0.25,4
3,8,4,100,1000,4040000,0.0000,0.0001,0,0.0010,21,0.2081,0.0017,0.9,0.75,2
3,8,4,100,1000,2030300,0.0000,,7,0.0049,27,0.2656,,,0.25,2
2,8,8,400,1000,641600,0.0000,,4,0.0041,20,0.2536,,,0.25,8
2,4,4,200,1000,120200,0.0000,0.0001,2,0.0018,0,0.2939,0.0055,0.9,0.5,2
3,8,8,400,100000,128640800,0.0000,,8,0.1067,17,28.5521,,,0.5,4
2,4,4,200,1000,80400,0.0002,0.0004,7,0.8957,4,1.1075,0.0029,1,0.25,8
3,8,2,400,1000,192321200,0.0002,0.0001,8,0.0071,8,0.2630,0.0027,0.7,0.5,4
3,8,8,200,100000,24040800,0.0000,0.0001,9,0.0013,17,35.1304,0.0016,0.3,0.75,4
1,8,4,100,600.0,800,0.0000,,5,0.0036,9,0.0784,,,0.25,4
3,2,2,200,10000,8000200,0.0002,0.0002,5,0.0066,1,2.2041,0.0020,1,0.5,4
3,8,8,200,100000,24120400,0.0000,,5,0.0642,23,27.2307,,,0.75,2
2,8,8,400,100000,322400,0.0000,,9,0.7264,20,30.5352,,,0.75,8
2,2,4,200,30150.0,40200,0.0001,0.0001,9,0.0142,0,7.1706,0.0022,1,0.5,2
3,8,4,400,10000,256480400,0.0000,,9,0.0043,3,2.7052,,,0.25,2
3,8,2,200,1000,24040800,0.0000,0.0000,2,0.0057,8,0.3248,0.0022,1,0.75,4
2,4,4,400,100000,480400,0.0000,0.0002,6,0.0032,4,31.8053,0.0042,0.2,0.75,8
3,8,4,100,100000,4020200,0.0000,0.0001,0,0.0020,1,32.3893,0.0025,0.1,0.75,8
2,8,4,200,1000,121000,0.0000,0.0001,8,0.0018,9,0.1975,0.0015,0.5,0.75,8
1,8,8,200,1000,1600,0.0000,,8,0.0035,11,0.1454,,,0.5,4
1,8,8,400,2400.0,3200,0.0000,,6,0.0029,20,0.3601,,,0.75,8
3,8,8,400,1000,384320000,0.0001,0.0004,3,0.0020,23,0.3515,0.0100,0.4,0.5,2
1,8,4,100,600.0,800,0.0000,0.0002,9,0.2054,3,0.3798,0.0027,0.4,0.5,8
3,8,8,400,10000,384320000,0.0000,0.0000,3,0.0015,23,2.5144,0.0019,1,0.25,2
2,2,4,200,10000,80000,0.0000,,3,0.0647,0,1.5335,,,0.25,2
2,4,4,200,60300.0,80400,0.0000,,6,0.4898,6,14.4779,,,0.75,4
2,8,2,100,10000,60200,0.0000,0.0000,4,0.0010,26,1.6214,0.0013,1,0.25,8
3,8,4,400,100000,256480400,0.0000,0.0001,2,0.0010,15,36.2098,0.0015,0.1,0.5,4
3,8,4,100,1000,1000700,0.0001,0.0000,6,0.0057,1,0.1987,0.0048,1,0.25,8
3,8,4,200,10000,16080800,0.0000,0.0000,9,0.0010,21,2.1563,0.0018,1,0.75,2
2,8,2,400,10000,1120400,0.0000,0.0001,3,0.0016,26,2.7614,0.0033,0.2,0.75,8
2,4,4,100,1000,20200,0.0000,0.0000,5,0.0017,0,0.2776,0.0027,1,0.25,2
3,8,2,400,1000,128640800,0.0000,,3,0.0160,8,0.4757,,,0.5,4
2,4,4,200,90150.0,120200,0.0000,0.0001,8,0.0014,4,25.2730,0.0021,0.4,0.25,8
3,4,4,100,1000,1010200,0.0000,,9,0.0044,6,0.1762,,,0.25,8
3,8,4,200,1000,32080400,0.0000,0.0001,1,0.0013,12,0.2306,0.0022,0.1,0.5,8
3,8,2,100,10000,3010400,0.0000,0.0002,2,0.0019,8,2.4139,0.0032,1,0.5,4
2,8,2,200,1000,121000,0.0000,0.0001,0,0.0034,19,0.2784,0.0036,1,0.25,2
2,4,4,100,10000,30100,0.0000,0.0000,6,0.0008,4,1.1154,0.0010,1,0.5,8
2,2,4,100,7575.0,10100,0.0000,0.0001,0,0.0010,0,1.3825,0.0012,0.4,0.75,2
1,8,8,100,600.0,800,0.0000,,8,0.0020,11,0.0434,,,0.5,4
2,8,4,400,1000,801200,0.0000,0.0000,2,0.0013,16,0.0890,0.0010,1,0.25,2
3,8,4,400,100000,256640000,0.0000,0.0000,0,0.0009,21,18.6232,0.0012,1,0.5,2
1,8,8,200,1000,1600,0.0002,,5,0.0127,22,0.2768,,,0.25,8
3,8,4,400,1000,128481200,0.0000,0.0001,1,0.1396,1,0.3247,0.0017,1,0.5,8
2,4,4,400,100000,320800,0.0000,,9,0.0050,0,32.9062,,,0.25,2
1,8,4,200,1200.0,1600,0.0000,0.0002,5,0.1767,9,0.3676,0.0015,0.3,0.75,4
2,8,2,400,1000,801200,0.0000,0.0001,6,0.0013,19,0.2470,0.0025,0.7,0.5,2
3,8,8,100,1000,3030200,0.0000,,5,0.0025,23,0.1739,,,0.25,2
2,8,2,100,10000,50300,0.0000,0.0000,1,0.0010,27,1.9052,0.0020,1,0.25,2
1,8,8,400,1000,3200,0.0000,,5,0.0024,8,0.1327,,,0.5,8
3,4,4,400,10000,128160400,0.0000,0.0001,6,0.0015,6,3.4572,0.0026,0.2,0.75,8
3,8,8,100,100000,6020000,0.0000,0.0001,3,0.0020,23,38.2552,0.0028,0.2,0.75,2
3,8,4,400,10000,128640800,0.0000,0.0000,9,0.0042,12,2.6771,0.0020,1,0.25,8
1,8,2,100,600.0,800,0.0000,,6,0.0054,9,0.1322,,,0.25,4
2,2,4,100,10000,20000,0.0000,0.0001,4,0.0014,0,2.6943,0.0025,0.6,0.5,2
2,8,2,100,1000,50300,0.0000,0.0000,3,0.0014,19,0.2418,0.0027,1,0.25,2
2,8,4,400,1000,801200,0.0000,0.0000,5,0.0014,8,0.2350,0.0023,1,0.25,8
1,8,2,400,1000,3200,0.0000,0.0000,3,0.0028,12,0.2154,0.0026,1,0.5,4
3,8,2,400,10000,192480800,0.0000,0.0001,9,0.0056,22,3.1304,0.0027,0.4,0.5,2
3,8,2,100,10000,3030200,0.0000,0.0006,2,0.0028,28,2.2182,0.0039,0.3,0.5,2
2,8,8,200,10000,121000,0.0000,0.0001,0,0.0014,1,1.6895,0.0029,0.7,0.5,2
3,8,4,100,100000,2030300,0.0002,,7,0.0140,27,31.5015,,,0.5,2
1,4,2,200,600.0,800,0.0000,,7,0.0075,5,0.1092,,,0.75,4
3,8,4,200,1000,16200200,0.0000,0.0001,4,0.0011,3,0.1582,0.0025,0.3,0.25,2
1,8,2,400,2400.0,3200,0.0000,,0,0.0031,6,0.2736,,,0.25,8
2,8,4,100,10000,40400,0.0000,,5,0.0120,16,2.5134,,,0.5,2
3,8,2,200,10000,32040600,0.0000,0.0002,2,0.0022,22,2.8866,0.0035,0.8,0.75,2
2,4,4,200,10000,120200,0.0000,0.0001,4,0.0011,6,2.1872,0.0020,0.1,0.75,4
1,8,2,100,600.0,800,0.0000,,5,0.0026,6,0.0928,,,0.75,8
3,8,2,200,1000,24080600,0.0000,0.0002,4,0.0026,23,0.2032,0.0023,0.68,0.75,4
2,4,4,200,90150.0,120200,0.0000,0.0001,0,0.0039,4,13.9573,0.0035,1,0.5,8
2,4,4,200,60300.0,80400,0.0000,0.0000,4,0.0013,0,12.6233,0.0088,1,0.5,2
3,8,4,400,1000,256320800,0.0000,,8,0.0034,12,0.2034,,,0.5,8
3,8,4,200,1000,24080600,0.0000,0.0002,6,0.0025,15,0.1890,0.0025,0.6,0.25,4
2,8,2,200,10000,160800,0.0000,,7,0.0153,17,1.7245,,,0.25,4
3,8,2,200,1000,48040200,0.0000,0.0000,6,0.0014,23,0.2337,0.0022,1,0.25,4
1,8,8,200,1200.0,1600,0.0000,0.0000,2,0.0024,8,0.0950,0.0014,1,0.25,8
1,8,8,100,600.0,800,0.0000,,4,0.0021,1,0.0530,,,0.5,2
2,8,2,200,100000,200600,0.0000,0.0001,2,0.0010,19,10.8523,0.0013,1,0.25,2
2,8,4,200,10000,81200,0.0000,,0,0.0135,9,1.2333,,,0.75,8
3,8,2,400,100000,64481600,0.0000,0.0001,5,0.0010,22,18.2229,0.0014,0.6,0.5,2
3,8,8,100,1000,4020200,0.0000,,8,0.0024,15,0.1385,,,0.75,4
3,4,8,100,1000,3010000,0.0000,,2,0.0037,1,0.1251,,,0.25,4
3,8,4,400,1000,320320400,0.0000,0.0000,1,0.0010,3,0.1452,0.0013,1,0.75,2
1,8,8,400,1000,3200,0.0000,,0,0.0031,1,0.0784,,,0.25,2
3,8,2,100,100000,2030300,0.0000,0.0001,3,0.0015,23,25.4045,0.0016,0.9,0.75,4
3,8,4,100,10000,4010300,0.0000,0.0000,5,0.0009,12,1.3838,0.0013,1,0.5,8
3,8,2,200,1000,24080600,0.0000,0.0000,8,0.0009,8,0.1101,0.0013,1,0.25,4
1,8,4,400,1000,3200,0.0000,0.0409,0,0.1287,5,60.0002,59.7461,,0.5,2
3,8,8,100,100000,5020100,0.0000,,0,0.3244,17,13.7484,,,0.25,4
3,4,4,200,100000,24000200,0.0000,0.0000,4,0.0017,6,16.3613,0.0023,1,0.25,8
1,8,8,200,1000,1600,0.0000,0.0006,2,0.0049,5,0.1888,0.0029,0.9048,0.75,2
3,8,4,400,100000,192480800,0.0000,,4,0.4803,1,24.7230,,,0.5,8
3,8,8,100,100000,1060100,0.0000,0.0000,2,0.0021,17,21.6992,0.0023,1,0.25,4
2,8,2,100,37725.0,50300,0.0000,0.0000,0,0.0014,27,8.5885,0.0021,1,0.75,2
2,4,4,200,1000,120200,0.0000,0.0001,6,0.0015,4,0.2280,0.0025,0.7,0.75,8
3,8,4,400,1000,192321200,0.0000,0.0000,6,0.0014,15,0.1912,0.0032,1,0.25,4
1,8,4,400,1000,3200,0.0000,,0,0.0058,3,0.1686,,729.,0.5,8
1,4,4,200,600.0,800,0.0000,,7,0.0035,5,0.0969,,,0.5,2
3,8,4,400,100000,192480800,0.0000,0.0000,0,0.0014,12,22.5452,0.0021,1,0.5,8
3,8,4,100,1000,5020100,0.0000,0.0000,0,0.0014,27,0.2198,0.0019,1,0.5,2
2,8,8,400,100000,641600,0.0000,0.0001,1,0.0013,4,17.9720,0.0026,0.9,0.25,8
2,4,4,100,1000,30100,0.0000,0.0000,7,0.0027,0,0.1799,0.0021,1,0.5,2
2,8,8,100,10000,60200,0.0000,,4,0.0099,1,2.3897,,,0.75,2
2,4,4,100,22575.0,30100,0.0000,0.0001,6,0.0014,4,4.5185,0.0023,0.8,0.75,8
3,8,8,200,100000,32040600,0.0000,0.0000,8,0.0012,23,19.7083,0.0012,1,0.5,2
1,8,8,400,1000,3200,0.0000,,7,0.0042,1,0.1271,,,0.25,2
3,8,4,200,1000,48040200,0.0000,0.0001,1,0.0013,15,0.1825,0.0023,0.5,0.25,4
3,8,2,400,10000,192480800,0.0000,0.0000,7,0.0009,23,1.7567,0.0012,1,0.25,4
3,8,8,100,1000,3020300,0.0000,,1,0.0026,17,0.1088,,,0.25,4
3,8,8,100,100000,4020200,0.0000,,1,0.1634,23,24.8583,,,0.5,2
3,8,8,400,1000,384160400,0.0000,,6,0.0037,23,0.2386,,,0.5,2
2,8,2,100,10000,30500,0.0000,0.0001,6,0.0017,17,1.8749,0.0028,0.9,0.25,4
3,8,8,400,100000,320160800,0.0002,,7,0.2470,15,41.0361,,,0.75,4
3,2,2,100,100000,1010000,0.0000,0.0002,6,0.0118,1,36.4178,0.0037,1,0.5,4
3,8,4,100,1000,6010100,0.0000,0.0000,1,0.0018,15,0.3547,0.0025,1,0.25,4
3,8,2,200,10000,24040800,0.0000,0.0002,2,0.0015,8,4.0392,0.0117,0.2,0.75,4
3,4,4,100,100000,1030000,0.0000,,6,0.0239,1,41.8953,,,0.5,4
3,8,8,100,100000,3030200,0.0001,0.0002,4,0.1791,17,31.1186,0.0026,1,0.5,4
3,8,2,200,100000,40040400,0.0000,0.0000,0,0.0014,22,31.1813,0.0021,1,0.5,2
3,8,4,200,10000,40080200,0.0000,0.0000,0,0.0016,27,3.1733,0.0150,1,0.25,2
3,8,4,400,10000,192321200,0.0000,0.0001,3,0.0014,21,3.1628,0.0026,0.1,0.75,2
2,8,2,400,1000,641600,0.0000,0.0000,9,0.0014,17,0.2147,0.0023,1,0.25,4
1,8,4,200,1000,1600,0.0001,0.0000,8,0.0063,3,0.1824,0.0023,1,0.5,8
2,4,4,100,10000,30100,0.0000,0.0000,8,0.0009,0,2.2689,0.0446,1,0.25,2
1,4,4,400,1000,1600,0.0000,0.0016,3,0.0063,5,0.3822,0.0044,0.6,0.5,2
1,8,4,100,600.0,800,0.0000,,8,0.0269,10,0.2358,,,0.75,8
1,8,2,200,1200.0,1600,0.0007,,8,0.0060,6,0.5311,,,0.75,8
2,8,4,400,10000,801200,0.0000,0.0000,9,0.0013,16,1.9210,0.0023,1,0.25,2
3,8,2,100,1000,3030200,0.0000,0.0001,7,0.0032,23,0.3349,0.0025,0.2,0.75,4
3,8,4,400,10000,320160800,0.0000,0.0001,8,0.0015,1,3.0878,0.0027,0.8,0.5,8
1,8,8,400,1000,3200,0.0000,,3,0.0044,8,0.2067,,,0.5,8
3,8,2,200,10000,24120400,0.0000,0.0001,2,0.0024,28,2.5908,0.0041,1,0.25,2
3,8,4,100,1000,2050100,0.0001,,4,0.0434,3,0.3058,,,0.5,2
2,8,2,200,31050.0,41400,0.0000,0.0012,9,0.0054,19,12.7214,0.0018,0.3,0.75,2
2,8,2,200,10000,200600,0.0000,0.0004,4,0.0043,27,3.0793,0.0066,0.9,0.75,2
3,8,4,200,10000,40080200,0.0000,0.0017,1,0.0653,3,3.0869,0.0097,0.95437,0.75,2
3,4,4,200,100000,8120000,0.0000,0.0001,6,0.0015,1,26.9344,0.0024,0.6,0.25,4
2,8,4,200,100000,200600,0.0000,,4,0.6518,16,22.5212,,,0.75,2
3,8,8,100,100000,2040200,0.0000,,8,0.0197,17,19.0425,,,0.5,4
3,8,2,100,10000,3030200,0.0000,0.0001,7,0.0011,23,1.4781,0.0012,0.1,0.25,4
2,8,2,200,90750.0,121000,0.0000,0.0001,6,0.0018,17,15.4607,0.0025,0.7,0.25,4
3,8,8,200,1000,24040800,0.0000,0.0002,9,0.0020,17,0.2421,0.0022,0.9,0.75,4
2,8,2,100,1000,40400,0.0002,0.0003,1,0.0071,17,0.2181,0.0043,1,0.5,4
2,4,4,400,1000,320800,0.0001,,9,0.0157,4,0.2454,,,0.25,8
3,8,2,400,100000,256480400,0.0000,0.0000,9,0.0017,28,19.7113,0.0071,1,0.25,2
2,8,8,400,100000,482000,0.0000,0.0001,1,0.0011,1,16.2658,0.0015,0.5,0.75,2
2,8,4,400,1000,641600,0.0000,0.0001,5,0.0012,9,0.1448,0.0015,0.3,0.75,8
2,8,2,200,100000,240400,0.0000,0.0001,6,0.0014,27,21.1958,0.0025,0.8,0.75,2
2,4,4,400,1000,480400,0.0000,0.0000,7,0.0016,0,0.1248,0.0013,1,0.75,2
1,8,4,100,600.0,800,0.0000,,3,0.0048,3,0.0682,,218.,0.75,8
3,4,8,200,10000,16000400,0.0000,0.0001,5,0.0010,1,1.3882,0.0016,0.6,0.25,4
2,8,8,200,90750.0,121000,0.0000,,7,23.1080,20,38.4450,,,0.75,8
1,8,2,200,1200.0,1600,0.0000,,2,0.0022,9,0.1592,,,0.75,4
3,8,8,200,100000,16080800,0.0000,,6,0.0484,15,17.5906,,,0.75,4
3,8,2,400,10000,128321600,0.0000,0.0004,3,1.4420,22,2.6966,0.0012,1,0.25,2
3,8,8,400,1000,320320400,0.0000,,0,0.0028,17,0.1651,,,0.75,4
2,8,8,200,10000,160800,0.0000,0.0001,3,0.0010,12,1.3599,0.0019,0.4,0.75,2
1,8,8,400,2400.0,3200,0.0000,,2,0.0062,5,0.3452,,,0.25,2
3,8,4,400,100000,128481200,0.0000,,3,0.4242,1,22.6391,,,0.25,8
2,8,4,400,1000,960800,0.0000,,6,0.0039,9,0.2310,,,0.75,8
3,8,2,200,10000,24080600,0.0000,0.0001,6,0.0009,15,1.6187,0.0014,0.4,0.75,4
3,4,4,400,100000,128000800,0.0000,0.0000,4,0.0015,1,20.2207,0.0021,1,0.25,4
2,8,2,200,100000,160800,0.0000,0.0001,0,0.0014,26,22.5425,0.0026,0.3,0.75,8
2,4,4,400,10000,480400,0.0000,,4,0.0031,6,1.2334,,,0.5,4
2,8,2,100,1000,30500,0.0000,,0,0.0064,19,0.1782,,,0.25,2
3,4,4,400,1000,128320000,0.0000,0.0000,0,0.0014,6,0.2645,0.0023,1,0.75,8
3,8,4,400,10000,256320800,0.0000,0.0001,8,0.0010,3,1.8669,0.0015,0.3,0.75,2
3,4,8,400,1000,192000400,0.0000,,3,0.0077,1,0.2337,,,0.25,4
3,8,8,100,100000,4000400,0.0000,0.0002,5,0.0014,15,16.2714,0.0014,0.5,0.5,4
3,8,2,100,1000,3020300,0.0000,0.0002,1,0.0027,28,0.1398,0.0015,0.9,0.75,2
3,2,2,400,1000,64000400,0.0000,0.0001,7,0.0009,1,0.1387,0.0015,0.5,0.5,4
3,8,4,200,1000,24040800,0.0000,0.0000,3,0.0009,15,0.1264,0.0013,1,0.25,4
1,8,8,400,1000,3200,0.0000,,2,0.0041,11,0.1986,,,0.75,4
2,4,4,200,1000,80400,0.0000,,3,0.0061,0,0.2002,,,0.25,2
3,8,2,400,1000,256161200,0.0000,0.0001,8,0.0014,15,0.2554,0.0026,0.2,0.75,4
2,8,2,100,10000,20600,0.0000,0.0003,6,0.0018,26,2.4423,0.0027,0.1,0.75,8
2,8,2,400,10000,801200,0.0000,0.0000,2,0.0013,27,1.9085,0.0022,1,0.25,2
3,8,4,100,10000,4030100,0.0000,0.0001,2,0.0016,15,2.4561,0.0016,0.2,0.75,4
1,8,8,200,1200.0,1600,0.0000,,6,0.0027,11,0.1082,,,0.5,4
2,8,4,400,100000,482000,0.0000,0.0001,2,0.0010,8,12.2298,0.0015,0.6,0.25,8
2,8,8,100,1000,60200,0.0000,,9,0.0020,4,0.1029,,,0.25,8
1,8,4,200,1000,1600,0.0000,,3,0.0022,10,0.0930,,,0.5,8
1,8,4,400,1000,3200,0.0000,0.0002,4,0.0018,10,0.0980,0.0017,0.5,0.5,8
3,2,2,200,100000,8000200,0.0000,0.0001,7,0.0023,1,17.8813,0.0028,0.6,0.25,4
1,4,2,400,1000,1600,0.0000,,8,59.9154,5,60.0002,,,0.5,4
2,8,8,200,1000,240400,0.0000,0.0001,9,0.0022,4,0.1882,0.0026,0.3,0.25,8
3,4,8,200,1000,16040200,0.0000,0.0000,0,0.0013,1,0.2499,0.0025,1,0.75,4
2,8,2,100,1000,40400,0.0000,0.0000,5,0.0013,17,0.2037,0.0021,1,0.5,4
3,4,4,400,10000,128320000,0.0000,,0,0.0375,6,2.6066,,,0.75,8
1,4,4,200,600.0,800,0.0000,,2,0.0055,5,0.0840,,,0.25,2
1,8,8,400,1000,3200,0.0000,,5,0.0034,22,0.1863,,,0.75,8
3,8,4,100,100000,4030100,0.0000,,2,0.0133,15,18.7888,,,0.25,4
2,8,8,400,10000,960800,0.0000,0.0001,5,0.0016,4,2.1203,0.0027,0.2,0.5,8
3,8,2,400,10000,256161200,0.0000,0.0000,6,0.0039,8,2.3970,0.0022,1,0.5,4
2,8,4,200,90750.0,121000,0.0000,,2,0.1658,8,26.5954,,,0.75,8
3,8,8,400,10000,192480800,0.0000,,4,0.0323,17,3.1660,,,0.75,4
3,8,2,200,1000,16080800,0.0001,0.0001,3,0.0066,22,0.2673,0.0029,0.1,0.5,2
3,8,2,200,100000,32000800,0.0000,0.0001,8,0.0017,22,32.8027,0.0027,0.9,0.5,2
3,8,4,400,10000,128481200,0.0000,0.0001,3,0.0015,1,3.2764,0.0028,0.8,0.75,8
1,8,2,200,1200.0,1600,0.0000,0.0002,3,0.0025,9,0.2826,0.0029,0.5,0.75,4
1,2,8,100,150.0,200,0.0000,,9,0.0032,1,0.0392,,,0.75,8
1,8,8,100,600.0,800,0.0000,0.0000,5,0.0052,20,0.1662,0.0023,1,0.75,8
2,2,4,200,60000.0,80000,0.0001,0.4633,4,16.4562,0,30.2916,0.0055,0.8,0.75,2
3,4,4,400,1000,128160400,0.0001,,6,0.0039,6,0.1787,,,0.5,8
3,8,4,100,1000,5010200,0.0000,0.0000,5,0.0010,3,0.1699,0.0013,1,0.25,2
3,8,4,200,10000,16160400,0.0000,,8,0.0063,21,2.6801,,,0.5,2
2,8,8,200,100000,240400,0.0000,0.0000,5,0.0011,4,18.9942,0.0013,1,0.5,8
3,8,4,100,1000,4030100,0.0000,0.0001,9,0.0012,3,0.1824,0.0037,0.1,0.5,2
3,8,4,200,100000,16080800,0.0000,0.0000,9,0.0011,21,20.5884,0.0022,1,0.25,2
3,8,4,400,1000,128800400,0.0000,0.0002,4,0.0524,3,0.2366,0.0035,1,0.5,2
3,8,4,100,1000,4030100,0.0000,0.0000,9,0.0013,3,0.2843,0.0033,1,0.25,2
3,8,4,100,10000,5020100,0.0002,0.0000,1,0.0116,3,2.9128,0.0024,1,0.25,2
2,2,4,200,10000,40200,0.0000,0.0000,0,0.0016,0,2.5032,0.0027,1,0.25,2
2,8,8,200,10000,160800,0.0000,,1,0.0186,4,2.9411,,,0.5,8
