maximum.arity,number.of.predicates,number.of.variables,domain.size,number.of.facts,universe.size,Propagating evidence,Cycle breaking,instance,Grounding,number.of.independent.pairs,Total time,Compiling BDD,answer,proportion.probabilistic,maximum.number.of.nodes
3,2,2,100,100000,1010000,0.0000,0.0000,8,0.0036,1,21.1843,0.0027,1,0.25,4
3,8,8,400,10000,320480000,0.0000,0.0001,2,0.0014,23,2.1693,0.0025,0.6,0.25,2
1,8,2,200,1000,1600,0.0000,0.0000,2,0.0023,6,0.1432,0.0022,1,0.25,8
3,8,2,100,100000,4030100,0.0000,0.0001,9,0.0024,28,17.4906,0.0046,1,0.5,2
1,8,8,200,1200.0,1600,0.0000,,4,0.0026,1,0.1141,,,0.5,2
1,4,2,100,300.0,400,0.0000,0.0001,5,0.0023,5,0.0484,0.0028,0.7,0.5,4
3,8,2,200,10000,16080800,0.0000,0.0000,6,0.0011,22,1.5611,0.0013,1,0.5,2
1,8,2,200,1000,1600,0.0000,0.0011,3,0.3393,6,0.5191,0.0046,0.51800224,0.75,8
2,8,8,100,10000,40400,0.0000,,1,0.0128,4,2.1694,,,0.5,8
2,8,8,100,1000,80000,0.0000,,8,0.0082,4,0.2409,,,0.75,8
2,8,4,200,100000,200600,0.0000,0.0001,0,0.0011,16,21.3298,0.0015,0.7,0.75,2
2,2,4,400,100000,320000,0.0000,0.0000,4,0.0010,0,14.3559,0.0013,1,0.5,2
1,8,2,100,600.0,800,0.0000,,4,0.0020,9,0.0598,,,0.75,4
3,8,2,200,100000,24080600,0.0000,0.0000,4,0.0011,23,13.2874,0.0013,1,0.25,4
3,8,4,100,1000,3020300,0.0000,0.0000,7,0.0009,1,0.1096,0.0012,1,0.25,8
2,8,4,200,1000,200600,0.0000,,6,0.0030,16,0.1201,,,0.75,2
2,4,4,200,100000,160000,0.0000,,0,0.0577,0,11.1067,,,0.25,2
3,8,4,200,100000,32040600,0.0000,0.0000,7,0.0018,21,16.6159,0.0024,1,0.25,2
3,8,2,400,1000,192480800,0.0000,0.0011,4,0.0029,28,0.5423,0.0185,0.3,0.75,2
3,8,4,100,10000,4020200,0.0000,0.0001,8,0.0017,12,3.5278,0.0028,0.2,0.75,8
3,8,4,400,1000,192480800,0.0000,0.0001,4,0.0014,21,0.3593,0.0022,1,0.75,2
3,2,2,100,1000,1000100,0.0000,0.0001,7,0.0016,1,0.4933,0.0028,0.6,0.75,4
3,2,2,100,100000,1000100,0.0000,0.0001,5,0.0029,1,29.5401,0.0024,0.5,0.75,4
2,8,8,400,1000,801200,0.0000,0.0001,2,0.0014,4,0.1849,0.0026,0.9,0.25,8
3,8,4,100,1000,3030200,0.0000,0.0000,0,0.0010,12,0.1095,0.0012,1,0.25,8
1,8,8,100,600.0,800,0.0000,,9,0.0062,5,0.0528,,,0.25,2
3,8,2,100,100000,3030200,0.0000,0.0000,4,0.0017,28,20.2680,0.0022,1,0.5,2
3,8,8,100,10000,1060100,0.0000,,2,0.0048,17,2.1803,,,0.5,4
3,2,2,100,1000,1010000,0.0000,0.0000,1,0.0010,1,0.1172,0.0012,1,0.25,4
2,8,2,200,10000,240400,0.0000,0.0001,5,0.0011,27,1.0451,0.0015,0.3,0.25,2
3,8,4,200,100000,32080400,0.0000,,8,0.0706,12,21.8623,,,0.25,8
3,8,4,100,100000,4010300,0.0000,0.0001,2,0.0018,21,19.5243,0.0027,0.3,0.5,2
3,8,2,200,100000,32040600,0.0000,0.0000,6,0.0017,8,25.6875,0.0026,1,0.5,4
1,8,8,100,600.0,800,0.0000,,2,59.9390,22,60.0002,,,0.5,8
3,8,8,100,10000,3010400,0.0000,0.0001,9,0.0017,17,2.4512,0.0025,0.3,0.5,4
2,8,4,200,10000,160800,0.0000,16.4966,5,24.1847,9,60.0002,18.1519,,0.5,8
2,4,4,100,10000,30100,0.0000,0.0001,8,0.0014,4,2.0834,0.0024,0.7,0.5,8
3,8,4,100,1000,3000500,0.0000,,9,0.0056,1,0.2304,,,0.5,8
2,8,4,400,10000,641600,0.0000,0.0000,5,0.0009,16,1.7165,0.0012,1,0.25,2
2,8,2,400,10000,801200,0.0000,0.0001,4,0.0019,27,1.1913,0.0015,0.9,0.5,2
1,8,8,400,2400.0,3200,0.0000,,8,0.0026,22,0.2020,,,0.5,8
1,8,4,200,1200.0,1600,0.0000,,4,0.0038,9,0.1200,,,0.75,4
3,8,2,100,10000,3020300,0.0000,0.0001,3,0.0014,15,2.6189,0.0023,0.2,0.75,4
3,8,2,200,10000,24200000,0.0000,0.0001,9,0.0015,15,2.4928,0.0029,0.3,0.5,4
3,4,4,400,10000,192000400,0.0000,0.0001,7,0.0014,1,2.8520,0.0025,0.4,0.75,4
1,8,4,400,1000,3200,0.0000,,0,0.0033,5,0.1264,,,0.25,2
1,8,8,200,1000,1600,0.0000,,5,0.0091,8,0.2088,,,0.75,8
3,8,2,100,1000,2030300,0.0000,0.0000,4,0.0014,8,0.2063,0.0023,1,0.25,4
3,4,8,400,10000,128160400,0.0000,,4,0.0029,1,1.7170,,,0.25,4
3,8,8,100,100000,6010100,0.0000,,6,0.0354,23,26.2000,,,0.5,2
2,4,4,200,60300.0,80400,0.0000,,9,0.0708,6,7.1790,,,0.5,4
