maximum.number.of.nodes,Clark's completion,Transform output,Propagating evidence,number.of.predicates,instance,Total time,maximum.arity,number.of.independent.pairs,domain.size,proportion.probabilistic,Solver call,Grounding,Transform input,Cycle breaking,universe.size,number.of.facts,number.of.variables,answer
8,,,0.0000,8,3,0.6403,1,20,400,0.75,,0.0055,,,3200,2400.0,8,
8,0.0000,0.0000,0.0000,8,1,27.9227,2,8,400,0.25,0.0306,0.0019,0.0002,0.0001,801200,100000,4,0.6
4,,,0.0000,8,5,0.1099,1,12,100,0.25,,0.0036,,,800,600.0,2,629.
4,0.0000,0.0001,0.0000,4,1,37.0662,3,1,200,0.5,0.0775,0.0020,0.0002,0.0001,16080000,100000,4,0.1
4,0.0000,0.0000,0.0000,8,9,33.0824,3,15,200,0.25,0.0505,0.0022,0.0002,0.0001,16080800,100000,4,0.8
8,0.0000,,0.0000,8,4,0.1425,1,22,400,0.25,,0.0020,,0.0000,3200,1000,8,1
4,,,0.0000,4,1,42.9900,3,1,400,0.75,,2.2024,,,128160400,100000,8,
4,0.0000,,0.0000,8,9,16.2252,3,15,400,0.25,,13.4207,,0.0153,512000000,10000,8,1
4,0.0000,,0.0000,8,6,0.3842,3,23,200,0.5,,0.0014,,0.0000,48040200,1000,2,1
2,0.0000,,0.0001,8,1,3.2466,2,27,200,0.75,,0.0127,,0.0000,200600,10000,2,1
2,0.0000,,0.0000,8,2,3.0601,3,22,400,0.25,,0.0015,,0.0000,256161200,10000,2,1
2,0.0001,0.0001,0.0001,8,1,0.4209,3,22,400,0.75,0.0273,0.0071,0.0003,0.0001,192640400,1000,2,0.1
2,0.0000,0.0000,0.0000,8,0,0.3163,3,27,200,0.75,0.0230,0.0016,0.0001,0.0001,40080200,1000,4,0.7
8,,,0.0001,8,4,41.9766,3,1,200,0.75,,0.1711,,,24120400,100000,4,
8,0.0002,,0.0000,4,1,0.2792,2,4,200,0.25,,0.0081,,0.0003,160000,1000,4,1
2,0.0002,,0.0001,8,4,30.0946,2,1,200,0.5,,0.0050,,0.0003,240400,100000,8,1
2,0.0668,0.0003,0.0000,8,9,60.2471,2,12,100,0.5,0.2757,0.3735,0.0102,0.1273,30500,22875.0,8,.
2,,,0.0000,4,2,0.3974,2,0,400,0.75,,0.0150,,,480400,1000,4,
2,0.0453,0.0002,0.0001,8,1,60.2154,3,21,200,0.25,0.4196,0.2946,0.0212,0.0640,32080400,1000,4,.
4,0.0000,,0.0000,8,4,3.0346,3,15,100,0.5,,0.0016,,0.0000,3030200,10000,4,1
2,0.0000,0.0000,0.0000,8,7,2.1301,2,27,200,0.25,0.0295,0.0022,0.0001,0.0001,121000,10000,2,0.8
4,0.0000,0.0000,0.0000,8,6,0.2735,3,8,400,0.25,0.0145,0.0015,0.0001,0.0001,256161200,1000,2,0.5
4,0.0000,0.0001,0.0000,8,5,3.6443,3,15,100,0.75,0.0402,0.0015,0.0002,0.0001,6000200,10000,2,0.6
4,0.0000,0.0000,0.0000,8,4,0.2846,3,15,100,0.75,0.0225,0.0018,0.0008,0.0001,3030200,1000,4,0.5
2,,,0.0000,8,4,0.4163,1,1,400,0.5,,0.0070,,,3200,2400.0,8,
2,0.0000,0.0000,0.0000,8,6,10.1114,2,19,100,0.25,0.0265,0.0020,0.0002,0.0001,50300,37725.0,2,0.3
2,0.0000,0.0000,0.0000,8,2,43.5156,3,22,400,0.75,0.0534,0.0023,0.0003,0.0001,256161200,100000,2,0.7
4,0.0000,,0.0000,8,4,3.3824,3,8,400,0.25,,0.0018,,0.0000,128481200,10000,2,1
8,0.0003,0.0000,0.0000,8,8,14.0125,2,26,100,0.25,0.0331,0.0069,0.0003,0.0010,60200,45150.0,2,0.82
8,,,0.0000,8,1,0.2623,2,8,400,0.5,,0.0038,,,801200,1000,4,
4,,,0.0000,8,6,3.6585,3,17,100,0.75,,0.0338,,,2030300,10000,8,
8,0.0000,,0.0000,2,1,0.1253,1,1,200,0.5,,0.0028,,0.0000,400,300.0,8,1
2,0.0000,0.0001,0.0000,8,0,3.6536,3,3,200,0.5,0.0297,0.0018,0.0002,0.0001,24080600,10000,4,0.5
4,0.0000,0.0001,0.0000,8,7,42.7225,3,15,100,0.75,0.0512,0.0031,0.0002,0.0001,1040300,100000,2,0.1
2,0.0000,0.0000,0.0000,8,7,26.0588,3,21,100,0.5,0.0393,0.0014,0.0002,0.0001,4010300,100000,4,0.4
2,0.0000,0.0000,0.0000,8,7,2.0539,2,19,100,0.75,0.0251,0.0015,0.0001,0.0001,50300,10000,2,0.6
4,0.0000,,0.0002,8,4,32.8610,3,15,400,0.75,,0.0068,,0.0029,320160800,100000,8,1
8,,,0.0002,8,4,0.2992,2,20,100,0.75,,0.0097,,,40400,1000,8,
2,0.0001,0.0001,0.0000,8,8,0.2262,1,5,100,0.5,0.0278,0.0039,0.0003,0.0002,800,600.0,8,0.37
2,,,0.0000,8,0,0.2687,2,16,400,0.25,,0.0094,,,801200,1000,4,
8,,,0.0000,8,1,0.1258,1,8,100,0.25,,0.0035,,,800,600.0,8,
2,0.0000,,0.0000,8,3,39.0484,3,28,200,0.75,,0.0021,,0.0000,40080200,100000,2,1
4,0.0000,,0.0000,8,5,1.0411,1,9,200,0.5,,0.7886,,0.0010,1600,1200.0,2,1
8,,,0.0000,8,5,24.3300,2,8,200,0.75,,0.4646,,,200600,100000,4,
4,0.0000,0.0000,0.0000,8,6,0.3552,3,8,400,0.75,0.0269,0.0012,0.0001,0.0001,256161200,1000,2,0.1
2,0.0001,0.0000,0.0000,8,8,2.3323,3,23,100,0.5,0.0248,0.0023,0.0005,0.0001,4010300,10000,8,0.6
4,0.0000,0.0000,0.0001,2,7,31.9594,3,1,100,0.75,0.0341,0.0047,0.0002,0.0001,1000100,100000,2,0.9
2,0.0000,,0.0000,8,1,24.8349,3,3,400,0.25,,0.0010,,0.0000,320320400,100000,4,1
2,,,0.0000,8,1,22.6221,2,12,200,0.25,,0.0926,,,240400,100000,8,
4,0.0000,0.0000,0.0000,8,3,19.7671,2,17,400,0.5,0.0437,0.0013,0.0011,0.0001,641600,100000,2,0.1
2,,,0.0000,8,9,0.0886,1,1,100,0.25,,0.0035,,,800,600.0,8,
4,0.0000,0.0004,0.0000,8,1,0.3880,3,15,100,0.75,0.0240,0.0014,0.0002,0.0001,3020300,1000,8,0.9
2,0.0003,,0.0000,8,4,30.1127,3,3,400,0.5,,0.0037,,0.0001,128800400,100000,4,1
8,0.0001,0.0000,0.0001,2,5,0.2358,1,1,400,0.5,0.0275,0.0106,0.0003,0.0007,800,600.0,8,0.5
2,0.0001,0.0001,0.0002,4,3,0.2807,1,5,400,0.25,0.0205,0.0102,0.0003,0.0003,1600,1200.0,4,0.7
4,0.0001,,0.0000,8,3,3.0855,3,17,100,0.25,,0.0021,,0.0000,4010300,10000,8,1
8,,,0.0000,4,9,2.5859,2,4,100,0.25,,0.0261,,,20200,10000,4,
2,0.0000,,0.0000,8,1,2.8262,3,22,400,0.25,,0.0015,,0.0000,192640400,10000,2,1
2,,,0.0000,8,1,2.3797,2,16,400,0.25,,0.0159,,,641600,10000,4,
4,,,0.0000,4,6,15.2970,2,6,200,0.25,,0.5862,,,80400,60300.0,4,
4,0.0000,,0.0000,4,5,0.1370,1,5,200,0.5,,0.0033,,0.0000,800,600.0,2,1
4,0.0000,,0.0000,8,5,0.2537,3,23,100,0.25,,0.0013,,0.0000,2050100,1000,2,1
8,0.0000,,0.0000,8,7,2.5712,2,26,400,0.5,,0.0013,,0.0000,801200,10000,2,1
4,0.0000,0.0000,0.0000,4,5,3.0024,3,1,200,0.25,0.0276,0.0018,0.0002,0.0001,16040200,10000,4,0.4
8,0.0002,,0.0000,4,0,30.0940,3,6,400,0.5,,0.0049,,0.0004,128320000,100000,4,1
2,0.0000,0.0000,0.0000,8,2,26.5253,3,23,400,0.75,0.0320,0.0037,0.0004,0.0001,320480000,100000,8,0.8
2,0.0000,,0.0000,8,6,1.2611,1,5,400,0.25,,0.9658,,0.0004,3200,2400.0,4,1
8,0.0000,,0.0000,8,3,1.4843,2,8,200,0.25,,0.0011,,0.0002,200600,10000,4,1
2,0.0000,,0.0000,8,6,0.2553,3,23,200,0.25,,0.0026,,0.0000,48040200,1000,8,1
4,,,0.0000,4,9,0.2272,3,1,400,0.25,,0.0039,,,64001200,1000,8,
8,,,0.0000,8,7,3.0619,3,1,200,0.5,,0.0991,,,24080600,10000,4,
4,,,0.0000,8,7,2.2620,2,17,400,0.5,,0.0230,,,641600,10000,2,
2,0.0000,,0.0000,8,5,0.1807,3,27,400,0.25,,0.0057,,0.0000,256480400,1000,4,1
4,0.0000,,0.0000,4,6,0.1392,1,5,400,0.5,,0.0021,,0.0000,1600,1000,2,1
4,0.0002,,0.0000,8,5,0.4904,1,9,400,0.75,,0.3454,,0.0015,3200,1000,2,1
2,0.0000,,0.0000,8,1,33.3354,3,28,200,0.75,,0.0013,,0.0000,24080600,100000,2,1
4,0.0000,,0.0000,2,4,0.3182,3,1,200,0.5,,0.0016,,0.0000,8000200,1000,2,1
2,,,0.0000,8,7,0.2057,2,19,100,0.75,,0.0022,,,50300,1000,2,
2,0.0000,0.0000,0.0000,8,5,30.8835,3,22,100,0.5,0.0345,0.0019,0.0001,0.0001,1030400,100000,2,0.5
4,0.0000,,0.0000,2,5,30.1060,3,1,100,0.5,,0.0020,,0.0000,1000100,100000,2,1
8,0.0000,0.0002,0.0000,4,3,2.0532,2,4,200,0.5,0.0179,0.0011,0.0002,0.0001,160000,10000,4,0.5
4,0.0001,0.0001,0.0000,8,1,9.1026,2,17,100,0.5,0.0453,0.0048,0.0005,0.0005,40400,30300.0,2,0.544
8,,,0.0000,8,0,28.8137,2,20,400,0.75,,0.4577,,,641600,100000,8,422.
2,,,0.0000,8,5,0.0817,2,19,400,0.25,,0.0033,,,641600,1000,2,
8,0.0000,,0.0000,4,0,17.1951,3,6,400,0.75,,0.0012,,0.0000,128320000,100000,4,1
4,,,0.0000,8,4,0.0850,1,9,100,0.5,,0.0031,,,800,600.0,4,
2,,,0.0000,8,3,0.1147,3,3,400,0.5,,0.0043,,,256320800,1000,4,
8,0.0000,0.0000,0.0000,8,7,0.1095,2,8,400,0.25,0.0113,0.0015,0.0001,0.0001,801200,1000,4,0.2
4,0.0000,,0.0000,8,0,0.1728,3,8,400,0.5,,0.0011,,0.0000,128481200,1000,2,1
4,0.0000,0.0000,0.0000,8,0,0.2500,3,15,200,0.75,0.0156,0.0012,0.0001,0.0001,24160200,1000,4,0.8
8,0.0000,0.0000,0.0000,8,6,22.2868,3,12,200,0.75,0.0258,0.0014,0.0001,0.0001,32080400,100000,4,0.5
8,,,0.0000,8,6,0.1284,1,6,200,0.25,,0.0030,,,1600,1000,2,
4,0.0000,,0.0000,8,7,0.2612,3,8,400,0.75,,0.0020,,0.0000,192480800,1000,2,1
2,0.0001,0.0000,0.0000,4,8,0.3756,2,0,200,0.5,0.0259,0.0021,0.0002,0.0002,120200,1000,4,0.2
4,0.0000,0.0000,0.0000,8,9,1.9930,3,17,200,0.25,0.0149,0.0012,0.0002,0.0001,24040800,10000,8,0.9
8,,,0.0000,8,7,0.3230,2,20,400,0.75,,0.0050,,,482000,1000,8,
4,0.0001,0.0001,0.0000,4,6,0.3774,1,5,400,0.75,0.0275,0.0038,0.0003,0.0004,1600,1200.0,2,0.7
2,,,0.0000,8,5,2.0121,3,27,400,0.25,,0.0392,,,256480400,10000,4,
8,,,0.0000,4,1,60.0002,2,4,400,0.5,,40.2196,,,640000,100000,4,
2,0.0000,,0.0000,8,4,1.3814,3,28,200,0.25,,0.0015,,0.0000,24120400,10000,2,1
8,,,0.0000,4,3,18.0084,3,6,100,0.5,,0.0080,,,1020100,100000,4,
8,0.0001,0.0001,0.0000,8,4,0.3286,1,20,200,0.25,0.0253,0.0037,0.0003,0.0004,1600,1200.0,8,0.5
8,,,0.0000,8,5,0.2454,1,15,400,0.75,,0.0046,,,3200,1000,8,
8,0.0000,0.0000,0.0000,8,4,0.1874,2,20,400,0.75,0.0150,0.0011,0.0002,0.0001,641600,1000,8,0.1
2,,,0.0000,8,0,1.0624,2,1,100,0.75,,0.0094,,,30500,10000,8,
2,0.0000,0.0000,0.0000,8,0,0.1417,2,12,200,0.75,0.0186,0.0025,0.0002,0.0002,121000,1000,8,0.4
8,0.0000,0.0000,0.0000,8,3,1.7603,2,20,400,0.75,0.0112,0.0009,0.0001,0.0001,801200,10000,8,0.6
2,,,0.0000,8,8,1.0589,3,27,100,0.25,,0.0048,,,4020200,10000,4,
4,,,0.0000,4,7,22.2346,3,1,200,0.5,,0.1581,,,24040000,100000,8,
8,0.0000,0.0000,0.0000,8,9,3.8718,2,26,100,0.5,0.0180,0.0010,0.0002,0.0001,40400,30300.0,2,0.7
8,0.0000,,0.0000,4,0,10.4282,2,4,200,0.25,,0.0028,,0.0000,120200,90150.0,4,1
8,,,0.0000,8,6,0.0510,1,3,100,0.5,,0.0019,,,800,600.0,4,
2,0.0000,0.0000,0.0000,8,2,1.1516,3,22,200,0.5,0.0117,0.0009,0.0001,0.0001,32040600,10000,2,0.2
4,,,0.0000,8,1,0.1955,1,11,400,0.5,,0.0043,,,3200,2400.0,8,
4,0.0000,,0.0000,8,5,0.1656,3,17,200,0.25,,0.0014,,0.0000,24120400,1000,8,1
8,,,0.0000,8,0,0.1554,1,3,400,0.75,,0.0089,,,3200,1000,4,733.
4,0.0000,,0.0000,8,8,1.3807,3,15,100,0.5,,0.0008,,0.0000,4010300,10000,2,1
4,0.0000,,0.0000,8,1,1.3366,3,8,100,0.5,,0.0013,,0.0000,3030200,10000,2,1
4,0.0000,,0.0000,8,1,13.8997,3,8,100,0.25,,0.0024,,0.0000,3030200,100000,2,1
2,0.0000,,0.0000,8,5,0.6603,2,1,100,0.25,,0.0009,,0.0000,10700,8025.0,8,1
2,0.0000,,0.0000,8,9,25.9126,3,3,200,0.75,,0.0013,,0.0000,32120200,100000,4,1
4,0.0000,0.0000,0.0000,8,8,3.0959,3,23,400,0.75,0.0173,0.0014,0.0001,0.0001,192640400,10000,2,0.3
2,0.0001,0.0000,0.0000,8,9,0.2244,2,19,200,0.75,0.0148,0.0043,0.0002,0.0003,41400,1000,2,0.648
8,0.0000,0.0000,0.0000,8,0,24.8721,2,4,400,0.75,0.0263,0.0013,0.0001,0.0001,641600,100000,8,0.3
4,0.0000,,0.0000,8,8,0.1482,1,9,100,0.5,,0.0035,,0.0000,800,600.0,4,1
2,0.0000,0.0000,0.0000,8,3,0.2329,3,28,400,0.5,0.0141,0.0013,0.0001,0.0001,320320400,1000,2,0.7
8,,,0.0000,8,8,0.1432,1,6,200,0.5,,0.0027,,,1600,1200.0,2,
8,0.0000,,0.0000,4,3,20.2512,2,4,400,0.5,,0.0016,,0.0000,640000,100000,4,1
8,0.0000,,0.0001,4,1,26.2757,3,6,200,0.5,,0.0030,,0.0000,16080000,100000,4,1
4,0.0000,,0.0000,8,8,29.8235,2,17,400,0.25,,0.0019,,0.0000,641600,100000,2,1
4,0.0001,0.0000,0.0000,4,4,0.5744,3,1,100,0.75,0.0269,0.0061,0.0002,0.0003,2000200,1000,4,0.9
8,0.0000,,0.0000,8,3,0.3005,2,26,100,0.25,,0.0014,,0.0000,70100,1000,2,1
4,,,0.0000,4,3,0.3161,2,6,200,0.5,,0.0059,,,160000,1000,4,
2,0.0000,0.0002,0.0000,8,2,0.3709,2,1,200,0.75,0.0225,0.0019,0.0002,0.0001,200600,1000,8,0.3
2,,,0.0000,2,8,0.2802,2,0,200,0.5,,0.0063,,,80000,1000,4,
4,,,0.0000,4,4,0.2313,3,1,200,0.75,,0.0196,,,16000400,1000,4,
4,0.0000,,0.0001,4,0,23.8412,2,6,400,0.5,,0.0112,,0.0000,480400,100000,4,1
2,0.0000,,0.0000,8,2,10.6801,2,1,100,0.75,,0.0014,,0.0000,50300,37725.0,8,1
2,,,0.0000,8,1,0.1738,2,19,400,0.5,,0.0035,,,960800,1000,2,
8,0.0000,,0.0000,8,4,0.1370,1,15,400,0.5,,0.0018,,0.0000,3200,1000,8,1
4,,,0.0000,4,3,0.0872,1,5,200,0.25,,0.0064,,,800,600.0,2,
2,,,0.0000,8,5,30.8729,3,27,400,0.75,,0.0060,,,256480400,100000,4,
4,0.0000,,0.0000,8,8,0.2785,3,23,100,0.25,,0.0017,,0.0000,3040100,1000,2,1
2,0.0000,0.0000,0.0000,8,0,0.4147,3,21,100,0.75,0.0256,0.0014,0.0002,0.0001,4040000,1000,4,0.9
2,,,0.0000,8,7,0.2580,3,27,100,0.25,,0.0046,,,2030300,1000,4,
8,,,0.0000,8,4,0.2422,2,20,400,0.25,,0.0036,,,641600,1000,8,
2,0.0000,0.0000,0.0000,4,2,0.3171,2,0,200,0.5,0.0245,0.0014,0.0001,0.0001,120200,1000,4,0.9
4,,,0.0000,8,8,23.1000,3,17,400,0.5,,0.0680,,,128640800,100000,8,
8,0.0000,,0.0000,4,7,0.6996,2,4,200,0.25,,0.5059,,0.0003,80400,1000,4,1
4,0.0000,0.0000,0.0000,8,8,0.2084,3,8,400,0.5,0.0145,0.0012,0.0001,0.0001,192321200,1000,2,0.7
4,0.0000,0.0000,0.0001,8,9,26.3160,3,17,200,0.75,0.0320,0.0091,0.0002,0.0001,24040800,100000,8,0.3
4,,,0.0000,8,5,0.1276,1,9,100,0.25,,0.0054,,,800,600.0,4,
4,0.0000,,0.0000,2,5,3.1988,3,1,200,0.5,,0.0012,,0.0000,8000200,10000,2,1
2,,,0.0002,8,5,35.3759,3,23,200,0.75,,0.1144,,,24120400,100000,8,
8,,,0.0000,8,9,29.0505,2,20,400,0.75,,0.7906,,,322400,100000,8,
2,0.0000,,0.0000,2,9,8.4308,2,0,200,0.5,,0.0123,,0.0001,40200,30150.0,4,1
2,,,0.0000,8,9,2.8646,3,3,400,0.25,,0.0043,,,256480400,10000,4,
4,0.0000,,0.0000,8,2,0.3095,3,8,200,0.75,,0.0047,,0.0000,24040800,1000,2,1
8,0.0000,0.0000,0.0000,4,6,30.9649,2,4,400,0.75,0.0336,0.0015,0.0002,0.0001,480400,100000,4,0.2
8,0.0000,0.0000,0.0001,8,0,27.0043,3,1,100,0.75,0.0331,0.0081,0.0001,0.0001,4020200,100000,4,0.1
8,0.0000,0.0000,0.0000,8,8,0.2328,2,9,200,0.75,0.0319,0.0028,0.0011,0.0001,121000,1000,4,0.5
4,,,0.0000,8,8,0.1376,1,11,200,0.5,,0.0044,,,1600,1000,8,
8,,,0.0000,8,6,0.5527,1,20,400,0.75,,0.0043,,,3200,2400.0,8,
2,0.0000,0.0000,0.0000,8,3,0.3538,3,23,400,0.5,0.0255,0.0014,0.0001,0.0001,384320000,1000,8,0.4
8,0.0000,0.0000,0.0000,8,9,0.3507,1,3,100,0.5,0.0256,0.1801,0.0001,0.0002,800,600.0,4,0.4
2,0.0000,,0.0000,8,3,2.7875,3,23,400,0.25,,0.0030,,0.0000,384320000,10000,8,1
2,,,0.0000,2,3,2.3765,2,0,200,0.25,,0.1321,,,80000,10000,4,
4,,,0.0000,4,6,16.6124,2,6,200,0.75,,0.5344,,,80400,60300.0,4,
8,0.0000,,0.0000,8,4,1.9744,2,26,100,0.25,,0.0018,,0.0000,60200,10000,2,1
4,0.0001,0.0001,0.0000,8,2,29.6091,3,15,400,0.5,0.0591,0.0016,0.0002,0.0001,256480400,100000,4,0.1
8,0.0000,,0.0000,8,6,0.2311,3,1,100,0.25,,0.0038,,0.0001,1000700,1000,4,1
2,0.0000,,0.0000,8,9,3.3086,3,21,200,0.75,,0.0016,,0.0000,16080800,10000,4,1
8,0.0000,0.0001,0.0000,8,3,2.4506,2,26,400,0.75,0.0225,0.0012,0.0001,0.0001,1120400,10000,2,0.2
2,0.0001,,0.0002,4,5,0.1569,2,0,100,0.25,,0.0059,,0.0003,20200,1000,4,1
4,,,0.0000,8,3,0.2000,3,8,400,0.5,,0.0038,,,128640800,1000,2,
8,0.0000,0.0000,0.0000,4,8,22.2515,2,4,200,0.25,0.0321,0.0012,0.0002,0.0001,120200,90150.0,4,0.4
8,,,0.0000,4,9,0.1944,3,6,100,0.25,,0.0039,,,1010200,1000,4,
8,0.0000,0.0000,0.0000,8,1,0.5326,3,12,200,0.5,0.0299,0.0016,0.0001,0.0001,32080400,1000,4,0.1
4,0.0003,,0.0002,8,2,3.2111,3,8,100,0.5,,0.0085,,0.0002,3010400,10000,2,1
2,0.0000,,0.0000,8,0,0.2117,2,19,200,0.25,,0.0022,,0.0000,121000,1000,2,1
8,0.0000,,0.0000,4,6,2.9493,2,4,100,0.5,,0.0015,,0.0000,30100,10000,4,1
2,0.0000,0.0000,0.0000,2,0,2.3119,2,0,100,0.75,0.0223,0.0017,0.0002,0.0001,10100,7575.0,4,0.4
4,,,0.0000,8,8,0.1493,1,11,100,0.5,,0.0072,,,800,600.0,8,
2,0.0000,,0.0002,8,2,0.2624,2,16,400,0.25,,0.0116,,0.0001,801200,1000,4,1
2,0.0000,,0.0000,8,0,31.6108,3,21,400,0.5,,0.0014,,0.0000,256640000,100000,4,1
8,,,0.0000,8,5,0.1279,1,22,200,0.25,,0.0024,,,1600,1000,8,
8,0.0000,,0.0000,8,1,0.3560,3,1,400,0.5,,0.1351,,0.0002,128481200,1000,4,1
2,,,0.0000,4,9,18.2455,2,0,400,0.25,,0.0106,,,320800,100000,4,
4,0.0003,0.0000,0.0000,8,5,0.4915,1,9,200,0.75,0.0240,0.2431,0.0001,0.0004,1600,1200.0,4,0.3
2,0.0001,0.0000,0.0002,8,6,0.2263,2,19,400,0.5,0.0240,0.0075,0.0001,0.0005,801200,1000,2,0.7
2,,,0.0000,8,5,0.1889,3,23,100,0.25,,0.0025,,,3030200,1000,8,
2,0.0003,,0.0001,8,1,2.5413,2,27,100,0.25,,0.0034,,0.0004,50300,10000,2,1
8,,,0.0000,8,5,0.2049,1,8,400,0.5,,0.0035,,,3200,1000,8,
8,0.0000,0.0000,0.0000,4,6,3.6167,3,6,400,0.75,0.0288,0.0014,0.0002,0.0001,128160400,10000,4,0.2
2,0.0000,0.0000,0.0000,8,3,34.3198,3,23,100,0.75,0.0510,0.0080,0.0002,0.0001,6020000,100000,8,0.2
8,0.0000,,0.0000,8,9,2.7575,3,12,400,0.25,,0.0041,,0.0000,128640800,10000,4,1
4,,,0.0000,8,6,0.1367,1,9,100,0.25,,0.0062,,,800,600.0,2,
2,0.0000,0.0001,0.0000,2,4,2.9807,2,0,100,0.5,0.0223,0.0014,0.0002,0.0001,20000,10000,4,0.6
2,0.0000,,0.0000,8,3,0.2398,2,19,100,0.25,,0.0016,,0.0000,50300,1000,2,1
8,0.0001,,0.0000,8,5,0.2390,2,8,400,0.25,,0.0029,,0.0003,801200,1000,4,1
4,0.0000,,0.0000,8,3,0.2228,1,12,400,0.5,,0.0109,,0.0001,3200,1000,2,1
2,0.0000,0.0000,0.0002,8,9,3.2613,3,22,400,0.5,0.0236,0.0037,0.0003,0.0001,192480800,10000,2,0.4
2,0.0000,0.0000,0.0000,8,2,3.2331,3,28,100,0.5,0.0264,0.0026,0.0002,0.0003,3030200,10000,2,0.3
2,0.0000,0.0000,0.0000,8,0,2.7340,2,1,200,0.5,0.0194,0.0017,0.0002,0.0001,121000,10000,8,0.7
2,,,0.0000,8,7,31.0526,3,27,100,0.5,,0.0040,,,2030300,100000,4,
4,,,0.0000,4,7,0.1073,1,5,200,0.75,,0.0056,,,800,600.0,2,
2,0.0002,0.0000,0.0001,8,4,0.2370,3,3,200,0.25,0.0240,0.0061,0.0002,0.0006,16200200,1000,4,0.3
8,,,0.0000,8,0,0.2714,1,6,400,0.25,,0.0043,,,3200,2400.0,2,
2,,,0.0000,8,5,2.1372,2,16,100,0.5,,0.0255,,,40400,10000,4,
2,0.0000,0.0000,0.0000,8,2,2.9798,3,22,200,0.75,0.0308,0.0017,0.0002,0.0001,32040600,10000,2,0.8
4,0.0003,0.0000,0.0001,4,4,3.1792,2,6,200,0.75,0.0339,0.0056,0.0002,0.0008,120200,10000,4,0.1
8,,,0.0000,8,5,0.1427,1,6,100,0.75,,0.0033,,,800,600.0,2,
4,0.0001,0.0001,0.0000,8,4,0.3845,3,23,200,0.75,0.0194,0.0035,0.0002,0.0002,24080600,1000,2,0.68
8,0.0000,,0.0000,4,0,19.2443,2,4,200,0.5,,0.0024,,0.0000,120200,90150.0,4,1
2,0.0000,,0.0000,4,4,13.5852,2,0,200,0.5,,0.0011,,0.0000,80400,60300.0,4,1
8,,,0.0000,8,8,0.2028,3,12,400,0.5,,0.0024,,,256320800,1000,4,
4,0.0001,0.0000,0.0001,8,6,0.2345,3,15,200,0.25,0.0245,0.0087,0.0001,0.0003,24080600,1000,4,0.6
4,,,0.0000,8,7,1.8266,2,17,200,0.25,,0.0172,,,160800,10000,2,
4,0.0000,,0.0000,8,6,0.2014,3,23,200,0.25,,0.0021,,0.0000,48040200,1000,2,1
8,0.0000,,0.0000,8,2,0.1558,1,8,200,0.25,,0.0031,,0.0000,1600,1200.0,8,1
2,,,0.0000,8,4,0.0982,1,1,100,0.5,,0.0024,,,800,600.0,8,
2,0.0000,,0.0000,8,2,17.7566,2,19,200,0.25,,0.0011,,0.0000,200600,100000,2,1
8,,,0.0000,8,0,2.0999,2,9,200,0.75,,0.0240,,,81200,10000,4,
2,0.0000,0.0000,0.0000,8,5,24.4681,3,22,400,0.5,0.0379,0.0013,0.0004,0.0001,64481600,100000,2,0.6
4,,,0.0000,8,8,0.3262,3,15,100,0.75,,0.0040,,,4020200,1000,8,
4,,,0.0000,4,2,0.3024,3,1,100,0.25,,0.0053,,,3010000,1000,8,
2,0.0000,,0.0001,8,1,0.3513,3,3,400,0.75,,0.0040,,0.0000,320320400,1000,4,1
2,,,0.0000,8,0,0.1745,1,1,400,0.25,,0.0060,,,3200,1000,8,
4,0.0000,0.0000,0.0000,8,3,30.9395,3,23,100,0.75,0.0426,0.0014,0.0002,0.0001,2030300,100000,2,0.9
8,0.0000,,0.0000,8,5,2.9177,3,12,100,0.5,,0.0026,,0.0000,4010300,10000,4,1
4,0.0000,,0.0000,8,8,0.2519,3,8,200,0.25,,0.0017,,0.0000,24080600,1000,2,1
2,0.0721,0.0003,0.0000,8,0,60.3074,1,5,400,0.5,59.3299,0.2964,0.0064,0.1001,3200,1000,4,0.81
4,,,0.0001,8,0,28.4789,3,17,100,0.25,,0.1059,,,5020100,100000,8,
8,0.0000,,0.0000,4,4,32.4929,3,6,200,0.25,,0.0016,,0.0000,24000200,100000,4,1
2,0.0001,0.0000,0.0000,8,2,0.3921,1,5,200,0.75,0.0295,0.0055,0.0004,0.0006,1600,1000,8,0.9048
8,,,0.0000,8,4,31.2435,3,1,400,0.5,,0.1820,,,192480800,100000,4,
4,0.0000,,0.0001,8,2,22.0565,3,17,100,0.25,,0.0095,,0.0000,1060100,100000,8,1
2,0.0000,,0.0000,8,0,11.4501,2,27,100,0.75,,0.0015,,0.0000,50300,37725.0,2,1
8,0.0000,0.0001,0.0000,4,6,0.3392,2,4,200,0.75,0.0182,0.0013,0.0001,0.0001,120200,1000,4,0.7
4,0.0000,,0.0000,8,6,0.4434,3,15,400,0.25,,0.0018,,0.0000,192321200,1000,4,1
8,,,0.0000,8,0,0.2263,1,3,400,0.5,,0.0059,,,3200,1000,4,729.
2,,,0.0000,4,7,0.1363,1,5,200,0.5,,0.0034,,,800,600.0,4,
8,0.0000,,0.0000,8,0,32.5350,3,12,400,0.5,,0.0016,,0.0001,192480800,100000,4,1
2,0.0000,,0.0000,8,0,0.2104,3,27,100,0.5,,0.0011,,0.0000,5020100,1000,4,1
8,0.0000,0.0000,0.0000,8,1,20.9993,2,4,400,0.25,0.0315,0.0012,0.0002,0.0001,641600,100000,8,0.9
