[1];[1];1;0;1;1;2
[1];[1];1;0;1;2;5
[1];[1];1;0;1;3;9
[1];[1];1;0;1;4;14
[1];[1];1;0;1;5;20
[1];[1];1;0;1;6;27
[1];[1];1;0;2;1;3
[1];[1];1;0;2;2;9
[1];[1];1;0;2;3;19
[1];[1];1;0;2;4;34
[1];[1];1;0;2;5;55
[1];[1];1;0;2;6;83
[1];[1];1;0;3;1;6
[1];[1];1;0;3;2;27
[1];[1];1;0;3;3;83
[1];[1];1;0;3;4;209
[1];[1];1;0;3;5;461
[1];[1];1;0;3;6;923
[1];[1];1;0;4;1;15
[1];[1];1;0;4;2;135
[1];[1];1;0;4;3;815
[1];[1];1;0;4;4;3875
[1];[1];1;0;4;5;15503
[1];[1];1;0;4;6;54263
[1];[1];1;1;1;1;6
[1];[1];1;1;1;2;30
[1];[1];1;1;1;3;110
[1];[1];1;1;1;4;350
[1];[1];1;1;1;5;1022
[1];[1];1;1;1;6;2814
[1];[1];1;1;2;1;10
[1];[1];1;1;2;2;70
[1];[1];1;1;2;3;350
[1];[1];1;1;2;4;1470
[1];[1];1;1;2;5;5502
[1];[1];1;1;2;6;18942
[1];[1];1;1;3;1;30
[1];[1];1;1;3;2;510
[1];[1];1;1;3;3;5950
[1];[1];1;1;3;4;54910
[1];[1];1;1;4;1;114
[1];[1];1;1;4;2;6726
[1];[1];1;2;1;1;12
[1];[1];1;2;1;2;102
[1];[1];1;2;1;3;642
[1];[1];1;2;1;4;3477
[1];[1];1;2;1;5;17085
[1];[1];1;2;1;6;78321
[1];[1];1;2;2;1;21
[1];[1];1;2;2;2;273
[1];[1];1;2;2;3;2541
[1];[1];1;2;2;4;19551
[1];[1];1;2;3;1;84
[1];[1];1;2;3;2;3738
[1];[1];1;2;4;1;417
[1];[1];1;2;4;2;87987
[1];[1];1;3;1;1;20
[1];[1];1;3;1;2;260
[1];[1];1;3;1;3;2500
[1];[1];1;3;1;4;20420
[1];[1];1;3;2;1;36
[1];[1];1;3;2;2;756
[1];[1];1;3;2;3;11316
[1];[1];1;3;3;1;180
[1];[1];1;3;3;2;16740
[1];[1];1;3;4;1;1092
[1];[1];2;0;1;1;3
[1];[1];2;0;1;2;9
[1];[1];2;0;1;3;19
[1];[1];2;0;1;4;34
[1];[1];2;0;1;5;55
[1];[1];2;0;1;6;83
[1];[1];2;0;2;1;5
[1];[1];2;0;2;2;20
[1];[1];2;0;2;3;55
[1];[1];2;0;2;4;125
[1];[1];2;0;2;5;251
[1];[1];2;0;2;6;461
[1];[1];2;0;3;1;15
[1];[1];2;0;3;2;135
[1];[1];2;0;3;3;815
[1];[1];2;0;3;4;3875
[1];[1];2;0;3;5;15503
[1];[1];2;0;3;6;54263
[1];[1];2;0;4;1;57
[1];[1];2;0;4;2;1710
[1];[1];2;0;4;3;34219
[1];[1];2;1;1;1;8
[1];[1];2;1;1;2;48
[1];[1];2;1;1;3;208
[1];[1];2;1;1;4;768
[1];[1];2;1;1;5;2560
[1];[1];2;1;1;6;7936
[1];[1];2;1;2;1;14
[1];[1];2;1;2;2;126
[1];[1];2;1;2;3;798
[1];[1];2;1;2;4;4158
[1];[1];2;1;2;5;18942
[1];[1];2;1;2;6;78078
[1];[1];2;1;3;1;56
[1];[1];2;1;3;2;1680
[1];[1];2;1;3;3;34160
[1];[1];2;1;4;1;278
[1];[1];2;1;4;2;39198
[1];[1];2;2;1;1;15
[1];[1];2;2;1;2;150
[1];[1];2;2;1;3;1095
[1];[1];2;2;1;4;6765
[1];[1];2;2;1;5;37383
[1];[1];2;2;2;1;27
[1];[1];2;2;2;2;432
[1];[1];2;2;2;3;4887
[1];[1];2;2;2;4;44982
[1];[1];2;2;3;1;135
[1];[1];2;2;3;2;9450
[1];[1];2;2;4;1;819
[1];[1];2;3;1;1;24
[1];[1];2;3;1;2;360
[1];[1];2;3;1;3;3944
[1];[1];2;3;1;4;36200
[1];[1];2;3;2;1;44
[1];[1];2;3;2;2;1100
