maximum.number.of.nodes,number.of.variables,Grounding,maximum.arity,universe.size,instance,DSharp compilation,Total time,proportion.probabilistic,answer,number.of.facts,number.of.independent.pairs,Propagating evidence,Cycle breaking,Clark's completion,number.of.predicates,domain.size
2,4,0.0027,2,40200,5,0.0004,0.1942,0.25,1,1000,0,0.0000,0.0000,0.0000,2,200
4,8,0.0015,3,48000400,2,0.0005,3.0134,0.5,1,10000,15,0.0000,0.0000,0.0000,8,200
4,2,0.0027,1,800,2,0.0013,0.1135,0.5,1,600.0,12,0.0000,0.0001,0.0001,8,100
2,8,0.0022,2,200600,2,0.0008,5.2294,0.5,0.1,10000,1,0.0000,0.0001,0.0000,8,200
4,2,0.0020,3,1010000,8,0.0003,20.2221,0.25,1,100000,1,0.0000,0.0000,0.0000,2,100
2,8,0.0011,3,320480000,2,0.0004,1.9149,0.25,0.6,10000,23,0.0000,0.0001,0.0000,8,400
8,2,0.0022,1,1600,2,0.0006,0.0738,0.25,1,1000,6,0.0000,0.0000,0.0000,8,200
2,2,0.0026,3,4030100,9,0.0007,28.1851,0.5,1,100000,28,0.0000,0.0001,0.0000,8,100
2,8,0.0039,1,1600,4,,0.1668,0.5,,1200.0,1,0.0000,,,8,200
4,2,0.0032,1,400,5,0.0006,0.0482,0.5,0.7,300.0,5,0.0000,0.0001,0.0000,4,100
2,2,0.0020,3,16080800,6,0.0006,2.6509,0.5,1,10000,22,0.0000,0.0000,0.0000,8,200
8,2,0.4331,1,1600,3,0.0135,0.6127,0.75,0.51800224,1000,6,0.0000,0.0010,0.0001,8,200
8,8,0.0215,2,40400,1,,2.5683,0.5,,10000,4,0.0000,,,8,100
8,8,0.0066,2,80000,8,,0.2326,0.75,,1000,4,0.0000,,,8,100
2,4,0.0015,2,200600,0,0.0004,25.5536,0.75,0.7,100000,16,0.0000,0.0001,0.0000,8,200
2,4,0.0030,2,320000,4,0.0004,24.2740,0.5,1,100000,0,0.0000,0.0000,0.0000,2,400
4,2,0.0025,1,800,4,,0.1014,0.75,,600.0,9,0.0000,,,8,100
4,2,0.0024,3,24080600,4,0.0006,25.8898,0.25,1,100000,23,0.0000,0.0001,0.0001,8,200
8,4,0.0014,3,3020300,7,0.0004,0.1805,0.25,1,1000,1,0.0000,0.0000,0.0000,8,100
2,4,0.0041,2,200600,6,,0.1799,0.75,,1000,16,0.0000,,,8,200
2,4,0.0903,2,160000,0,,21.3379,0.25,,100000,0,0.0000,,,4,200
