maximum.number.of.nodes,number.of.variables,Grounding,maximum.arity,universe.size,instance,DSharp compilation,Total time,proportion.probabilistic,answer,number.of.facts,number.of.independent.pairs,Propagating evidence,Cycle breaking,Clark's completion,number.of.predicates,domain.size
2,4,0.0017,3,3030200,4,0.0005,21.0937,0.25,1,100000,21,0.0000,0.0000,0.0000,8,100
4,2,0.0025,3,2030300,3,0.0004,0.2486,0.5,1,1000,23,0.0000,0.0000,0.0000,8,100
8,8,0.0048,1,3200,1,,0.2068,0.75,518.,2400.0,20,0.0000,,,8,400
4,2,0.0017,3,64000400,7,0.0004,28.8681,0.75,1,100000,1,0.0000,0.0000,0.0000,2,400
8,8,0.0074,2,482000,8,,0.2418,0.75,,1000,20,0.0001,,,8,400
2,2,0.0012,2,200600,0,0.0005,0.2565,0.75,0.7,1000,27,0.0000,0.0001,0.0000,8,200
2,2,0.0015,2,801200,1,0.0005,1.7229,0.25,1,10000,27,0.0000,0.0000,0.0000,8,400
8,4,0.0024,2,480400,6,0.0007,23.3367,0.25,1,100000,4,0.0000,0.0001,0.0000,4,400
4,4,0.0076,1,3200,9,,0.2924,0.25,,2400.0,9,0.0000,,,8,400
8,8,0.0033,1,1600,5,0.0004,0.1762,0.5,1,1000,20,0.0000,0.0000,0.0000,8,200
4,2,0.0012,3,64160000,1,0.0004,3.2909,0.75,1,10000,1,0.0000,0.0000,0.0001,2,400
4,4,0.0041,1,800,0,,0.1174,0.75,,600.0,9,0.0000,,,8,100
4,8,0.0057,1,3200,8,,0.1759,0.75,,1000,11,0.0000,,,8,400
8,4,0.0104,1,800,8,,0.1683,0.25,,600.0,10,0.0000,,,8,100
8,8,0.0057,1,1600,7,,0.2664,0.5,,1000,20,0.0001,,,8,200
8,4,0.0037,1,1600,1,,0.2126,0.25,,1000,3,0.0000,,,8,200
4,8,0.0020,3,192321200,1,0.0007,20.8364,0.5,1,100000,15,0.0000,0.0000,0.0000,8,400
8,4,0.0014,1,1600,0,0.0004,0.0718,0.25,1,1200.0,10,0.0000,0.0000,0.0000,8,200
2,4,0.0014,3,4010300,2,0.0004,24.6986,0.25,1,100000,21,0.0000,0.0000,0.0000,8,100
8,8,0.0037,1,3200,9,,0.1522,0.25,,2400.0,8,0.0000,,,8,400
8,4,0.0102,2,121000,2,,1.1104,0.75,,10000,8,0.0000,,,8,200
4,2,0.0027,3,3020300,3,0.0003,19.1499,0.25,1,100000,15,0.0000,0.0000,0.0000,8,100
4,4,0.0013,3,128321600,9,0.0004,2.8039,0.5,1,10000,15,0.0000,0.0000,0.0000,8,400
4,2,0.0158,3,4010300,4,0.0007,2.9438,0.25,1,10000,15,0.0000,0.0001,0.0000,8,100
8,4,0.0010,3,24120400,4,0.0004,20.4734,0.25,1,100000,1,0.0000,0.0000,0.0000,8,200
2,4,0.0033,2,1120400,8,,0.0992,0.25,,1000,16,0.0000,,,8,400
4,2,0.0008,3,192161600,9,0.0003,2.9781,0.75,0.7,10000,23,0.0000,0.0000,0.0000,8,400
4,2,0.0046,3,1010000,6,0.0007,29.6296,0.75,1,100000,1,0.0000,0.0001,0.0000,2,100
2,8,0.0026,2,1120400,8,,0.0957,0.25,,1000,12,0.0000,,,8,400
4,2,0.0009,3,64160000,6,0.0004,0.1175,0.5,0.5,1000,1,0.0000,0.0001,0.0000,2,400
2,4,0.0016,3,3020300,3,0.0007,1.8787,0.5,0.1,10000,21,0.0000,0.0001,0.0000,8,100
4,2,0.0023,3,4010300,8,0.0004,0.1986,0.25,1,1000,15,0.0000,0.0000,0.0000,8,100
4,2,0.0016,3,6010100,6,0.0006,0.2993,0.75,0.4,1000,23,0.0000,0.0001,0.0000,8,100
2,2,0.0017,3,6020000,6,0.0005,25.8928,0.25,0.5,100000,28,0.0000,0.0001,0.0000,8,100
8,4,0.0014,2,200600,9,0.0006,0.2360,0.75,0.9,1000,9,0.0000,0.0001,0.0000,8,200
4,4,0.0028,3,1010200,0,0.0005,26.8650,0.25,1,100000,1,0.0000,0.0000,0.0000,4,100
8,8,0.0014,1,1600,8,0.0004,0.0929,0.25,1,1200.0,20,0.0000,0.0000,0.0000,8,200
8,4,0.0010,2,160000,3,0.0004,0.1397,0.5,1,1000,4,0.0000,0.0000,0.0000,4,200
8,8,0.0038,1,3200,4,,0.1965,0.5,,1000,20,0.0000,,,8,400
4,2,0.0031,1,3200,8,0.0004,0.1314,0.5,1,1000,12,0.0000,0.0000,0.0000,8,400
2,8,0.0049,3,32040600,8,,0.2203,0.75,,1000,23,0.0000,,,8,200
4,4,0.0016,3,3010400,8,0.0004,28.4919,0.5,1,100000,15,0.0000,0.0000,0.0000,8,100
4,2,0.0071,1,800,5,,0.1656,0.75,,600.0,9,0.0000,,,8,100
2,4,0.0021,3,4010300,7,0.0005,0.2006,0.5,0.1,1000,21,0.0000,0.0002,0.0000,8,100
2,8,0.0015,2,41400,5,0.0005,2.9649,0.75,0.8,10000,1,0.0000,0.0001,0.0000,8,200
4,2,0.0015,3,8040000,8,0.0006,1.6420,0.5,0.5,10000,1,0.0000,0.0002,0.0000,2,200
8,8,0.0041,1,800,5,,0.0948,0.5,,600.0,20,0.0000,,,8,100
4,8,0.0010,3,24040800,9,0.0004,1.6659,0.75,0.6,10000,17,0.0000,0.0001,0.0000,8,200
2,8,0.0009,3,32080400,9,0.0003,33.1349,0.75,0.1,100000,23,0.0000,0.0001,0.0000,8,200
2,4,0.0016,3,32160000,0,0.0005,0.3740,0.75,0.7,1000,21,0.0000,0.0001,0.0000,8,200
4,2,0.0021,2,482000,6,0.0007,2.7284,0.25,1,10000,17,0.0000,0.0000,0.0000,8,400
8,4,0.0009,3,3000100,2,0.0003,0.1139,0.5,1,1000,6,0.0000,0.0000,0.0000,4,100
2,4,0.0012,2,80400,4,0.0004,1.7136,0.75,0.8,10000,0,0.0000,0.0001,0.0000,4,200
4,2,0.0010,2,121000,4,0.0004,2.0688,0.75,0.9,10000,17,0.0000,0.0001,0.0000,8,200
4,2,0.0021,1,800,7,,0.0581,0.75,,600.0,12,0.0000,,,8,100
4,4,0.0013,3,2020000,2,0.0005,0.1564,0.25,0.1,1000,1,0.0000,0.0001,0.0000,4,100
8,4,0.0010,2,50300,5,0.0003,0.9151,0.25,1,10000,8,0.0000,0.0000,0.0000,8,100
4,8,0.0121,3,32080400,8,,2.2452,0.75,,10000,15,0.0000,,,8,200
8,8,0.0015,2,960800,6,0.0006,16.5643,0.75,0.6,100000,20,0.0000,0.0001,0.0000,8,400
2,4,0.0017,3,16041000,5,0.0004,23.9084,0.75,0.2,100000,21,0.0000,0.0001,0.0000,8,200
2,2,0.0015,3,192480800,0,0.0004,3.0744,0.75,0.7,10000,28,0.0000,0.0001,0.0000,8,400
8,8,0.0032,2,40400,0,,0.1645,0.25,,1000,4,0.0000,,,8,100
8,4,0.0023,2,160000,3,0.0005,2.9891,0.75,0.2,10000,4,0.0000,0.0002,0.0000,4,200
8,8,0.0021,2,60200,9,,2.6185,0.75,,10000,4,0.0000,,,8,100
4,8,0.0008,3,3030200,5,0.0003,1.1612,0.5,1,10000,17,0.0000,0.0000,0.0000,8,100
8,4,0.0039,1,3200,3,,0.0804,0.5,218.,1000,3,0.0000,,,8,400
8,4,0.1558,2,960800,1,,0.3402,0.75,,1000,9,0.0000,,,8,400
8,8,0.0017,2,121000,6,0.0003,1.7808,0.75,1,10000,4,0.0000,0.0000,0.0000,8,200
2,4,0.0013,2,50300,6,0.0004,0.1602,0.25,1,1000,16,0.0000,0.0000,0.0000,8,100
2,4,0.0087,2,20200,3,,0.2966,0.25,,1000,0,0.0000,,,4,100
2,4,0.0091,1,1600,0,,0.4273,0.25,,1200.0,5,0.0001,,,4,400
4,2,0.0023,3,1040300,7,0.0004,2.1996,0.25,1,10000,15,0.0000,0.0000,0.0000,8,100
2,4,0.0009,2,20000,4,0.0004,3.1536,0.75,0.5,15000.0,0,0.0000,0.0001,0.0000,2,100
2,8,0.0041,1,3200,1,,0.1783,0.5,,2400.0,5,0.0000,,,8,400
2,8,0.0014,3,192321200,7,0.0004,21.2310,0.75,0.5,100000,23,0.0000,0.0001,0.0000,8,400
2,4,0.0024,2,20000,1,0.0005,0.3151,0.75,1,1000,0,0.0000,0.0000,0.0000,2,100
2,4,0.0015,2,320000,1,0.0005,2.2616,0.75,1,10000,0,0.0000,0.0000,0.0000,2,400
2,4,0.0039,1,1600,2,,0.2139,0.75,,1200.0,5,0.0000,,,4,400
8,2,0.0009,2,960800,8,0.0004,0.1539,0.75,0.4,1000,26,0.0000,0.0000,0.0000,8,400
4,4,0.0018,3,8080200,8,0.0006,0.2428,0.75,0.3,1000,1,0.0000,0.0001,0.0000,4,200
2,2,0.0046,2,240400,6,0.0007,1.5509,0.25,1,10000,27,0.0000,0.0001,0.0000,8,200
8,2,0.6613,1,1600,9,0.2582,1.8983,0.75,1,1000,6,0.0001,0.1431,0.1002,8,200
2,4,0.0013,2,160400,6,0.0004,0.1522,0.25,1,1000,0,0.0001,0.0000,0.0000,2,400
8,8,0.0011,2,482000,7,0.0005,2.6572,0.5,0.1,10000,20,0.0000,0.0001,0.0000,8,400
2,4,0.3625,1,1600,7,0.0004,0.5648,0.75,1,1200.0,5,0.0000,0.0004,0.0000,8,200
8,4,0.0014,3,24200000,5,0.0004,0.2251,0.5,1,1000,1,0.0000,0.0000,0.0000,8,200
2,4,0.1690,2,20000,4,0.0006,0.4754,0.25,1,1000,0,0.0000,0.0002,0.0000,2,100
2,2,0.0019,3,192480800,9,0.0006,0.3735,0.75,1,1000,22,0.0000,0.0000,0.0000,8,400
2,8,0.0085,2,641600,5,,0.1904,0.75,,1000,12,0.0000,,,8,400
8,8,0.0021,2,641600,2,0.0007,25.1870,0.75,1,100000,20,0.0000,0.0000,0.0000,8,400
8,8,0.0052,2,1280000,8,,0.1840,0.25,,1000,4,0.0000,,,8,400
8,4,0.0055,3,2040200,9,0.0007,2.6685,0.5,1,10000,12,0.0000,0.0001,0.0000,8,100
4,4,0.0038,2,320800,2,,0.1684,0.5,,1000,6,0.0000,,,4,400
8,8,0.0023,1,200,8,0.0005,0.0249,0.25,1,150.0,1,0.0000,0.0000,0.0000,2,100
8,4,0.0013,3,16080000,0,0.0004,2.8568,0.25,0.3,10000,6,0.0000,0.0001,0.0000,4,200
4,2,0.0014,3,8040000,0,0.0004,0.2374,0.75,1,1000,1,0.0000,0.0001,0.0000,2,200
4,2,0.0041,2,160800,7,,0.1795,0.25,,1000,17,0.0000,,,8,200
8,8,0.0040,1,800,8,0.0009,0.1727,0.5,0.1,600.0,8,0.0000,0.0004,0.0001,8,100
8,8,0.0045,2,200600,3,,2.1959,0.25,,10000,20,0.0000,,,8,200
8,4,0.0012,3,256320800,0,0.0005,0.2311,0.75,0.7,1000,1,0.0000,0.0001,0.0000,8,400
4,8,0.0010,3,192321200,1,0.0003,2.8276,0.75,0.2,10000,15,0.0001,0.0001,0.0000,8,400
8,4,0.0014,3,256640000,4,0.0005,21.9441,0.25,0.9,100000,12,0.0000,0.0001,0.0000,8,400
4,8,0.0013,3,2010100,8,0.0004,2.9161,0.25,1,10000,1,0.0000,0.0000,0.0000,4,100
2,8,0.0015,1,3200,3,0.0003,0.0819,0.25,1,1000,1,0.0000,0.0000,0.0000,8,400
8,2,0.0014,2,60200,8,0.0005,0.1059,0.5,0.8,1000,26,0.0000,0.0001,0.0000,8,100
4,4,0.0009,2,20200,1,0.0003,2.4707,0.5,0.5,15150.0,6,0.0000,0.0001,0.0000,4,100
8,4,0.0008,3,128481200,3,0.0004,1.2050,0.5,1,10000,1,0.0000,0.0000,0.0000,8,400
2,4,0.0096,3,4020200,1,0.0008,1.4139,0.25,0.1,10000,21,0.0003,0.0023,0.0001,8,100
2,2,0.0011,3,192480800,0,0.0004,18.6163,0.75,0.5,100000,28,0.0000,0.0001,0.0000,8,400
8,8,0.0042,1,1600,2,,0.1066,0.75,,1200.0,8,0.0000,,,8,200
2,8,0.0043,1,1600,5,,0.1372,0.5,,1200.0,1,0.0000,,,8,200
2,8,0.0028,1,800,7,,0.0471,0.25,,600.0,5,0.0000,,,8,100
8,4,0.1221,2,482000,9,0.0006,0.2825,0.5,1,1000,8,0.0000,0.0001,0.0000,8,400
8,8,0.0008,2,641600,0,0.0003,1.3334,0.5,1,10000,4,0.0000,0.0000,0.0000,8,400
8,4,0.0021,2,30500,9,0.0008,1.9424,0.75,0.2,10000,8,0.0000,0.0001,0.0000,8,100
8,4,0.0012,3,64320400,7,0.0004,1.9913,0.25,1,10000,6,0.0000,0.0000,0.0000,4,400
8,4,0.0013,3,192000400,5,0.0004,3.1571,0.5,0.9,10000,6,0.0000,0.0001,0.0000,4,400
8,4,0.0017,3,3030200,7,0.0006,3.0735,0.75,0.2,10000,12,0.0000,0.0001,0.0000,8,100
8,2,0.0021,1,3200,2,0.0004,0.3356,0.5,0.3,2400.0,6,0.0000,0.0002,0.0000,8,400
2,4,0.0053,1,800,2,,0.0918,0.5,,600.0,5,0.0000,,,4,200
2,2,0.0014,3,24120400,9,0.0005,0.1770,0.25,0.6,1000,22,0.0000,0.0001,0.0000,8,200
4,2,0.0011,2,641600,9,0.0004,2.3432,0.25,1,10000,17,0.0000,0.0000,0.0000,8,400
8,4,0.0011,2,801200,0,0.0004,0.1667,0.5,1,1000,8,0.0000,0.0000,0.0000,8,400
2,8,0.0016,2,41400,5,0.0005,7.7322,0.75,0.9,31050.0,1,0.0000,0.0001,0.0000,8,200
2,2,0.0036,2,200600,1,0.0006,2.6816,0.5,0.6,10000,27,0.0000,0.0003,0.0001,8,200
8,4,0.0051,1,1600,7,0.0006,0.1903,0.75,1,1200.0,10,0.0000,0.0000,0.0000,8,200
2,2,0.0022,3,192480800,2,0.0008,2.6533,0.75,0.2,10000,28,0.0000,0.0001,0.0000,8,400
4,2,59.8454,1,1600,7,,60.0003,0.25,,1200.0,9,0.0000,,,8,200
4,2,0.0015,2,641600,1,0.0006,1.7892,0.5,0.1,10000,17,0.0000,0.0001,0.0000,8,400
8,4,0.0039,1,1600,7,0.0009,0.3383,0.75,0.6,1200.0,3,0.0000,0.0004,0.0001,8,200
2,2,0.0015,3,40080200,7,0.0004,28.9344,0.5,0.5,100000,28,0.0000,0.0001,0.0000,8,200
4,4,0.0028,3,384160400,1,0.0007,22.9450,0.25,1,100000,15,0.0000,0.0001,0.0000,8,400
4,2,0.0021,2,50300,0,0.0009,2.2757,0.75,0.4,10000,17,0.0000,0.0001,0.0001,8,100
2,4,0.0013,2,480400,8,0.0005,2.3148,0.75,0.6,10000,0,0.0001,0.0001,0.0000,4,400
2,2,0.0046,3,64481600,5,,0.2742,0.25,,1000,22,0.0000,,,8,400
4,2,0.0012,3,2030300,0,0.0005,2.4032,0.5,0.8,10000,8,0.0000,0.0001,0.0000,8,100
2,4,0.0049,3,16041000,5,,0.2964,0.75,,1000,21,0.0000,,,8,200
8,4,0.0072,2,40400,2,,0.3145,0.5,,1000,9,0.0000,,,8,100
4,4,0.0020,1,1600,5,0.0004,0.1513,0.25,1,1000,9,0.0000,0.0000,0.0000,8,200
2,8,0.0042,1,3200,3,,0.1266,0.25,,1000,5,0.0000,,,8,400
2,8,0.0031,1,1600,6,0.0005,0.1462,0.5,0.2,1000,5,0.0000,0.0003,0.0000,8,200
8,8,0.0578,2,60200,3,,6.7862,0.25,,45150.0,4,0.0000,,,8,100
4,4,0.0008,3,24080600,6,0.0003,1.8078,0.5,1,10000,15,0.0000,0.0000,0.0000,8,200
2,8,0.0094,3,5030000,2,0.0012,30.3471,0.5,1,100000,23,0.0000,0.0001,0.0003,8,100
4,8,0.0038,3,320320400,0,,0.2124,0.25,,1000,17,0.0000,,,8,400
4,4,0.0019,3,3040100,0,0.0008,1.9785,0.5,0.3,10000,15,0.0000,0.0002,0.0001,8,100
2,4,0.0029,3,4020200,1,0.0009,3.2501,0.75,0.1,10000,21,0.0000,0.0002,0.0001,8,100
4,4,0.0015,3,3030200,4,0.0004,3.3568,0.75,0.8,10000,15,0.0000,0.0001,0.0000,8,100
8,8,0.0289,1,1600,8,,0.3392,0.5,,1200.0,8,0.0000,,,8,200
8,8,0.0199,1,3200,4,,0.2906,0.75,,1000,8,0.0002,,,8,400
4,2,0.0038,3,8040000,6,0.0004,0.3243,0.75,0.1,1000,1,0.0000,0.0001,0.0000,2,200
4,2,0.0085,1,800,6,0.0006,0.1602,0.5,0.5,600.0,5,0.0000,0.0003,0.0000,4,200
2,2,0.0015,3,24080600,1,0.0004,3.1412,0.25,1,10000,28,0.0000,0.0000,0.0000,8,200
8,2,0.0016,2,50300,2,0.0006,13.8405,0.75,1,37725.0,26,0.0000,0.0000,0.0000,8,100
8,4,0.0020,3,256320800,6,0.0006,3.9986,0.5,0.4,10000,12,0.0000,0.0001,0.0000,8,400
4,8,0.2474,3,2030300,6,0.1545,0.8320,0.25,1,1000,17,0.0000,0.0492,0.0369,8,100
2,4,0.0026,3,320320400,1,0.0006,4.6443,0.75,0.3,10000,3,0.0000,0.0041,0.0001,8,400
4,8,0.0108,1,3200,5,,0.6868,0.25,,2400.0,11,0.0000,,,8,400
2,8,0.0049,2,30500,9,0.0006,10.5354,0.75,0.4,22875.0,12,0.0000,0.0001,0.0000,8,100
4,2,0.0026,1,1600,2,,0.1963,0.75,,1200.0,5,0.0000,,,4,400
2,2,0.0011,3,32120200,9,0.0004,0.1830,0.25,1,1000,28,0.0000,0.0000,0.0000,8,200
8,4,0.8102,1,3200,7,0.0004,1.1657,0.25,1,2400.0,3,0.0000,0.0004,0.0000,8,400
2,4,0.0042,3,32080400,8,0.0007,39.6942,0.75,0.2,100000,3,0.0000,0.0001,0.0000,8,200
4,8,0.0012,3,8240200,2,0.0004,30.8274,0.25,1,100000,17,0.0000,0.0000,0.0000,8,200
2,8,0.0014,2,30500,0,0.0005,2.8180,0.5,1,10000,12,0.0000,0.0000,0.0000,8,100
2,2,0.0015,3,256480400,9,0.0006,3.8630,0.75,0.1,10000,28,0.0000,0.0001,0.0000,8,400
4,4,0.0093,1,3200,0,,0.2560,0.75,,1000,9,0.0001,,,8,400
8,4,0.0011,2,320800,2,0.0004,3.0089,0.75,0.5,10000,4,0.0000,0.0001,0.0000,4,400
4,8,0.0800,3,64960400,2,,37.4885,0.75,,100000,17,0.0000,,,8,400
2,8,0.0085,1,3200,9,,0.5861,0.5,,2400.0,1,0.0000,,,8,400
2,8,0.0062,2,1120400,8,0.0006,32.8110,0.5,0.7,100000,12,0.0000,0.0001,0.0000,8,400
8,4,0.0024,2,200600,3,0.0008,2.9347,0.5,0.3,10000,8,0.0000,0.0001,0.0001,8,200
8,4,0.0010,2,240400,4,0.0004,24.2965,0.5,0.3,100000,8,0.0000,0.0001,0.0000,8,200
4,4,0.0015,3,24040800,3,0.0006,2.5640,0.75,0.4,10000,15,0.0000,0.0001,0.0000,8,200
2,8,0.0020,2,240400,7,0.0004,0.2036,0.5,0.9,1000,12,0.0000,0.0001,0.0000,8,200
4,2,0.0034,1,1600,7,,0.1996,0.75,,1200.0,5,0.0000,,,4,400
2,4,0.4748,2,160800,5,,31.8693,0.75,,100000,16,0.0000,,,8,200
2,4,0.0487,3,1030400,4,,36.9573,0.75,,100000,27,0.0000,,,8,100
8,4,0.0042,3,128640800,9,0.0004,0.1907,0.25,1,1000,12,0.0000,0.0001,0.0000,8,400
8,8,0.0018,2,322400,9,0.0005,0.2069,0.75,0.5,1000,20,0.0000,0.0002,0.0000,8,400
8,8,0.0048,1,3200,6,,0.5609,0.75,,2400.0,15,0.0000,,,8,400
4,2,0.0055,3,192161600,2,0.0006,0.3658,0.75,1,1000,8,0.0000,0.0001,0.0000,8,400
2,4,0.0034,3,32040600,7,0.0008,2.8103,0.25,1,10000,21,0.0001,0.0001,0.0000,8,200
4,2,0.0041,1,1600,3,,0.2539,0.75,,1000,5,0.0000,,,4,400
4,8,0.0041,3,3020300,7,,0.2903,0.25,,1000,17,0.0000,,,8,100
8,8,0.0042,1,800,9,,0.1361,0.5,,600.0,8,0.0000,,,8,100
2,2,0.0014,2,801200,7,0.0005,0.2676,0.5,1,1000,19,0.0000,0.0000,0.0000,8,400
2,8,0.0197,1,3200,7,,0.3061,0.75,,1000,5,0.0000,,,8,400
8,8,0.0128,1,800,0,,0.0953,0.25,,600.0,22,0.0000,,,8,100
8,8,0.0019,1,3200,2,0.0004,0.1923,0.75,0.2,1000,15,0.0000,0.0002,0.0000,8,400
4,2,0.0015,3,64160000,6,0.0010,2.5002,0.75,0.8,10000,1,0.0000,0.0002,0.0001,2,400
2,2,0.0018,3,3030200,4,0.0005,29.8366,0.25,1,100000,22,0.0000,0.0000,0.0000,8,100
8,4,0.0593,3,1010200,9,,3.6286,0.75,,10000,6,0.0000,,,4,100
4,2,0.0078,3,2000000,2,0.0005,31.8838,0.5,1,100000,1,0.0000,0.0001,0.0000,2,100
8,4,0.0041,3,4010300,5,0.0005,2.9900,0.25,1,10000,12,0.0000,0.0000,0.0000,8,100
2,4,0.0053,2,20200,9,,2.3302,0.25,,10000,0,0.0001,,,4,100
8,8,0.0052,1,1600,9,,0.1983,0.75,,1200.0,8,0.0000,,,8,200
8,8,0.0041,2,160800,0,,0.1975,0.5,,1000,20,0.0000,,,8,200
8,4,0.0020,3,1020100,7,0.0006,30.3004,0.25,1,100000,6,0.0000,0.0000,0.0000,4,100
4,4,1.0861,2,320800,6,,24.3744,0.25,,100000,6,0.0000,,,4,400
4,2,0.0120,2,641600,9,0.0006,0.2653,0.75,1,1000,17,0.0001,0.0000,0.0000,8,400
2,8,0.0028,3,192002000,0,,0.2511,0.75,,1000,23,0.0000,,,8,400
2,4,0.0045,2,80400,3,,0.2878,0.5,,1000,0,0.0000,,,4,200
2,8,0.0012,3,3020300,7,0.0004,0.2406,0.25,1,1000,23,0.0000,0.0000,0.0000,8,100
4,2,0.0011,3,24080600,1,0.0004,28.5930,0.5,0.2,100000,23,0.0000,0.0001,0.0000,8,200
8,4,0.0028,2,60200,4,0.0005,2.4458,0.25,1,10000,8,0.0000,0.0000,0.0000,8,100
2,4,0.0049,3,128640800,8,,0.3120,0.75,,1000,21,0.0000,,,8,400
2,8,0.7065,2,641600,3,,28.3186,0.75,,100000,1,0.0000,,,8,400
4,4,0.0031,3,16080000,2,0.0027,0.2822,0.75,0.9,1000,1,0.0001,0.0006,0.0003,4,200
2,4,0.0020,3,256480400,5,0.0007,25.9078,0.5,0.7,100000,27,0.0000,0.0001,0.0000,8,400
4,2,0.0020,3,32040600,8,0.0006,3.1411,0.5,0.3,10000,15,0.0000,0.0001,0.0000,8,200
2,4,0.0077,3,16120600,7,0.0006,3.1488,0.5,0.9,10000,27,0.0001,0.0002,0.0000,8,200
2,2,0.0027,2,50300,7,,2.3499,0.5,,10000,19,0.0000,,,8,100
8,8,51.0320,2,60200,7,,60.0035,0.75,,45150.0,4,0.0000,,,8,100
8,4,0.0113,2,480400,0,0.0007,0.2874,0.5,0.8,1000,4,0.0000,0.0003,0.0001,4,400
2,4,0.0024,3,32160000,0,0.0031,3.2801,0.5,0.8,10000,21,0.0000,0.0002,0.0000,8,200
4,4,0.0026,3,2000200,4,0.0007,0.3915,0.5,0.4,1000,1,0.0001,0.0001,0.0000,4,100
8,4,1.2655,2,320800,2,,28.1720,0.25,,100000,4,0.0000,,,4,400
2,8,0.0022,2,60200,9,0.0149,0.2392,0.75,0.94,1000,1,0.0000,0.0002,0.0000,8,100
4,8,0.1214,3,384000800,2,,32.4798,0.5,,100000,15,0.0000,,,8,400
4,4,0.0018,3,24000200,3,0.0005,29.9391,0.5,1,100000,1,0.0000,0.0000,0.0000,4,200
8,8,0.0098,1,3200,1,,0.4658,0.25,,2400.0,15,0.0001,,,8,400
2,4,1.0698,1,1600,5,0.0004,1.3374,0.5,1,1200.0,5,0.0000,0.0031,0.0002,8,200
8,8,0.0091,1,1600,2,0.0005,0.2885,0.5,1,1000,20,0.0002,0.0000,0.0000,8,200
8,8,0.0156,2,1280000,8,,2.8381,0.5,,10000,4,0.0000,,,8,400
2,8,0.3116,2,960800,9,,26.6500,0.25,,100000,1,0.0000,,,8,400
8,4,0.0010,3,2020000,0,0.0003,0.1939,0.25,1,1000,6,0.0000,0.0000,0.0000,4,100
8,4,0.0028,3,8080200,3,,0.2311,0.75,,1000,6,0.0000,,,4,200
8,2,0.0016,2,280200,3,0.0005,0.2097,0.25,1,1000,26,0.0000,0.0000,0.0000,8,200
2,4,0.0038,2,50300,4,,8.3672,0.75,,37725.0,16,0.0000,,,8,100
4,2,0.6916,3,320480000,2,0.0006,28.9797,0.5,1,100000,23,0.0000,0.0000,0.0000,8,400
2,2,0.0041,2,50300,9,0.0005,0.2483,0.25,1,1000,27,0.0000,0.0001,0.0000,8,100
2,4,0.0532,3,2050100,4,0.0006,0.3194,0.25,1,1000,3,0.0000,0.0001,0.0000,8,100
2,4,1.3912,3,4020200,3,0.0004,25.0715,0.25,1,100000,3,0.0000,0.0005,0.0000,8,100
2,8,0.0109,1,3200,3,0.0010,0.3181,0.75,0.6,1000,1,0.0001,0.0005,0.0001,8,400
4,2,0.0064,3,3040100,8,0.0007,3.2084,0.5,1,10000,23,0.0000,0.0000,0.0000,8,100
8,8,0.0013,2,40400,1,0.0006,0.2741,0.5,0.5,1000,4,0.0000,0.0001,0.0000,8,100
4,2,0.0029,2,641600,9,0.0008,0.2998,0.5,0.2,1000,17,0.0000,0.0002,0.0001,8,400
4,4,0.0065,2,160000,3,0.0006,0.3264,0.75,1,1000,6,0.0002,0.0000,0.0000,4,200
4,8,0.0014,3,24040800,9,0.0005,27.8968,0.25,1,100000,17,0.0000,0.0000,0.0000,8,200
4,2,0.0022,3,3050000,9,0.0009,28.5684,0.25,1,100000,15,0.0000,0.0001,0.0001,8,100
4,8,0.0134,1,1600,5,,0.2141,0.5,,1000,11,0.0000,,,8,200
4,2,0.0013,3,16041000,0,0.0006,3.5646,0.75,1,10000,15,0.0000,0.0000,0.0000,8,200
8,4,0.0125,2,482000,2,0.0007,28.4643,0.5,0.9,100000,8,0.0002,0.0001,0.0000,8,400
4,2,0.0027,2,40400,8,0.0030,2.5573,0.25,1,10000,17,0.0000,0.0001,0.0003,8,100
4,8,0.0080,3,24120400,5,,1.6248,0.5,,10000,17,0.0000,,,8,200
4,8,0.0010,3,8000600,9,0.0004,0.1402,0.75,0.5,1000,1,0.0000,0.0001,0.0000,4,200
4,2,0.0012,3,256161200,8,0.0005,1.5456,0.75,0.7,10000,15,0.0000,0.0001,0.0000,8,400
4,2,0.0020,3,128481200,1,0.0006,2.4772,0.25,0.2,10000,15,0.0000,0.0001,0.0000,8,400
8,2,0.0010,2,1120400,3,0.0004,21.0519,0.5,1,100000,26,0.0000,0.0000,0.0000,8,400
2,8,0.0017,2,160800,5,0.0004,19.4994,0.25,1,100000,12,0.0001,0.0000,0.0000,8,200
8,8,0.0895,2,50300,1,,2.0227,0.25,,10000,20,0.0000,,,8,100
2,8,0.1741,2,641600,3,,19.8172,0.25,,100000,1,0.0000,,,8,400
4,2,0.0012,3,4010300,4,0.0004,0.2018,0.25,1,1000,15,0.0000,0.0000,0.0000,8,100
4,8,1.7402,3,2010100,8,,37.5848,0.5,,100000,1,0.0000,,,4,100
2,2,0.0020,3,5010200,0,0.0007,36.1892,0.25,1,100000,22,0.0000,0.0000,0.0000,8,100
4,4,0.0020,3,3020300,6,0.0005,41.6398,0.75,0.7,100000,15,0.0000,0.0001,0.0000,8,100
2,2,0.0025,3,320320400,3,0.0006,0.3045,0.25,1,1000,28,0.0000,0.0000,0.0000,8,400
8,4,0.0011,3,40040400,8,0.0004,3.6834,0.75,1,10000,1,0.0000,0.0000,0.0000,8,200
8,8,0.0050,2,80000,8,0.0051,0.3743,0.25,0.6,1000,4,0.0001,0.0002,0.0001,8,100
